fan_layout,layout_branch_id,fan_config_id,updraft_model_id,test_environment_mode,paired_environment_mode,family,family_role,environment_role,validity_gate_role,first_validity_gate_environment,w0_failure_policy,target_heading_deg,direction_sign,start_class,count_basis,planned_floor_start_count,planned_target_start_count,planned_floor_trial_count,planned_target_trial_count,pilot_start_count,included_in_paired_archive,branch_decision_scope,no_cross_branch_promotion,no_cross_branch_rejection,no_cross_branch_cluster_merge,no_cross_branch_safety_justification,latency_case_planned,latency_acceptance_role,latency_model_status,no_rollout_performed
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,15.0,-1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,15.0,1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,30.0,-1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,30.0,1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,45.0,-1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,45.0,1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,60.0,-1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,60.0,1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,90.0,-1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
single_fan,single_fan_branch,single_fan_branch_dry_air,no_updraft_dry_air,W0_single_fan_branch,W1_single_fan,mild_bank,turning,dry_air_capable,baseline_gate,W0_single_fan_branch,w0_failure_can_reject_branch_local_dry_air_capable_baseline,90.0,1,all_start_classes_planned,per_branch_turning_family_target_direction_all_start_classes,2206,4412,2206,4412,75,True,branch_local_only_no_cross_layout_decision_transfer,True,True,True,True,none,nominal_latency_required_later_for_accepted_w1_envelopes,metadata_only_active_latency_deferred,True
