coverage_axis,value,row_count
outcome_class,accepted,12597
outcome_class,failed,16403
outcome_class,weak,15800
failure_label,model_boundary_only,13358
failure_label,speed_low,633
failure_label,success,12597
failure_label,terminal_recovery_limited,15012
failure_label,xy_boundary_terminal,3200
boundary_use_class,continuation_valid,25955
boundary_use_class,episode_terminal_useful,2442
boundary_use_class,hard_failure,16403
environment_mode,w3_randomised_four,22400
environment_mode,w3_randomised_single,22400
start_state_family,inflight_boundary_near,3200
start_state_family,inflight_lift_region,6912
start_state_family,inflight_nominal,12288
start_state_family,inflight_recovery_edge,3200
start_state_family,launch_gate,19200
timing_state_source,history_backed_fifo,44800
source_evidence_label,,44800
scheduled_active_fan_count,1,28224
scheduled_active_fan_count,2,5824
scheduled_active_fan_count,3,5376
scheduled_active_fan_count,4,5376
