primitive_variant_id,primitive_id,environment_mode,compatible_row_count,positive_continuation_count,episode_terminal_useful_count,hard_failure_count,minimum_wall_margin_min_m,energy_residual_mean_m,lift_dwell_mean_s
primvar_energy_retaining_bank_inflight_only_0106c4725127,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2947071036729287,0.0030632334686814177,0.09600000000000002
primvar_energy_retaining_bank_inflight_only_0106c4725127,energy_retaining_bank,w3_randomised_single,50,39,0,11,0.2930481241953027,-0.01757011264539317,0.04
primvar_energy_retaining_bank_inflight_only_256086e191e6,energy_retaining_bank,w3_randomised_four,50,44,0,6,0.2961175635007871,0.0014692052994942017,0.094
primvar_energy_retaining_bank_inflight_only_256086e191e6,energy_retaining_bank,w3_randomised_single,50,39,0,11,0.2939050241684038,-0.018648693598651758,0.04
primvar_energy_retaining_bank_inflight_only_392e92424db6,energy_retaining_bank,w3_randomised_four,50,44,0,6,0.2964624318418929,0.004193622253710548,0.09600000000000002
primvar_energy_retaining_bank_inflight_only_392e92424db6,energy_retaining_bank,w3_randomised_single,50,38,0,12,0.2932813477453626,-0.019779156207481913,0.046000000000000006
primvar_energy_retaining_bank_inflight_only_429b2f7b1a4a,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2955484964299018,0.0018380157423813156,0.098
primvar_energy_retaining_bank_inflight_only_429b2f7b1a4a,energy_retaining_bank,w3_randomised_single,50,40,0,10,0.2938237069344946,-0.018953536733728,0.042
primvar_energy_retaining_bank_inflight_only_46fcbaa8f289,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2960911433186037,0.003847229841606298,0.098
primvar_energy_retaining_bank_inflight_only_46fcbaa8f289,energy_retaining_bank,w3_randomised_single,50,39,0,11,0.2932268619578799,-0.0190186916552237,0.046000000000000006
primvar_energy_retaining_bank_inflight_only_543ee25b1e4b,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2958034968061387,0.0028906424356096683,0.1
primvar_energy_retaining_bank_inflight_only_543ee25b1e4b,energy_retaining_bank,w3_randomised_single,50,39,0,11,0.2943099527413215,-0.017771504740591863,0.04
primvar_energy_retaining_bank_inflight_only_54f97a747281,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2954382182395498,0.0036463943775391556,0.09600000000000002
primvar_energy_retaining_bank_inflight_only_54f97a747281,energy_retaining_bank,w3_randomised_single,50,39,0,11,0.2936731984248153,-0.020536146863769148,0.044000000000000004
primvar_energy_retaining_bank_inflight_only_5b0f943fb937,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2959144058496532,0.005030502852672309,0.098
primvar_energy_retaining_bank_inflight_only_5b0f943fb937,energy_retaining_bank,w3_randomised_single,50,38,0,12,0.2932129840590853,-0.019453798094203282,0.034
primvar_energy_retaining_bank_inflight_only_6688a08cb224,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2954173018875909,0.002688478813187393,0.098
primvar_energy_retaining_bank_inflight_only_6688a08cb224,energy_retaining_bank,w3_randomised_single,50,38,0,12,0.2937038000399923,-0.02010685547072893,0.04800000000000001
primvar_energy_retaining_bank_inflight_only_680341b01248,energy_retaining_bank,w3_randomised_four,50,45,0,5,0.2955148563839351,0.003526422518154641,0.098
primvar_energy_retaining_bank_inflight_only_680341b01248,energy_retaining_bank,w3_randomised_single,50,38,0,12,0.2938160467011217,-0.017058055587007615,0.046000000000000006
