candidate_id,split,throw_count,yaw_moment_beta_coeff,transition_yaw_moment_beta_coeff,post_stall_yaw_moment_beta_rbf_20_coeff,dx_mae_m,dy_mae_m,altitude_loss_mae_m,sink_mae_m_s,roll_mae_deg,pitch_mae_deg,yaw_mae_deg,objective
L0_active,train,63,0.0,0.0,0.0,0.2814994432785373,0.6245401591839453,0.29917043466348625,0.2200674674567412,22.864303678492707,6.318194603833598,9.593865735475088,16.249713235150534
L0_active,heldout,11,0.0,0.0,0.0,0.3708335836358058,0.5327974126117145,0.14451710909241536,0.13177664038024062,18.87637919559067,4.043871944326233,6.717079833119592,11.788592344623368
L1_attached_Cn_beta,train,63,-0.0487479808,0.0,0.0,0.5345175539600319,0.5670649913456925,0.3768306339904617,0.24128745622303327,16.662166541903407,5.8633477964561225,7.755739525079811,17.60149586974339
L1_attached_Cn_beta,heldout,11,-0.0487479808,0.0,0.0,0.39582698114829556,0.4152456590730633,0.15535791929227438,0.14047305046997982,13.057189789932574,4.547659609001965,9.219314047744552,10.26605399480725
L2_transition_Cn_beta,train,63,0.0,-0.01467582447,0.0,0.28387916897016363,0.6214739277719579,0.29901216766167554,0.22014200668650474,22.567385261358748,6.337055912816065,9.510817490486295,16.13688229817166
L2_transition_Cn_beta,heldout,11,0.0,-0.01467582447,0.0,0.3725684051227678,0.5274046462684538,0.14536251369693856,0.13248732964685114,18.553228122042192,4.09362815033354,6.640361897190089,11.696089376948429
L3_post_stall_Cn_beta,train,63,0.0,0.0,-0.0374172029,0.2947051105968076,0.6071044710732492,0.2992802337803534,0.221236960641286,20.656145446110614,6.515621065911052,9.12080930494999,15.61492724045144
L3_post_stall_Cn_beta,heldout,11,0.0,0.0,-0.0374172029,0.37855612941616745,0.502139047403891,0.15060981677013263,0.13687195159703386,16.283139656242952,4.434588674737765,6.4386682153953165,11.163351452233874
L4_transition_post_stall_Cn_beta,train,63,0.0,-0.01467582447,-0.0374172029,0.2993764256554532,0.6060680690834953,0.29884714996901124,0.22124333808565708,20.320534797557052,6.542687470702461,9.128038682184242,15.552362376044853
L4_transition_post_stall_Cn_beta,heldout,11,0.0,-0.01467582447,-0.0374172029,0.3807498046225849,0.49778262651375227,0.15148435686082903,0.1376085661907873,15.92234477925826,4.49666097583411,6.363804215699113,11.114043011810367
L5_all_Cn_beta,train,63,-0.0487479808,-0.01467582447,-0.0374172029,0.5707935111262267,0.5121953476072271,0.3789139064324377,0.2432699873697298,14.115975119889562,6.076525409039974,9.862997477732232,17.145215276583027
L5_all_Cn_beta,heldout,11,-0.0487479808,-0.01467582447,-0.0374172029,0.41736590606644985,0.4282620889960389,0.16049005402070582,0.14479292257064696,11.783436149139675,4.945963381346005,11.7796886242823,10.394669900870698
