compact_library_id,library_size_case_id,library_size_human_label,primitive_variant_id,primitive_id,entry_role,controller_id,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,primitive_timing_contract_status,continuation_probability,terminal_useful_probability,hard_failure_risk,expected_energy_residual_m,expected_updraft_gain_proxy_m,expected_lift_dwell_time_s,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,saturation_fraction_mean,known_failure_boundaries,environment_coverage,runtime_context_conditioning_required,runtime_context_conditioning_version,runtime_context_conditioning_policy,context_conditioning_keys,sample_count,margin_class,prediction_source,claim_status
v53lib_heavy_cluster_303948f450c0,heavy_cluster,heavy clustering and merging,primvar_energy_retaining_bank_inflight_only_54f97a747281,energy_retaining_bank,inflight_only,lqrta_energy_retaining_bank_2a64f59997f3,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.0030527517702901,0.0,0.0595,0.2938870650344753,0.5411345796220586,0.7430390208019473,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_7a533bb28060,heavy_cluster,heavy clustering and merging,primvar_glide_inflight_only_d259714ea187,glide,inflight_only,lqrta_glide_2cea10801d6d,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.0018038213350052,0.0,0.055,0.2937417061389995,0.5410191259935362,0.7430390208019473,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_402d2cdf10e2,heavy_cluster,heavy clustering and merging,primvar_launch_capture_energy_build_launch_capable_34bf4451b3ad,launch_capture_energy_build,launch_capable,lqrta_launch_capture_energy_build_b5336c79ffec,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.1385142640666221,0.0,0.0015,0.0042965023720533,0.7517751774014069,1.551627054047903,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_abd920c2466e,heavy_cluster,heavy clustering and merging,primvar_launch_capture_glide_stabilise_launch_capable_cfef938f9b08,launch_capture_glide_stabilise,launch_capable,lqrta_launch_capture_glide_stabilise_73c765a4b649,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.1383697833112457,0.0,0.0035,0.0042965023720533,0.7518255201441885,1.55151438587864,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_fa49c243c40b,heavy_cluster,heavy clustering and merging,primvar_launch_capture_lift_seek_launch_capable_9f627f4eb7ec,launch_capture_lift_seek,launch_capable,lqrta_launch_capture_lift_seek_283811451ad5,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.1383238857460456,0.0,0.0015,0.0042965023720533,0.7517014033256936,1.5517513673663137,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_a674a7ed87ad,heavy_cluster,heavy clustering and merging,primvar_launch_capture_safe_handoff_launch_capable_f0c0ad9c8947,launch_capture_safe_handoff,launch_capable,lqrta_launch_capture_safe_handoff_50409787f7a1,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.1385717233431004,0.0,0.0015,0.0042965023720533,0.7519402391361757,1.551584967175049,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_c58c4f9c71dc,heavy_cluster,heavy clustering and merging,primvar_launch_capture_shallow_left_launch_capable_eb50e999df89,launch_capture_shallow_left,launch_capable,lqrta_launch_capture_shallow_left_02a4c9ef3256,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.138430467910485,0.0,0.0015,0.0042965023720533,0.7517052258105471,1.551566194002821,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_9aed69d753cc,heavy_cluster,heavy clustering and merging,primvar_launch_capture_shallow_right_launch_capable_53138692e73b,launch_capture_shallow_right,launch_capable,lqrta_launch_capture_shallow_right_d5df2ec26075,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.138353887261433,0.0,0.003,0.0042965023720533,0.7518199169013594,1.5516689222463351,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_29a7432f5d3f,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_inflight_only_a55d3f0fb93e,lift_dwell_arc,inflight_only,lqrta_lift_dwell_arc_8e213c794740,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.0026182978359363,0.0,0.056,0.293290902271865,0.5409075071715225,0.7430390208019473,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_d01d586b0b51,heavy_cluster,heavy clustering and merging,primvar_lift_entry_inflight_only_310b57e5cae9,lift_entry,inflight_only,lqrta_lift_entry_ad9d2f7fce02,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,1.0,0.0,0.0,-0.0031442850859841,0.0,0.056,0.2935133600454351,0.5412033389527388,0.7430390208019473,0.0,both_W3_modes_positive_and_hard_failure_rate_within_survival_limit,w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,40,margin_available,W3_summary_interpretable,simulation_only_outcome_model
