event_id,surface_index,surface_name,command_level_norm,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count,settled_deflection_deg,lookup_deflection_deg,lookup_error_deg,linear_fitted_deflection_deg,linear_fit_error_deg,valid,rejection_reason
1,1,Aileron_L,0,positive_first,positive,outbound,1,11,0.493765221530063,5.55111512312578e-17,0.493765221530063,0,0.493765221530063,1,
2,1,Aileron_L,0.15,positive_first,positive,outbound,2,11,5.51597175516983,4.71512780011564,0.800843955054185,0,5.51597175516983,1,
3,1,Aileron_L,0.3,positive_first,positive,outbound,3,11,12.041705951543,10.120319344436,1.921386607107,4.93364765642345,7.10805829511952,1,
4,1,Aileron_L,0.5,positive_first,positive,outbound,4,11,15.4247339969278,12.9760715553967,2.44866244153106,11.5118445316547,3.91288946527309,1,
5,1,Aileron_L,0.75,positive_first,positive,outbound,5,11,20.9011370095422,20.4115575879964,0.489579421545752,19.7345906256938,1.16654638384838,1,
6,1,Aileron_L,1,positive_first,positive,outbound,6,11,24.1548333282854,23.9033849824911,0.251448345794245,24.1548333282854,0,1,
7,1,Aileron_L,0.75,positive_first,positive,return,7,11,19.0447190375438,20.4115575879964,-1.36683855045259,19.7345906256938,-0.689871588149966,1,
8,1,Aileron_L,0.5,positive_first,positive,return,8,11,11.6859515621435,12.9760715553967,-1.29011999325326,11.5118445316547,0.174107030488765,1,
9,1,Aileron_L,0.3,positive_first,positive,return,9,11,9.8930188906832,10.120319344436,-0.22730045375277,4.93364765642345,4.95937123425976,1,
10,1,Aileron_L,0.15,positive_first,positive,return,10,11,4.63826112128602,4.71512780011564,-0.0768666788296253,0,4.63826112128602,1,
11,1,Aileron_L,0,positive_first,positive,return,11,11,-1.07885395152178,5.55111512312578e-17,-1.07885395152178,0,-1.07885395152178,1,
12,1,Aileron_L,-0,positive_first,negative,outbound,1,11,-1.85264360018188,5.55111512312578e-17,-1.85264360018188,0,-1.85264360018188,1,
13,1,Aileron_L,-0.15,positive_first,negative,outbound,2,11,-3.68428080128959,-1.66231188954256,-2.02196891174703,0,-3.68428080128959,1,
14,1,Aileron_L,-0.3,positive_first,negative,outbound,3,11,-9.61979406820786,-8.95746140583366,-0.662332662374205,0,-9.61979406820786,1,
15,1,Aileron_L,-0.5,positive_first,negative,outbound,4,11,-12.6564519379452,-14.1604468206824,1.50399488273724,-7.76786773001979,-4.88858420792539,1,
16,1,Aileron_L,-0.75,positive_first,negative,outbound,5,11,-16.7285585403583,-16.9590651150627,0.230506574704464,-17.4777023925445,0.749143852186261,1,
17,1,Aileron_L,-1,positive_first,negative,outbound,6,11,-27.6546047576622,-16.9590651150627,-10.6955396425994,-27.1875370550693,-0.467067702592917,0,unstable_final_window
18,1,Aileron_L,-0.75,positive_first,negative,return,7,11,-18.6192493645566,-16.9590651150627,-1.66018424949387,-17.4777023925445,-1.14154697201208,0,unstable_final_window
19,1,Aileron_L,-0.5,positive_first,negative,return,8,11,-14.1908772168765,-14.1604468206824,-0.0304303961941166,-7.76786773001979,-6.42300948685674,1,
20,1,Aileron_L,-0.3,positive_first,negative,return,9,11,-8.29512874345945,-8.95746140583366,0.662332662374206,0,-8.29512874345945,1,
21,1,Aileron_L,-0.15,positive_first,negative,return,10,11,-1.4084508718016,-1.66231188954256,0.253861017740961,0,-1.4084508718016,1,
22,1,Aileron_L,-0,positive_first,negative,return,11,11,0.701199771590052,5.55111512312578e-17,0.701199771590052,0,0.701199771590052,1,
23,1,Aileron_L,-0,negative_first,negative,outbound,1,11,-0.141560204023555,5.55111512312578e-17,-0.141560204023555,0,-0.141560204023555,1,
24,1,Aileron_L,-0.15,negative_first,negative,outbound,2,11,0.1861276059976,-1.66231188954256,1.84843949554016,0,0.1861276059976,1,
25,1,Aileron_L,-0.3,negative_first,negative,outbound,3,11,-10.484425234078,-8.95746140583366,-1.52696382824431,0,-10.484425234078,1,
26,1,Aileron_L,-0.5,negative_first,negative,outbound,4,11,-14.1300164244883,-14.1604468206824,0.0304303961941148,-7.76786773001979,-6.36214869446851,1,
