event_id,surface_index,surface_name,t0_write_start_host_s,response_window_end_s,command_step_norm,command_before_norm,command_after_norm,delta_base_deg,sigma_base_deg,delta_final_deg,response_amplitude_deg,level_10_deg,level_50_deg,level_90_deg,t10_capture_s,t50_capture_s,t90_capture_s,t10_latency_s,t50_latency_s,t90_latency_s,valid,t90_valid,rejection_reason
1,2,Aileron_R,8.2936837,8.8886864,0.7,0,0.7,-0.202057590118797,0.618010492277005,19.5513000712674,19.7533576613862,1.77327817601982,9.67462124057429,17.5759643051288,8.3618092175014,8.39417445788869,8.42294489016724,0.0681255175013966,0.100490757888688,0.129261190167243,1,1,
2,2,Aileron_R,8.9012082,9.4886864,-0.7,0.7,0,19.7002264521268,1.00413766280733,-10.3733642135044,-30.0735906656312,16.6928673855637,4.66343111931117,-7.36600514694132,8.97765240689654,9.00551638848492,9.02132619621799,0.0764442068965376,0.104308188484916,0.12011799621799,1,1,
3,2,Aileron_R,9.5033454,10.0886864,-0.7,0,-0.7,-10.2727577933338,1.48793440993126,-26.7723785824137,-16.4996207890799,-11.9227198722418,-18.5225681878738,-25.1224165035057,9.55888648674494,9.59281728557933,9.6047158352146,0.0555410867449364,0.0894718855793322,0.101370435214601,1,1,
4,2,Aileron_R,10.0977086,10.6886864,0.7,-0.7,0,-25.4006554105174,2.92064936284612,-0.423735114183322,24.976920296334,-22.902963380884,-12.9121952623503,-2.92142714381673,10.1577731383731,10.2081177141263,10.2232380620061,0.0600645383731067,0.110409114126337,0.125529462006101,1,1,
5,4,Elevator,10.7015831,11.2886864,0.7,0,0.7,0.710493632728477,0.373398986453604,17.6032821294574,16.892788496729,2.39977248240137,9.15688788109295,15.9140032797845,10.8013767246078,10.821575050772,10.8368607540907,0.0997936246078197,0.119991950772041,0.13527765409073,1,1,
6,4,Elevator,11.2976942,11.8886864,-0.7,0.7,0,17.6820094397269,0.485146269035775,-0.0530487775331941,-17.7350582172601,15.9085036180009,8.81448033109685,1.72045704419281,11.4042278756703,11.4285528731921,11.4388970357025,0.106533675670256,0.130858673192135,0.141202835702483,1,1,
7,4,Elevator,11.8919703,12.4886864,-0.7,0,-0.7,0.353621473482861,1.00642193150076,-17.1006595121719,-17.4542809856547,-1.39180662508261,-8.37351901934451,-15.3552314136064,11.9840453309099,12.0142247650761,12.0319494611398,0.0920750309099141,0.122254465076111,0.139979161139847,1,1,
8,4,Elevator,12.4927384,13.0886864,0.7,-0.7,0,-17.1588891626187,0.823238207781404,2.00734579416022,19.1662349567789,-15.2422656669408,-7.57577168422922,0.0907222984823299,12.5816131569446,12.6135934482845,12.6262209859677,0.0888747569446426,0.120855048284492,0.133482585967657,1,1,
9,1,Aileron_L,13.0919125,13.6886864,0.7,0,0.7,-0.548801962488729,1.4031246033186,28.1923547151546,28.7411566776433,2.3253137052756,13.8217763763329,25.3182390473902,13.1532346998854,13.1934986008781,13.2329409270244,0.0613221998853941,0.101586100878116,0.141028427024422,1,1,
10,1,Aileron_L,13.698971,14.2886864,-0.7,0.7,0,28.0094888140996,1.58709309334071,0.790003779346721,-27.2194850347529,25.2875403106243,14.3997462967232,3.51195228282201,13.7697735804781,13.7930948640999,13.8197249555495,0.0708025804780661,0.0941238640999078,0.120753955549532,1,1,
11,1,Aileron_L,14.2916711,14.8886864,-0.7,0,-0.7,0.355296642536296,1.4839960089818,-9.51972113688365,-9.87501777941995,-0.632205135405699,-4.58221224717368,-8.53221935894166,14.3160536079398,14.4213472675403,14.4287880076994,0.0243825079398068,0.129676167540316,0.137116907699353,1,1,
12,1,Aileron_L,14.895709,15.4886864,0.7,-0.7,0,-10.5235215049667,3.87704520005625,8.10743074671517,18.6309522516819,-8.66042627979853,-1.20804537912577,6.24433552154698,14.8990258199994,14.9939062188726,15.018810166154,0.00331681999938027,0.0981972188726221,0.123101166154033,1,1,
13,3,Rudder,15.4967137,16.0886864,0.7,0,0.7,-2.42315431014279,2.3809717189712,10.5056546572241,12.9288089673669,-1.13027341340609,4.04125017354068,9.21277376048745,15.4993788299992,15.624238424434,15.6468817917169,0.00266512999920998,0.127524724433952,0.150168091716882,1,1,
14,3,Rudder,16.0944436,16.6886864,-0.7,0.7,0,10.5056546572241,1.0757283939815,-2.1237881699193,-12.6294428271434,9.2427103745098,4.19093324365242,-0.860843887204958,16.1503171487351,16.2143746461118,16.22175876154,0.0558735487351036,0.119931046111759,0.127315161540022,1,1,
