ix,iy,x_w_m,y_w_m,W_layer,environment_mode,seed,w_wing_mean_m_s
1,3,3.2249999999999996,3.85,W3,w3_randomised_single,2745156,-0.001127152416130947
1,3,3.2249999999999996,3.85,W3,w3_randomised_four,2745157,1.5324302841678856
2,0,4.575,0.55,W1,gaussian_single,2745202,0.0027673725075209087
2,0,4.575,0.55,W1,gaussian_four,2745203,0.39870389161640213
2,0,4.575,0.55,W2,annular_gp_single,2745204,0.009870427077911859
2,0,4.575,0.55,W2,annular_gp_four,2745205,0.3813489737718194
2,0,4.575,0.55,W3,w3_randomised_single,2745206,0.006158824173840873
2,0,4.575,0.55,W3,w3_randomised_four,2745207,0.17645959157802238
2,1,4.575,1.6500000000000001,W1,gaussian_single,2745219,0.9649527266402624
2,1,4.575,1.6500000000000001,W1,gaussian_four,2745220,0.5543686034497367
2,1,4.575,1.6500000000000001,W2,annular_gp_single,2745221,1.0066955602463838
2,1,4.575,1.6500000000000001,W2,annular_gp_four,2745222,1.095955210501243
2,1,4.575,1.6500000000000001,W3,w3_randomised_single,2745223,1.3262573144406848
2,1,4.575,1.6500000000000001,W3,w3_randomised_four,2745224,1.2918710583848478
2,2,4.575,2.75,W1,gaussian_single,2745236,1.8247887385889938
2,2,4.575,2.75,W1,gaussian_four,2745237,0.5630281259984852
2,2,4.575,2.75,W2,annular_gp_single,2745238,2.127669121278485
2,2,4.575,2.75,W2,annular_gp_four,2745239,0.6523670397233651
2,2,4.575,2.75,W3,w3_randomised_single,2745240,1.0093679785707164
2,2,4.575,2.75,W3,w3_randomised_four,2745241,0.7629106171935617
2,3,4.575,3.85,W1,gaussian_single,2745253,0.09074806103886125
2,3,4.575,3.85,W1,gaussian_four,2745254,0.8347402083254597
2,3,4.575,3.85,W2,annular_gp_single,2745255,0.0008332782640835429
2,3,4.575,3.85,W2,annular_gp_four,2745256,1.2446602812520866
2,3,4.575,3.85,W3,w3_randomised_single,2745257,-0.0022300761000030207
2,3,4.575,3.85,W3,w3_randomised_four,2745258,1.0965110137375353
3,0,5.925,0.55,W1,gaussian_single,2745303,-0.011249901172280523
3,0,5.925,0.55,W1,gaussian_four,2745304,0.6410222197404022
3,0,5.925,0.55,W2,annular_gp_single,2745305,4.0048996181535476e-05
3,0,5.925,0.55,W2,annular_gp_four,2745306,0.4517817146593794
3,0,5.925,0.55,W3,w3_randomised_single,2745307,-0.0009795170615293466
3,0,5.925,0.55,W3,w3_randomised_four,2745308,0.42884727712840315
3,1,5.925,1.6500000000000001,W1,gaussian_single,2745320,-0.004573240327173519
3,1,5.925,1.6500000000000001,W1,gaussian_four,2745321,0.9049226133845457
3,1,5.925,1.6500000000000001,W2,annular_gp_single,2745322,0.00209173284763715
3,1,5.925,1.6500000000000001,W2,annular_gp_four,2745323,1.0801445346212837
3,1,5.925,1.6500000000000001,W3,w3_randomised_single,2745324,-0.006890762336679268
3,1,5.925,1.6500000000000001,W3,w3_randomised_four,2745325,0.8806410471906816
3,2,5.925,2.75,W1,gaussian_single,2745337,0.0013932124041357318
3,2,5.925,2.75,W1,gaussian_four,2745338,0.7165002117775754
3,2,5.925,2.75,W2,annular_gp_single,2745339,0.0005442700488915192
3,2,5.925,2.75,W2,annular_gp_four,2745340,0.5462512566711879
3,2,5.925,2.75,W3,w3_randomised_single,2745341,0.01606415510428697
3,2,5.925,2.75,W3,w3_randomised_four,2745342,0.8208542114194614
3,3,5.925,3.85,W1,gaussian_single,2745354,-0.010639397992493277
3,3,5.925,3.85,W1,gaussian_four,2745355,1.0488633593987142
3,3,5.925,3.85,W2,annular_gp_single,2745356,0.0006837573989462477
3,3,5.925,3.85,W2,annular_gp_four,2745357,0.9587264051452759
3,3,5.925,3.85,W3,w3_randomised_single,2745358,-0.004101109267595997
3,3,5.925,3.85,W3,w3_randomised_four,2745359,0.9509927288578806
