label,primitive_id,candidate_index,candidate_weight_label,duration_s,termination,start_x_w_m,start_y_w_m,start_z_w_m,final_x_w_m,final_y_w_m,final_z_w_m,delta_z_m,final_wall_margin_m,final_floor_margin_m,min_wall_margin_m,min_floor_margin_m,min_ceiling_margin_m,max_abs_command_norm,saturation_fraction,sampled_data_spectral_radius,lqr_synthesis_status
glide c00 nominal,glide,0,glide_robust_anchor_nominal_ref_nominal_000,1.0,completed_1s,1.5,2.0,2.7,5.632579820173501,1.4732373349779495,1.2038154033596387,-1.4961845966403615,0.9674201798264983,0.8038154033596386,0.30000000000000004,0.8038154033596386,0.7999999999999998,1.0,0.0,0.9693832299812565,solved
lift_entry c01 pitch-up,lift_entry,1,lift_entry_robust_anchor_attitude_heavy_ref_pitch_up_001,1.0,completed_1s,1.5,2.0,2.7,5.6074617386339245,1.3894923466302616,1.2815356116887684,-1.4184643883112318,0.9925382613660751,0.8815356116887684,0.30000000000000004,0.8815356116887684,0.7999999999999998,1.0,0.0,0.9705698665741058,solved
mild_turn_left c07 agile,mild_turn_left,7,mild_turn_left_robust_anchor_balanced_agile_ref_right_bias_007,1.0,completed_1s,1.5,2.0,2.7,5.650364471430428,1.4371133567340977,1.2190242497815578,-1.4809757502184424,0.9496355285695719,0.8190242497815577,0.30000000000000004,0.8190242497815577,0.7999999999999998,1.0,0.0,0.9708203849197811,solved
energy_bank c08 LHS/ref,energy_retaining_bank,8,energy_retaining_bank_robust_lhs_logqr_refbias_008,1.0,completed_1s,1.5,2.0,2.7,5.615856222316235,1.4794125341746607,1.3709163502036572,-1.329083649796343,0.9841437776837649,0.9709163502036572,0.30000000000000004,0.9709163502036572,0.7999999999999998,1.0,0.0,0.9757082744890976,solved
