case_id,primitive_id,start_state_family,W_layer,environment_mode,candidate_index,candidate_weight_label,duration_s,completed_full_duration,termination_cause,floor_violation,wall_violation,altitude_delta_m,speed_initial_m_s,speed_final_m_s,minimum_speed_m_s,minimum_floor_margin_m,minimum_wall_margin_m,minimum_ceiling_margin_m,yaw_delta_deg,roll_delta_deg,pitch_delta_deg,trajectory_integrated_updraft_gain_m,saturation_fraction,max_abs_command_norm,max_abs_surface_rad,selection_score
same_start_glide,glide,inflight_nominal,W0,dry_air,0,glide_robust_anchor_nominal_ref_nominal_000,0.6,True,completed_full_duration,False,False,-0.6923798288174581,3.914723028198708,4.141934192682944,3.914723028198708,1.1076201711825422,0.8775811807258866,1.309034253789116,-6.18728112819311,-9.965374044621658,6.971290372080813,0.0,0.6,1.0,0.48004221135159103,1.5063224226907825
same_start_glide,glide,inflight_nominal,W0,dry_air,1,glide_robust_anchor_attitude_heavy_ref_pitch_up_001,0.6,True,completed_full_duration,False,False,-0.6907775774663418,3.914723028198708,4.088086402457962,3.914723028198708,1.1092224225336582,0.8775811807258866,1.309034253789116,-6.912401758871021,-9.929531483507544,8.142428554039007,0.0,0.6333333333333333,1.0,0.48004221135159103,1.4802966565645623
same_start_glide,glide,inflight_nominal,W0,dry_air,3,glide_robust_anchor_rate_damped_ref_damped_level_003,0.6,True,completed_full_duration,False,False,-0.6955159153949901,3.914723028198708,4.171931432528178,3.914723028198708,1.10448408460501,0.8775811807258866,1.309034253789116,-5.421505847855071,-9.735340109989213,6.814562571521893,0.0,0.6,1.0,0.48004221135159103,1.5050679880597697
same_start_glide,glide,inflight_nominal,W0,dry_air,5,glide_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,0.6,True,completed_full_duration,False,False,-0.6941694505452829,3.914723028198708,4.1062120423100446,3.914723028198708,1.1058305494547174,0.8775811807258866,1.309034253789116,-5.49297483356769,-9.134515567982367,7.934797726673648,0.0,0.7666666666666667,1.0,0.48004221135159103,1.3722732406663192
same_start_glide,glide,inflight_nominal,W0,dry_air,6,glide_robust_anchor_balanced_robust_ref_left_bias_006,0.6,True,completed_full_duration,False,False,-0.7007021323222804,3.914723028198708,4.175641413151835,3.914723028198708,1.0992978676777199,0.8775811807258866,1.309034253789116,-6.369509167435089,-12.134705659905052,6.630997149787928,0.0,0.6,1.0,0.48004221135159103,1.5029935012888536
same_start_glide,glide,inflight_nominal,W0,dry_air,7,glide_robust_anchor_balanced_agile_ref_right_bias_007,0.6,True,completed_full_duration,False,False,-0.6778809605790559,3.914723028198708,4.090877842633042,3.914723028198708,1.1221190394209444,0.8775811807258866,1.309034253789116,-5.455997778100893,-7.489435192478213,7.587844354701772,0.0,0.6333333333333333,1.0,0.48004221135159103,1.4854553033194766
same_start_recovery,recovery,inflight_nominal,W0,dry_air,0,recovery_robust_anchor_nominal_ref_nominal_000,0.6,True,completed_full_duration,False,False,-0.6885911898275203,3.914723028198708,4.037687847130555,3.914723028198708,1.1114088101724797,0.8775811807258866,1.309034253789116,-5.7265025720617295,-8.851148617317874,9.078304156673896,0.0,0.8,1.0,0.48004221135159103,1.3478378782867575
same_start_recovery,recovery,inflight_nominal,W0,dry_air,1,recovery_robust_anchor_attitude_heavy_ref_pitch_up_001,0.6,True,completed_full_duration,False,False,-0.6842183613806041,3.914723028198708,3.9887568811804655,3.914723028198708,1.1157816386193962,0.8775811807258866,1.309034253789116,-6.0875830160109645,-8.825631369764706,9.887343897072261,0.0,0.8333333333333334,1.0,0.48004221135159103,1.3229203429988574
same_start_recovery,recovery,inflight_nominal,W0,dry_air,3,recovery_robust_anchor_rate_damped_ref_damped_level_003,0.6,True,completed_full_duration,False,False,-0.6923809972671671,3.914723028198708,4.075795121308865,3.914723028198708,1.1076190027328332,0.8775811807258866,1.309034253789116,-4.840758170051987,-8.454549220862445,8.77737041212044,0.0,0.8333333333333334,1.0,0.48004221135159103,1.3196552886442323
same_start_recovery,recovery,inflight_nominal,W0,dry_air,5,recovery_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,0.6,True,completed_full_duration,False,False,-0.6861563997015654,3.914723028198708,3.9994128034283003,3.914723028198708,1.1138436002984347,0.8775811807258866,1.309034253789116,-5.416304931575933,-8.439063858698367,9.700470767553464,0.0,0.9333333333333333,1.0,0.48004221135159103,1.2421451276704731
same_start_recovery,recovery,inflight_nominal,W0,dry_air,6,recovery_robust_anchor_balanced_robust_ref_left_bias_006,0.6,True,completed_full_duration,False,False,-0.6951188722194164,3.914723028198708,4.067516596595785,3.914723028198708,1.1048811277805837,0.8775811807258866,1.309034253789116,-6.165475648377722,-10.934665174183861,8.72828273682179,0.0,0.7333333333333333,1.0,0.48004221135159103,1.3985601386633326
same_start_recovery,recovery,inflight_nominal,W0,dry_air,7,recovery_robust_anchor_balanced_agile_ref_right_bias_007,0.6,True,completed_full_duration,False,False,-0.6744031438355129,3.914723028198708,3.9875406977595436,3.914723028198708,1.1255968561644871,0.8775811807258866,1.309034253789116,-4.918838025993413,-6.745806352690398,9.674039123009932,0.0,0.8333333333333334,1.0,0.48004221135159103,1.3268464300168938
same_start_lift_entry,lift_entry,inflight_nominal,W0,dry_air,0,lift_entry_robust_anchor_nominal_ref_nominal_000,0.6,True,completed_full_duration,False,False,-0.6874835043475991,3.914723028198708,4.030240330633141,3.914723028198708,1.1125164956524012,0.8775811807258866,1.309034253789116,-5.601266351286921,-8.78231722784271,9.191109974000438,0.0,0.7666666666666667,1.0,0.48004221135159103,1.3749476191453929
same_start_lift_entry,lift_entry,inflight_nominal,W0,dry_air,1,lift_entry_robust_anchor_attitude_heavy_ref_pitch_up_001,0.6,True,completed_full_duration,False,False,-0.6834698664138883,3.914723028198708,3.983214087279848,3.914723028198708,1.116530133586112,0.8775811807258866,1.309034253789116,-5.847664678167107,-8.657105378413002,10.01859293938698,0.0,0.8,1.0,0.48004221135159103,1.3498864076522104
same_start_lift_entry,lift_entry,inflight_nominal,W0,dry_air,3,lift_entry_robust_anchor_rate_damped_ref_damped_level_003,0.6,True,completed_full_duration,False,False,-0.6911407799022662,3.914723028198708,4.064487203016976,3.914723028198708,1.108859220097734,0.8775811807258866,1.309034253789116,-4.616963863835633,-8.347394807184552,9.031779755845964,0.0,0.8333333333333334,1.0,0.48004221135159103,1.3201513755901926
same_start_lift_entry,lift_entry,inflight_nominal,W0,dry_air,5,lift_entry_robust_anchor_surface_aggressive_ref_agile_pitch_up_005,0.6,True,completed_full_duration,False,False,-0.6855110016850174,3.914723028198708,3.9949540287005085,3.914723028198708,1.1144889983149828,0.8775811807258866,1.309034253789116,-5.041796854247252,-8.228012033608456,9.854854248462495,0.0,0.9,1.0,0.48004221135159103,1.2690699535437586
same_start_lift_entry,lift_entry,inflight_nominal,W0,dry_air,6,lift_entry_robust_anchor_balanced_robust_ref_left_bias_006,0.6,True,completed_full_duration,False,False,-0.6937247201101409,3.914723028198708,4.0593262849373755,3.914723028198708,1.1062752798898594,0.8775811807258866,1.309034253789116,-5.691625021173918,-10.595280823234901,8.85482119520457,0.0,0.7333333333333333,1.0,0.48004221135159103,1.3991177995070427
same_start_lift_entry,lift_entry,inflight_nominal,W0,dry_air,7,lift_entry_robust_anchor_balanced_agile_ref_right_bias_007,0.6,True,completed_full_duration,False,False,-0.6719174676628219,3.914723028198708,3.974424756557599,3.914723028198708,1.1280825323371784,0.8775811807258866,1.309034253789116,-4.752538684111862,-6.566700783114795,9.847381550235545,0.0,0.8333333333333334,1.0,0.48004221135159103,1.3278407004859702
same_start_lift_dwell_arc,lift_dwell_arc,inflight_nominal,W0,dry_air,0,lift_dwell_arc_robust_anchor_nominal_ref_nominal_000,0.6,True,completed_full_duration,False,False,-0.6761629155484623,3.914723028198708,4.016056618987153,3.914723028198708,1.1238370844515377,0.8775811807258866,1.309034253789116,-2.87438008227335,-0.04741479913487671,9.534264055592624,0.0,0.7,1.0,0.48004221135159103,1.432809187998381
