stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed,entry_role_compatible,launch_gate_candidate_rows
W01,inflight_lift_region,inflight_stable,boundary_near,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,359,655,0,0,0,1014,0,0,0,1014,0.0,True,False,1014,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,363,653,0,0,0,1016,0,0,0,1016,0.0,True,False,1016,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,boundary_near,mild_turn_right,mild_turn,transition_object,inflight_entry_evidence_for_8_families,365,652,0,0,0,1017,0,0,0,1017,0.0,True,False,1017,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,boundary_near,recovery,recovery,transition_object,inflight_entry_evidence_for_8_families,363,653,0,0,0,1016,0,0,0,1016,0.0,True,False,1016,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,boundary_near,safe_exit_or_recovery_handoff,safe_exit,transition_object,inflight_entry_evidence_for_8_families,361,652,0,0,0,1013,0,0,0,1013,0.0,True,False,1013,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,inflight_stable,energy_retaining_bank,energy_retaining_bank,transition_object,inflight_entry_evidence_for_8_families,73,239,0,0,0,312,0,0,0,312,0.0,True,False,312,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,inflight_stable,glide,glide,transition_object,inflight_entry_evidence_for_8_families,71,229,0,0,0,300,0,0,0,300,0.0,True,False,300,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_dwell_arc,lift_dwell,transition_object,inflight_entry_evidence_for_8_families,72,239,0,0,0,311,0,0,0,311,0.0,True,False,311,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,inflight_stable,lift_entry,lift_entry,transition_object,inflight_entry_evidence_for_8_families,71,241,0,0,0,312,0,0,0,312,0.0,True,False,312,3840,False,True,False,True,0
W01,inflight_lift_region,inflight_stable,inflight_stable,mild_turn_left,mild_turn,transition_object,inflight_entry_evidence_for_8_families,73,236,0,0,0,309,0,0,0,309,0.0,True,False,309,3840,False,True,False,True,0
