boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
continuation_valid,True,False,accepted,26826
continuation_valid,True,False,weak,45206
episode_terminal_useful,False,True,weak,4764
hard_failure,False,False,failed,4
