r_m,w_mps,n,alpha,sigma_mps
0.0,1.142,1,0.1889822365046136,0.25883637044794666
0.3,2.3725,4,0.3779644730092272,0.25883637044794666
0.6,2.31725,4,0.3779644730092272,0.2817490947296058
0.8999999999999999,0.7185000000000001,12,0.6546536707079771,0.3033394766515531
1.2,0.1016875,16,0.7559289460184544,0.09201076541568902
1.5,0.02075,20,0.8451542547285166,0.23234309605777892
1.7999999999999998,0.0,12,0.6546536707079771,0.23234309605777892
2.1,0.0,28,1.0,0.23234309605777892
2.4,0.0,22,0.8864052604279183,0.23234309605777892
2.6999999999999997,0.0,16,0.7559289460184544,0.23234309605777892
3.0,0.0,18,0.8017837257372732,0.23234309605777892
3.3,0.0,8,0.5345224838248488,0.23234309605777892
3.5999999999999996,0.0,4,0.3779644730092272,0.23234309605777892
3.9,0.0,4,0.3779644730092272,0.23234309605777892
4.2,0.0,10,0.5976143046671968,0.23234309605777892
4.5,0.0,8,0.5345224838248488,0.23234309605777892
4.8,0.0,8,0.5345224838248488,0.23234309605777892
