stage_id,library_size_case_id,launch_gate_entry_primitive_family_count,launch_gate_candidate_rows,required_launch_gate_entry_primitive_family_count,missing_launch_gate_entry_primitive_ids,first_decision_audit_mode
R8,heavy_cluster,8,16,8,,post_w3_library_availability
R8,balanced_cluster,8,40,8,,post_w3_library_availability
R8,light_cluster,8,64,8,,post_w3_library_availability
R8,super_light_cluster,8,96,8,,post_w3_library_availability
R8,no_cluster_no_merge,8,432,8,,post_w3_library_availability
