stage_id,start_state_family,transition_entry_class,transition_exit_class,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,active_primitive_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_active_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_entry_gate_passed
W01,inflight_boundary_near,boundary_near,recoverable_degraded,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,7,9,0,0,0,16,0,0,0,16,0.0,True,False,16,5120,False,True,False
W01,inflight_boundary_near,boundary_near,recoverable_degraded,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,7,8,0,0,0,15,0,0,0,15,0.0,True,False,15,5120,False,True,False
W01,inflight_boundary_near,boundary_near,recoverable_degraded,safe_exit_or_recovery_handoff,safe_exit,transition_object,boundary_or_recovery_entry_evidence_for_8_families,7,12,0,0,0,19,0,0,0,19,0.0,True,False,19,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,energy_retaining_bank,energy_retaining_bank,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,784,0,0,0,0,784,0,0,784,0.0,True,False,784,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,glide,glide,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,785,0,0,0,0,785,0,0,785,0.0,True,False,785,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,lift_dwell_arc,lift_dwell,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,785,0,0,0,0,785,0,0,785,0.0,True,False,785,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,lift_entry,lift_entry,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,785,0,0,0,0,785,0,0,785,0.0,True,False,785,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,mild_turn_left,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,784,0,0,0,0,784,0,0,784,0.0,True,False,784,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,mild_turn_right,mild_turn,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,785,0,0,0,0,785,0,0,785,0.0,True,False,785,5120,False,True,False
W01,inflight_boundary_near,boundary_near,safe_terminal,recovery,recovery,transition_object,boundary_or_recovery_entry_evidence_for_8_families,0,783,0,0,0,0,783,0,0,783,0.0,True,False,783,5120,False,True,False
