primitive_id,entry_role,transition_entry_class,transition_exit_class,transition_chain_compatible,transition_failure_reason,row_count
lift_entry,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,349
lift_entry,transition_object,recoverable_degraded,inflight_stable,True,,185
lift_entry,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,23
lift_entry,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,216
lift_entry,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,458
lift_entry,transition_object,recoverable_degraded,recoverable_degraded,True,,49
mild_turn_left,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,429
mild_turn_left,transition_object,boundary_near,hard_failure,False,exit_class_hard_failure_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,1
mild_turn_left,transition_object,boundary_near,inflight_stable,True,,46
mild_turn_left,transition_object,boundary_near,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,20
mild_turn_left,transition_object,boundary_near,safe_terminal,True,,784
mild_turn_left,transition_object,inflight_stable,boundary_near,True,,2245
mild_turn_left,transition_object,inflight_stable,inflight_stable,True,,1613
mild_turn_left,transition_object,inflight_stable,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1262
mild_turn_left,transition_object,launch_gate,inflight_stable,True,,2377
mild_turn_left,transition_object,launch_gate,post_launch_degraded,True,,2743
mild_turn_left,transition_object,recoverable_degraded,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,344
mild_turn_left,transition_object,recoverable_degraded,inflight_stable,True,,181
mild_turn_left,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_boundary_time_margin_collapsed,23
mild_turn_left,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_floor_margin_collapsed,194
mild_turn_left,transition_object,recoverable_degraded,recoverable_degraded,False,recoverable_degraded_self_transition_without_attitude_rate_progress,481
mild_turn_left,transition_object,recoverable_degraded,recoverable_degraded,True,,57
mild_turn_right,transition_object,boundary_near,boundary_near,False,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,430
mild_turn_right,transition_object,boundary_near,inflight_stable,True,,49
mild_turn_right,transition_object,boundary_near,recoverable_degraded,False,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,16
mild_turn_right,transition_object,boundary_near,safe_terminal,True,,785
mild_turn_right,transition_object,inflight_stable,boundary_near,True,,2245
