audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_flow_map_information_gain,flow_map_information_gain_positive_count,mean_information_gain_score_component,information_gain_score_component_positive_count,mean_route_memory_score_component,route_memory_score_component_positive_count,mean_route_flow_exploitation_m,mean_route_flow_information_gain,mean_route_flow_confidence,mean_memory_cost_benefit_total_benefit,mean_memory_cost_benefit_total_cost,mean_memory_cost_benefit_net_value,memory_cost_benefit_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,10251,7690,206,206,0,0.0001919210310760157,0.0376639172901148,4.653385933649459e-05,0.6811733091693072,206,0.029508629790276877,0.8036129009603311,5.880341106743296e-06,1395,0.4351644604423184,7672,0.037047442642344275,7672,0.03686540436302802,7672,5.587791862453033e-06,0.21860179558478157,0.0007724592599121948,0.03694858248342345,8.31781203954238e-05,0.03686540436302802,7672,0.00014538717173952033,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",513,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8212001856267097,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",513,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8095031262435877,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:light_cluster",514,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8246740776919759,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",511,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.8257036203111234,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",510,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.825159553788066,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",513,513,9,9,0,0.0002486042139263546,0.0291893897046779,4.0499101765487726e-05,0.2744647371497183,9,0.036420299548372136,0.7998659100956298,1.6614048002580508e-06,71,0.5850576092601121,512,0.04945293945090129,512,0.049176185771477504,512,-2.7898532761988632e-05,0.28746323329216855,0.0006648988667200672,0.04930205869434661,0.00012587292286910898,0.049176185771477504,512,0.00020810511216086725,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",513,513,1,1,0,6.547153612577778e-06,0.0033586898032524,4.825783084949318e-07,0.026446449106653894,1,0.0364095332429644,0.7881280935069243,1.5711082111682492e-06,97,0.5718042263895304,510,0.04872216303529705,510,0.04859684140393091,510,-1.7767350012702244e-05,0.31962850362624473,0.0008846865324480004,0.048597323982239406,4.825783084949318e-07,0.04859684140393091,510,6.0645753040826515e-06,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",514,514,7,7,0,0.00010297007433836906,0.0171172124426277,1.9998118677548644e-05,0.23137379809360353,7,0.03698355803923667,0.8022573233819292,1.8198442633711238e-06,64,0.5815064463871069,512,0.04908590255578073,512,0.048854941834844054,512,-2.508136999908958e-05,0.2785720711597755,0.0006989176246625868,0.0489205706474107,6.562881256664884e-05,0.048854941834844054,512,8.297195566081946e-05,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",513,513,27,27,0,0.0004748597094693938,0.0376639172901148,8.165043173131759e-05,2.313204632980806,27,0.037790588632213684,0.8015370183259912,3.5932101581435246e-06,71,0.5822953896127466,513,0.0493034919022725,513,0.049020142690427475,513,-3.316827241401473e-05,0.27529391582326157,0.0011674039773203007,0.04912864423493143,0.00010850154450395463,0.049020142690427475,513,0.00039320927773807467,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:super_light_cluster",510,510,22,22,0,0.0003836399578308931,0.0237309147086832,0.00012635189912640703,0.9566662681878659,22,0.03790402029522669,0.8017410382495096,4.066956926691739e-06,74,0.5831946382028664,510,0.049294032407661746,510,0.04894810683387271,510,-1.6894511827530704e-05,0.2779751153450094,0.0014335521684853538,0.04913964033932723,0.00019153350545452605,0.04894810683387271,510,0.0002572880587044849,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:balanced_cluster",513,513,7,7,0,0.00023116835344399043,0.0291893890965946,3.9753941322723976e-05,0.11776568344912873,7,0.03594027998792334,0.7993025364934483,4.8286772261094945e-06,40,0.5850023253798662,512,0.049224366289283034,512,0.048970741784572884,512,-3.235793466605893e-05,0.2836662744217921,0.0007802660638802802,0.04909586954699923,0.00012512776242634523,0.048970741784572884,512,0.0001914144121212653,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:heavy_cluster",513,513,1,1,0,5.9094236931578946e-06,0.00303153435459,7.309941520623934e-09,1.57584631814183,1,0.03596301956831611,0.7879019181246834,3.1727406950517474e-06,51,0.5718639657866244,510,0.04845815137175059,510,0.048345468696834426,510,-1.2881050104467788e-05,0.3157602970360141,0.0006430160390340391,0.048345476006775946,7.309941520623934e-09,0.048345468696834426,510,5.902113751637038e-06,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:light_cluster",514,514,4,4,0,7.616391814683173e-05,0.0172879073708097,1.2412919447346109e-05,0.08360080757214768,4,0.0366377443451419,0.8018434831236001,1.043737813482774e-05,41,0.5811853550820854,512,0.04887232122143576,512,0.04868495902437655,512,8.556143449999721e-06,0.27587925570924116,0.0012758019117801195,0.04873592649388447,5.0967469507915756e-05,0.04868495902437655,512,6.375099869948522e-05,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:no_cluster_no_merge",513,513,23,23,0,0.0004103187934896111,0.0376639172901148,7.489035983003087e-05,2.2839061211743514,23,0.036974411930915,0.8010870700178307,8.066534146457534e-06,52,0.5827913487336812,513,0.04908611082573101,513,0.048846660697055115,513,1.601647415126043e-05,0.27298867628040424,0.0010691996550590208,0.04894840216965778,0.0001017414726026679,0.048846660697055115,513,0.0003354284336595792,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h3,library_size_case_id:super_light_cluster",513,513,21,21,0,0.000361258765447934,0.0237370450775467,0.00012262207688713408,0.5100214472212921,21,0.036975407898039464,0.8018623830876873,1.0842589363756046e-05,50,0.5830908968407075,513,0.04911713444910011,513,0.04879811299289873,513,3.0281382615622616e-05,0.27369609288149666,0.0012766786865564127,0.04898553549712961,0.00018742250423087813,0.04879811299289873,513,0.00023863668856079903,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:spatial_flow_belief_memory_h30,library_size_case_id:balanced_cluster",513,513,10,10,0,0.00027327610722618537,0.0291893890965946,4.340274479437155e-05,0.27224538882872795,10,0.044189286679271564,0.7963122732951636,1.0240763509726595e-05,158,0.5822273509717611,512,0.050125470118447195,512,0.04986011257077141,512,2.1666709222845412e-05,0.29929699923651243,0.0008666322804730852,0.05000271644628665,0.000142603875515246,0.04986011257077141,512,0.00022987336243181285,outer_loop_cost_benefit_spatial_flow_memory_v4_1,profiled
