comparison_type,environment_block_id,library_size_case_id,policy_id,baseline_policy_id,history_length,start_energy_group_id,start_energy_group_label,start_energy_group_basis,start_energy_feasibility_threshold_m_s,paired_launch_count,mean_paired_delta_launch_score,median_paired_delta_launch_score,win_rate,loss_rate,safety_regression_rate,mission_success_delta_mean,front_wall_terminal_success_delta_mean,wrong_wall_exit_delta_mean,safe_success_delta_mean,hard_failure_delta_mean,floor_or_ceiling_violation_delta_mean,no_viable_primitive_delta_mean,memory_changed_selection_rate,exploration_changed_selection_rate,mean_net_specific_energy_delta_m_delta,mean_positive_specific_energy_gain_m_delta,mean_updraft_specific_energy_gain_proxy_m_delta,mean_terminal_specific_energy_m_delta,mean_terminal_specific_energy_bonus_delta,mean_gross_specific_energy_loss_m_delta,mean_episode_flight_time_s_delta
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,0.0016968348990511204,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,-4.5324367703019334e-05,0.0,8.484174495255439e-05,-4.5324367703005876e-05,0.0,4.5324367703019334e-05,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0012077345097738761,0.0,-6.370141988664704e-06,0.0012077345097738828,0.0,-0.0012077345097738761,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,0.0016968348990511204,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,-2.933249796679214e-05,0.0,8.484174495255439e-05,-2.9332497966778682e-05,0.0,2.933249796679214e-05,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0004167405396285971,0.0,-6.370141988664704e-06,0.0004167405396285971,0.0,-0.0004167405396285971,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,-0.008430992366205222,0.0,0.12121212121212122,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,0.0,0.0026894696520356073,0.0005974168539088153,-0.0004215496183102364,0.002689469652035634,0.0,-0.0020920527981267895,-0.0006060606060606066
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,-0.0015391188918992401,0.0,0.004472595037987581,-0.0015391188918992109,0.0,0.0015391188918992434,0.0035294117647058855
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h10,no_memory_baseline,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,-5.512697662671691,0.0,0.06060606060606061,0.21212121212121213,0.0,-0.030303030303030304,-0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.3939393939393939,0.0,-0.00971339979139422,0.0,0.0030761121261825898,-0.009713399791394208,-0.6315080674795391,0.009713399791394222,0.004848484848484849
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h10,no_memory_baseline,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,0.003315181874046904,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,-0.0023484997332055787,0.0,-0.00143419965855336,-0.0023484997332055522,0.0032665455210639203,0.0023484997332055752,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h3,no_memory_baseline,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,-5.506291255796777,0.0,0.12121212121212122,0.15151515151515152,0.0,-0.030303030303030304,-0.030303030303030304,0.030303030303030304,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,-0.00854164386580718,0.0,0.0032449173184131157,-0.00854164386580714,-0.6315080674795391,0.008541643865807181,0.004848484848484849
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h3,no_memory_baseline,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,-0.0038397119179052197,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,-0.003165239000930572,0.0,0.0001464795548805976,-0.0031652390009305428,-0.0038397460511421103,0.003165239000930569,0.0
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h30,no_memory_baseline,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,1.4674661710265384,0.0,0.21212121212121213,0.18181818181818182,0.0,0.0,0.0,0.0,0.030303030303030304,-0.030303030303030304,0.0,0.0,0.5151515151515151,0.0,-0.0034940831919096443,-0.002677385274706597,0.00011452315422460721,-0.0034940831919096377,0.009074241847765114,0.0008166979172030467,0.0012121212121212165
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,no_cluster_no_merge,spatial_flow_belief_memory_h30,no_memory_baseline,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,-13.478507823814498,0.0,0.0,0.11764705882352941,0.058823529411764705,-0.058823529411764705,-0.058823529411764705,0.058823529411764705,-0.058823529411764705,0.058823529411764705,0.0,0.0,0.5294117647058824,0.0,-0.009887074655001089,0.0,-0.0006186217275071584,-0.009887074655001089,-1.0453492642085087,0.009887074655001082,0.00235294117647059
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,0.009355834256671377,0.0,0.12121212121212122,0.12121212121212122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,-0.004186892165023113,0.0,0.0003162765613184201,-0.004186892165023114,0.0,0.004186892165023113,-0.0006060606060606066
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h10,no_memory_baseline,10,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,-5.882467739924589,0.0,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.5294117647058824,0.0,0.0002770621261807402,0.0,0.004251408932378072,0.0002770621261806945,-0.00011571605867806015,-0.0002770621261807402,0.001176470588235295
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,-7.1715849717325835,0.0,0.12121212121212122,0.15151515151515152,0.030303030303030304,-0.030303030303030304,-0.030303030303030304,0.030303030303030304,-0.030303030303030304,0.030303030303030304,0.0,0.0,0.30303030303030304,0.0,-0.006422724696564729,0.0,-0.0008074141838374929,-0.0064227246965646995,-0.599175525640013,0.006422724696564729,0.006666666666666672
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h3,no_memory_baseline,3,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,-5.883728318651764,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.4117647058823529,0.0,0.0004717205678656032,0.0,0.004251365815693472,0.0004717205678655575,-0.0013754324521608088,-0.0004717205678656032,0.001176470588235295
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,high_start_energy_v0_ge_5_0_m_s,initial_launch_speed_m_s >= 5.0,initial_launch_speed_m_s,5.0,33,-0.008274578867636767,0.0,0.12121212121212122,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3939393939393939,0.0,-0.011398184608512338,0.0006768030242824694,0.0007323423672517902,-0.011398184608512342,0.0,0.01207498763279481,0.0024242424242424195
memory_vs_no_memory,r10_l7_full_domain_randomisation_arena_wide_training,super_light_cluster,spatial_flow_belief_memory_h30,no_memory_baseline,30,low_start_energy_v0_lt_5_0_m_s,initial_launch_speed_m_s < 5.0,initial_launch_speed_m_s,5.0,17,-5.883728318651764,0.0,0.0,0.11764705882352941,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.4117647058823529,0.0,0.0031990557684867284,0.0,0.0033918354575698762,0.0031990557684866694,-0.0013754324521608088,-0.0031990557684867284,0.0
