session_label,calibration_profile_hash,case_id,case_name,throw_id,command_axis,command_value,pulse_start_s,pulse_duration_s,replay_status,replay_policy,replay_dt_s,replay_command_source,actual_termination_group,sim_first_exit_reason,sim_first_exit_time_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,phi0_deg,theta0_deg,psi0_deg,actual_x_end_m,actual_y_end_m,actual_z_end_m,sim_x_end_m,sim_y_end_m,sim_z_end_m,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_glide_ratio_x_over_altloss,sim_glide_ratio_x_over_altloss,glide_ratio_residual_actual_minus_sim,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg,max_abs_sim_phi_deg,max_abs_sim_theta_deg,max_abs_sim_p_rad_s,max_abs_sim_q_rad_s,max_abs_sim_r_rad_s
20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.84,1.6790482,1.40596562,2.201857593,1.610490045,6.434561017,2.250159636,-0.03391812724,0.4550470831,0.9910534846,-1.259668752,8.390414807,0.8448968863,-6.02992413,5.927079753,3.435220393,0.385102216,10.42086355,4.189158938,2.247355057,4.521114132,9.01489793,-4.493783798,1.2333628,1.987301345,-0.7539385455,1.225387829,-0.6368650123,1.862252841,0.72981099,-0.379301209,1.109112199,3.689537324,-14.15511569,17.84465302,54.1163167,3.517125708,-29.06220453,27.21618323,0.6891936255,15.49710799,8.518948477,27.21618323,0.9070885831,0.9910534846,1.676006482
20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.875,1.4039163,1.258443945,2.115609882,1.619402072,5.791858327,0.1522210924,-0.5122623078,0.8250010066,-0.2673089577,-0.5700517573,4.345737539,-8.971805131,7.537325824,6.610438375,2.894930679,0.739510033,10.09053994,3.946262534,0.1419783153,5.35199443,8.832095992,-3.480101562,0.7793207976,1.830652652,-1.051331854,0.8798920387,1.477423756,-0.5975317177,0.6267410947,1.05235886,-0.4256177649,6.08255808,5.978038429,0.1045196512,2.508813611,2.504051071,-7.785842867,0.1433433576,-12.61622253,14.92340709,5.641484177,9.454122072,0.8250010066,0.2673089577,0.5700517573
20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.835,1.5527587,1.315749792,2.161881813,1.62434138,6.133186859,1.090146083,-0.3841901056,0.1648480125,-0.3911242023,-1.534279713,1.748980134,-6.602066946,0.07858523574,6.601986653,4.172701406,0.5038975579,11.14703138,2.244394568,0.7795776426,5.286236861,9.831281583,-4.545044723,2.010819592,0.08251275489,1.928306837,1.120443822,0.8447637374,0.2756800847,0.7215827044,0.5440405759,0.1775421285,4.717984745,11.63790673,-6.919921983,23.43190799,-7.193686337,-26.97597145,5.984465596,-42.28702233,-7.2497597,10.47896025,7.217576132,0.6668857882,0.3911242023,1.534279713
20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.93,1.6164924,1.289424354,2.180532599,1.604553654,5.942449938,0.9246731213,0.07340901989,0.5080515074,0.8704264238,-0.2761135805,-0.8259189978,-0.6300084772,-1.49828714,6.214737658,3.192346876,0.3964261434,9.831175857,2.897220679,1.771097281,4.925313304,8.541751503,-3.616438199,1.011814278,0.7166880803,0.2951261973,1.208127511,-0.1665436269,1.374671138,0.7473759301,-0.1030277822,0.8504037123,4.076815783,-51.28837206,55.36518784,-1.345594094,-0.8437278609,-21.31486811,22.89671036,-28.76846849,3.461288818,3.019534708,22.89671036,0.5080515074,0.8704264238,0.6360513487
20260602_225953,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.89,1.6165648,1.267957436,2.110185901,1.552269281,5.945451409,2.046324699,0.0415171476,0.4237840377,0.5803133161,-1.639915228,0.4719993734,-4.050991111,-8.149144805,6.406231333,4.163512092,0.3891906427,10.16381577,1.506320047,1.64473373,5.138273897,8.895858337,-3.75758444,2.053326191,-0.6038658532,2.657192044,1.163078638,-0.09246444909,1.255543087,0.7194754199,-0.05719810866,0.7766735286,4.417821571,-96.20841766,100.6262392,13.61884809,-13.70770261,-23.16001735,15.37777817,-40.06072816,-21.9888055,14.71293624,15.37777817,0.9199788648,0.5803133161,1.639915228
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v001,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.85,1.4001084,1.279158047,2.190480706,1.523128114,6.142417162,0.562504236,-0.06774491098,0.3471607,0.1769278904,-1.010685057,6.62735128,-5.037014818,-1.232670535,6.605002223,2.480886105,0.7137017796,9.974173636,3.09178271,0.8453701425,5.325844175,8.695015588,-3.369171413,0.290405399,0.9013020048,-0.6108966058,0.8094263347,0.6777579719,0.1316683629,0.5781169049,0.4840753558,0.09404154914,6.579776252,12.82908641,-6.249310161,20.62370713,2.574952221,-21.80679381,6.289312422,-0.3374037699,9.385042612,6.949963328,6.289312422,0.3818757839,0.1769278904,1.010685057
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v002,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.86,1.6023639,1.268312514,2.016922051,1.53296913,6.129191941,0.9244988711,-0.5172773739,0.6486085304,0.4159646384,-1.460285466,10.38972607,-4.974055737,-1.820160464,5.772558134,1.792611104,0.3761332299,10.82542119,3.362155711,1.163325192,4.50424562,9.557108674,-5.052863054,-0.2243109468,1.34523366,-1.569544607,1.1568359,0.3696439377,0.7871919623,0.721955793,0.230686636,0.491269157,3.893590802,25.85490441,-21.9613136,42.68150748,1.29463047,-7.778893711,11.103402,35.13254747,10.84839387,11.06232107,11.103402,0.6738297595,0.4159646384,1.460285466
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v003,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,front_wall,front_wall,0.77,1.7022378,1.355268194,2.098155712,1.554322433,6.789668691,0.3939407797,-0.1687264313,0.3635556488,0.1818939921,0.1183881814,-2.627541715,-5.103451236,1.94246753,6.614225466,2.655122822,0.527280452,12.73755722,2.618529926,0.9322464566,5.258957273,11.38228903,-6.123331757,0.5569671094,0.5203742133,0.03659289613,1.027041981,0.6220759766,0.4049660047,0.6033481229,0.3654459892,0.2379021337,5.120489102,18.29726506,-13.17677596,22.30866354,-2.034520639,-26.03879478,7.847486495,0.5953268888,-0.2906019964,2.995024107,7.847486495,0.3635556488,0.1818939921,0.2889116658
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v004,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,0.99,1.3441728,1.400935174,2.190223793,1.566131165,4.863674181,1.473040383,0.1306688423,-0.2943113109,-0.007358309683,-0.919539734,-2.087176841,-6.382245032,-7.411654789,5.85120592,3.315207602,0.3957346631,8.407078432,1.626309325,0.8738638685,4.450270746,7.006143258,-2.555872512,1.12498381,-0.5639144676,1.688898277,1.170396501,0.692267296,0.4781292054,0.8707187806,0.5150136173,0.3557051634,3.802361628,10.12057524,-6.318213617,-2.196152183,-10.3196786,-16.15052408,6.6497719,-21.39585697,-20.21014135,12.96920983,6.6497719,0.5963882728,0.2206869452,0.919539734
20260602_231554,,C0_neutral,Dry-air open-loop neutral glide characterisation,v005,neutral,0,0,0,ok,dry_air_current_model_exact_measured_launch_state_same_command_history_same_duration,0.005,command_schedule_csv_normalised_aggregate_to_radians,floor,front_wall,1.28,1.5734699,1.268387805,2.174118628,1.588063883,5.068636763,2.724129525,-0.3309826881,-0.1057454758,-0.1023913551,-1.663944333,-3.172723662,-3.766807402,-15.91371645,6.371566249,3.770032232,0.3872944312,6.892248487,2.543337387,0.4660717059,5.103178444,5.623860681,-0.5206822376,1.595913604,0.3692187589,1.226694845,1.200769452,1.121992177,0.07877727467,0.763134682,0.7130687261,0.05006595593,4.24992361,5.012388496,-0.7624648857,24.18012466,38.55048861,-21.29408355,20.52071871,-16.60423903,52.43822736,40.37918166,30.16951959,1.533617238,1.258499344,1.695765146
