environment_block_id,safe_success,full_safe_success,hard_failure,terminal_useful,base_failure_penalty_reason,launch_score,termination_cause,selected_primitive_step_count,episode_rollout_duration_s,end_x_m,end_y_m,end_z_m,min_logged_z_m,max_logged_z_m
four_fan,True,False,False,True,none,133.11871505523246,wall_boundary_exit_retained,12,1.16,6.677374555818523,3.0356959314221847,2.0284202471202932,1.7,2.116966100787384
no_updraft,True,False,False,True,none,66.66666666666666,wall_boundary_exit_retained,10,1.0,6.612297614512175,2.233731221590355,1.3738722339625853,1.3738722339625853,1.7179706318029828
single_fan,True,False,False,True,none,113.50832402090424,wall_boundary_exit_retained,11,1.0799999999999998,6.682144082593934,2.0459990452384846,1.7564792007317744,1.6876339954804604,1.987288113330081
