library_size_case_id,library_size_human_label,representative_count,selection_policy,library_manifest,library_table
heavy_cluster,heavy clustering and merging,30,coverage_medoid_best_worst_case_per_primitive_transition_entry,manifests/heavy_cluster_primitive_library.json,metrics/heavy_cluster_representative_library.csv
balanced_cluster,balanced clustering and merging,90,coverage_medoid_greedy_marginal_top_3_per_primitive_transition_entry,manifests/balanced_cluster_primitive_library.json,metrics/balanced_cluster_representative_library.csv
light_cluster,light clustering and merging,179,coverage_medoid_greedy_marginal_top_6_per_primitive_transition_entry,manifests/light_cluster_primitive_library.json,metrics/light_cluster_representative_library.csv
super_light_cluster,super-light clustering and merging,336,coverage_medoid_greedy_marginal_top_12_per_primitive_transition_entry,manifests/super_light_cluster_primitive_library.json,metrics/super_light_cluster_representative_library.csv
no_cluster_no_merge,no-clustering/no-merging,1595,all_w3_eligible_transition_objects_no_clustering_no_merging,manifests/no_cluster_no_merge_primitive_library.json,metrics/no_cluster_no_merge_representative_library.csv
