coverage_axis,value,row_count
outcome_class,accepted,65002
outcome_class,weak,195318
failure_label,controlled_xy_boundary_terminal,46183
failure_label,model_boundary_only,149118
failure_label,success,65002
failure_label,xy_boundary_terminal,17
boundary_use_class,continuation_valid,214120
boundary_use_class,episode_terminal_useful,46200
environment_mode,dry_air,32540
environment_mode,w3_randomised_four,162700
environment_mode,w3_randomised_single,65080
start_state_family,inflight_boundary_near,84000
start_state_family,inflight_lift_region,42080
start_state_family,inflight_nominal,42080
start_state_family,inflight_recovery_edge,23040
start_state_family,launch_gate,69120
timing_state_source,history_backed_fifo,260320
source_evidence_label,,260320
r7_evidence_block_id,r7_anchor_dry_air,32540
r7_evidence_block_id,r7_anchor_four_fan_fixed,32540
r7_evidence_block_id,r7_anchor_single_fan_fixed,32540
r7_evidence_block_id,r7_random_active_fan_count,32540
r7_evidence_block_id,r7_random_arena_wide,32540
r7_evidence_block_id,r7_random_four_fan_parameter,32540
r7_evidence_block_id,r7_random_local_fan_position,32540
r7_evidence_block_id,r7_random_single_fan_local,32540
r7_uncertainty_tier,active_fan_count_uncertainty,32540
r7_uncertainty_tier,anchor_dry_air,32540
r7_uncertainty_tier,anchor_fixed_four_fan,32540
r7_uncertainty_tier,anchor_fixed_single_fan,32540
r7_uncertainty_tier,arena_wide_full_randomisation,32540
r7_uncertainty_tier,four_fan_parameter_uncertainty,32540
r7_uncertainty_tier,local_fan_position_uncertainty,32540
r7_uncertainty_tier,single_fan_local_uncertainty,32540
r7_evidence_stage_role,heldout_control_anchor,97620
r7_evidence_stage_role,heldout_uncertainty_validation,162700
r7_active_fan_count_policy,balanced_0_1_2_3_4_for_active_fan_number_variation,32540
r7_active_fan_count_policy,balanced_0_1_2_3_4_with_arena_wide_fan_position_generalisation,32540
r7_active_fan_count_policy,fixed_four_active_fans,97620
r7_active_fan_count_policy,fixed_one_active_fan,65080
r7_active_fan_count_policy,fixed_zero_active_fans,32540
r7_fan_position_policy,common_shift,65080
r7_fan_position_policy,fixed_base_positions,130160
r7_fan_position_policy,independent_uniform_xy_bounds,32540
r7_fan_position_policy,no_fan_positions,32540
scheduled_active_fan_count,0,45556
scheduled_active_fan_count,1,78096
scheduled_active_fan_count,2,13016
scheduled_active_fan_count,3,13016
scheduled_active_fan_count,4,110636
transition_entry_class,boundary_near,84000
transition_entry_class,inflight_stable,84160
transition_entry_class,launch_gate,69120
transition_entry_class,recoverable_degraded,23040
transition_exit_class,boundary_near,72923
transition_exit_class,inflight_stable,56471
transition_exit_class,post_launch_degraded,47785
transition_exit_class,recoverable_degraded,36941
transition_exit_class,safe_terminal,46200
transition_pair,boundary_near->boundary_near,25200
transition_pair,boundary_near->inflight_stable,8303
transition_pair,boundary_near->recoverable_degraded,4297
transition_pair,boundary_near->safe_terminal,46200
transition_pair,inflight_stable->boundary_near,42711
transition_pair,inflight_stable->inflight_stable,21059
transition_pair,inflight_stable->recoverable_degraded,20390
transition_pair,launch_gate->inflight_stable,21335
transition_pair,launch_gate->post_launch_degraded,47785
transition_pair,recoverable_degraded->boundary_near,5012
transition_pair,recoverable_degraded->inflight_stable,5774
transition_pair,recoverable_degraded->recoverable_degraded,12254
transition_chain_compatible,False,66504
transition_chain_compatible,True,193816
transition_failure_reason,,193816
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,25200
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,5012
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,4297
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,20390
transition_failure_reason,recoverable_degraded_self_transition_boundary_time_margin_collapsed,1662
transition_failure_reason,recoverable_degraded_self_transition_floor_margin_collapsed,3257
transition_failure_reason,recoverable_degraded_self_transition_without_attitude_rate_progress,6686
turn_intent_label,left,32000
turn_intent_label,neutral,195200
turn_intent_label,right,33120
turn_intent_status,measurable_turn_intent,53217
turn_intent_status,not_turn_primitive,195200
turn_intent_status,weak_or_wrong_turn_intent,11903
turn_intent_correct_sign,False,207103
turn_intent_correct_sign,True,53217
