environment_mode,active_fan_count,row_count
dry_air,0,32540
w3_randomised_four,0,13016
w3_randomised_four,1,13016
w3_randomised_four,2,13016
w3_randomised_four,3,13016
w3_randomised_four,4,110636
w3_randomised_single,1,65080
