group,split,surface_axis,command_abs,replay_count,high_confidence_count,medium_confidence_count,low_confidence_count,mean_launch_confidence_score,mean_launch_lateral_contamination_score,primary_metric,all_abs_antisym_residual,high_confidence_abs_antisym_residual,confidence_weighted_abs_antisym_residual,high_minus_all_abs_residual,weighted_minus_all_abs_residual,replay_dx_mae_m,replay_dy_mae_m,replay_altitude_loss_mae_m
all,all,all,all,174,139,35,0,0.8246298746,0.3490437321,mean_primary,0.3079924361,0.3293156547,0.2989347193,0.02132321864,-0.009057716756,0.2398643992,0.4915025915,0.2142490156
aileron,all,aileron,all,59,39,20,0,0.7859042592,0.3950302727,peak_p_rad_s,0.1669960806,0.2490156126,0.1697852247,0.08201953199,0.002789144043,0.3803685688,0.5396754846,0.3170084741
aileron_0.2,all,aileron,0.2,12,10,2,0,0.8085943917,0.3703229708,peak_p_rad_s,0.111549037,0.01246741598,0.1075971188,-0.09908162099,-0.003951918196,0.3417203512,0.4562341553,0.2435998834
aileron_0.4,all,aileron,0.4,12,6,6,0,0.7713957391,0.4106369151,peak_p_rad_s,0.06746571982,0.177930149,0.0706133565,0.1104644292,0.003147636686,0.3251504225,0.3990293549,0.2964297872
aileron_0.6,all,aileron,0.6,12,9,3,0,0.7978018504,0.3800051454,peak_p_rad_s,0.5895577693,0.7590599341,0.6086106023,0.1695021648,0.01905283301,0.4942743303,0.7285592971,0.3938532217
aileron_0.8,all,aileron,0.8,11,7,4,0,0.7643025006,0.4214508365,peak_p_rad_s,0.007002924717,0.239504244,0.01226084755,0.2325013193,0.00525792283,0.3366778069,0.5757322292,0.3413021275
aileron_1,all,aileron,1,12,7,5,0,0.7856266676,0.3949372094,peak_p_rad_s,0.05940495225,0.05611631996,0.04984419814,-0.003288632294,-0.009560754112,0.4003790364,0.5418271152,0.3118818217
elevator,all,elevator,all,57,49,8,0,0.8437954099,0.3249926134,peak_q_rad_s,0.2411931984,0.2376097967,0.2119669531,-0.003583401766,-0.02922624538,0.148255413,0.436638593,0.1742193569
elevator_0.2,all,elevator,0.2,12,11,1,0,0.8505546849,0.3203287291,peak_q_rad_s,0.4797733984,0.5687556944,0.4533683289,0.08898229598,-0.02640506954,0.1918532949,0.4447000854,0.2235009737
elevator_0.4,all,elevator,0.4,11,9,2,0,0.8317441568,0.3377752802,peak_q_rad_s,0.2651831413,0.226855929,0.2541910711,-0.03832721224,-0.01099207022,0.1674478095,0.4814638926,0.1883194452
elevator_0.6,all,elevator,0.6,11,10,1,0,0.8611188903,0.2954188421,peak_q_rad_s,0.2184179915,0.1967900404,0.2188799715,-0.02162795113,0.0004619800257,0.1551824042,0.3855574323,0.1024213635
elevator_0.8,all,elevator,0.8,11,9,2,0,0.8286984477,0.346911196,peak_q_rad_s,0.1279035521,0.08711055935,0.07896259956,-0.04079299277,-0.04894095255,0.1219068067,0.5380772546,0.1799639902
elevator_1,all,elevator,1,12,10,2,0,0.8460421419,0.3249563092,peak_q_rad_s,0.1146879089,0.1085367603,0.05443279433,-0.006151148677,-0.06025511461,0.1048676483,0.3413262004,0.1725615728
rudder,all,rudder,all,58,51,7,0,0.8451880781,0.3259007645,peak_r_rad_s,0.5157880292,0.5013215549,0.5150519803,-0.01446647431,-0.0007360489327,0.1869672648,0.4964171986,0.1490573344
rudder_0.2,all,rudder,0.2,11,8,3,0,0.7982200048,0.3785289079,peak_r_rad_s,0.1665924245,0.07329026389,0.1659136114,-0.09330216064,-0.0006788130914,0.2608619426,0.2525397665,0.2024545753
rudder_0.4,all,rudder,0.4,11,11,0,0,0.86353583,0.3107020325,peak_r_rad_s,0.3312545773,0.3312545773,0.3234815358,0,-0.007773041479,0.1535067612,0.4944409272,0.08616516856
rudder_0.6,all,rudder,0.6,12,11,1,0,0.8566965256,0.3130380542,peak_r_rad_s,0.6545908738,0.6376141208,0.6342464083,-0.01697675302,-0.02034446547,0.182669967,0.5263930578,0.129377402
rudder_0.8,all,rudder,0.8,12,11,1,0,0.8621548766,0.3054313083,peak_r_rad_s,0.512138889,0.5679716764,0.528454782,0.05583278732,0.01631589298,0.1067989551,0.5460293228,0.1051220719
rudder_1,all,rudder,1,12,10,2,0,0.8429481265,0.3249226372,peak_r_rad_s,0.9143633816,0.8964771364,0.923163564,-0.01788624524,0.008800182396,0.2343682125,0.6421951103,0.2213762103
all,train,all,all,144,117,27,0,0.8261758377,0.3473243128,mean_primary,0.3701381826,0.4206877558,0.3640943414,0.05054957326,-0.006043841188,0.2377935436,0.5055857983,0.2194097658
aileron,train,aileron,all,49,31,18,0,0.7780958735,0.4035154171,peak_p_rad_s,0.2183894361,0.413717696,0.2247918011,0.19532826,0.006402365034,0.3751877143,0.5731487717,0.3209544509
aileron_0.2,train,aileron,0.2,10,8,2,0,0.8083777181,0.3695045959,peak_p_rad_s,0.1049818949,0.02051191682,0.09256156178,-0.0844699781,-0.01242033315,0.320721668,0.5095879053,0.2444821116
aileron_0.4,train,aileron,0.4,10,5,5,0,0.7637608137,0.4188250907,peak_p_rad_s,0.1161409447,0.3707109938,0.1361693488,0.2545700491,0.02002840412,0.3149983326,0.3633698091,0.2618763384
aileron_0.6,train,aileron,0.6,10,8,2,0,0.7978226059,0.3794294309,peak_p_rad_s,0.7111863605,0.7920793251,0.7217031252,0.08089296465,0.01051676467,0.4970702165,0.8417974852,0.3674987466
aileron_0.8,train,aileron,0.8,9,5,4,0,0.758219494,0.4276400359,peak_p_rad_s,0.004475701371,0.7733999261,0.008111354834,0.7689242247,0.003635653462,0.3800813746,0.6589062428,0.4097805052
aileron_1,train,aileron,1,10,5,5,0,0.760311098,0.4245903939,peak_p_rad_s,0.1551622789,0.1118863184,0.1654136149,-0.0432759605,0.01025133606,0.3635563461,0.5006581631,0.3300171579
elevator,train,elevator,all,47,42,5,0,0.8470188408,0.3211694121,peak_q_rad_s,0.3316924021,0.2977203171,0.3125656673,-0.03397208496,-0.01912673479,0.1560044791,0.444473858,0.1877783042
elevator_0.2,train,elevator,0.2,10,10,0,0,0.8585799726,0.311739842,peak_q_rad_s,0.5191611722,0.5191611722,0.4695675561,0,-0.04959361615,0.2229352714,0.4450696764,0.2621411656
elevator_0.4,train,elevator,0.4,9,7,2,0,0.8278710963,0.3395762655,peak_q_rad_s,0.3696668596,0.3623534915,0.354925916,-0.007313368152,-0.01474094365,0.1374341485,0.5747090653,0.2105403335
elevator_0.6,train,elevator,0.6,9,9,0,0,0.8807284246,0.2696689292,peak_q_rad_s,0.2956433089,0.2956433089,0.2897525238,0,-0.005890785113,0.1804461753,0.3564164481,0.1151378506
elevator_0.8,train,elevator,0.8,9,8,1,0,0.8374511268,0.3389847193,peak_q_rad_s,0.147147389,0.2105923258,0.1710338443,0.06344493687,0.02388645533,0.1281742702,0.5132257521,0.1871133509
elevator_1,train,elevator,1,10,8,2,0,0.8309629963,0.3443494724,peak_q_rad_s,0.3268432808,0.1008512873,0.2775484964,-0.2259919935,-0.04929478439,0.108836646,0.3440413174,0.1589044826
rudder,train,rudder,all,48,44,4,0,0.854848694,0.3155725673,peak_r_rad_s,0.5603327095,0.5506252543,0.5549255557,-0.009707455224,-0.005407153805,0.1776221199,0.4964540378,0.1467220392
rudder_0.2,train,rudder,0.2,9,7,2,0,0.8212865405,0.3533193346,peak_r_rad_s,0.3840150204,0.3040035651,0.3582214772,-0.0800114553,-0.02579354326,0.2382823558,0.2847336991,0.1675240547
rudder_0.4,train,rudder,0.4,9,9,0,0,0.8619473335,0.312409359,peak_r_rad_s,0.2704980735,0.2704980735,0.2603959495,0,-0.01010212398,0.1577447426,0.5257683015,0.0870540303
rudder_0.6,train,rudder,0.6,10,10,0,0,0.8570422197,0.3166767803,peak_r_rad_s,0.6987126323,0.6987126323,0.6857880542,0,-0.01292457812,0.190680729,0.553372728,0.1504656696
rudder_0.8,train,rudder,0.8,10,9,1,0,0.8702940486,0.2949621915,peak_r_rad_s,0.4859134217,0.5459877449,0.5005072005,0.06007432317,0.01459377877,0.09013180455,0.5007896673,0.09556689958
rudder_1,train,rudder,1,10,9,1,0,0.8610269764,0.3039535271,peak_r_rad_s,0.9625243996,0.9339242556,0.9697150972,-0.02860014399,0.007190697559,0.2153492536,0.5993651856,0.2291129423
all,heldout,all,all,30,22,8,0,0.8172092517,0.3572969452,mean_primary,0.4457862024,0.4071307287,0.4457862024,-0.03865547369,5.551115123e-17,0.2498045061,0.4239031987,0.1894774146
aileron,heldout,aileron,all,10,8,2,0,0.824165349,0.3534530654,peak_p_rad_s,0.1693178319,0.2173645228,0.1693178319,0.04804669097,5.551115123e-17,0.4057547558,0.3756563777,0.2976731877
aileron_0.2,heldout,aileron,0.2,2,2,0,0,0.8096777596,0.3744148455,peak_p_rad_s,0.1443847472,0.1443847472,0.1443847472,0,5.551115123e-17,0.446713767,0.189465405,0.2391887422
