candidate_id,split,surface_axis,alpha_regime,command_abs,replay_count,positive_count,negative_count,mean_actual_max_abs_alpha_deg,max_actual_max_abs_alpha_deg,mean_actual_alpha_gt_20_s,mean_actual_alpha_gt_30_s,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_metric,actual_antisymmetric_response,sim_antisymmetric_response,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,aileron,normal,0.2,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,0.4,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,0.6,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,0.8,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,normal,1,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.2,12,6,6,16.41240111,21.35463821,0.027502625,0,0.3417203512,0.4562341553,0.2435998834,13.17406149,6.570166767,7.641997676,peak_p_rad_s,-0.3594961665,-0.2479471296,0.111549037,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.4,11,5,6,17.25372526,21.21750538,0.02069400909,0,0.3078222557,0.3354709164,0.2988351833,17.90186717,8.105031348,15.50526597,peak_p_rad_s,-0.7275144045,-0.6195254961,0.1079889084,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.6,8,5,3,17.19549703,21.00595519,0.009712762499,0,0.480453627,0.4382250174,0.4172477789,29.43494496,6.076265949,22.92374446,peak_p_rad_s,-0.2150103417,-1.031761581,0.816751239,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,0.8,7,5,2,18.58259515,20.75258911,0.01561595714,0,0.3573325836,0.3076602846,0.3642953071,33.4856206,7.910612921,29.22817311,peak_p_rad_s,-1.030683945,-1.104278797,0.07359485215,frozen active calibrated replay
C0_frozen_neutral,all,aileron,transition,1,7,3,4,16.48527209,20.66643393,0.02138438571,0,0.4128790852,0.4481163508,0.3462022371,36.7736605,14.98619148,46.92626044,peak_p_rad_s,-1.406100451,-1.227765766,0.1783346851,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.2,0,0,0,,,,,,,,,,,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.4,1,1,0,26.27708717,26.27708717,0.269856,0,0.5157602573,1.098172179,0.2699704301,16.66632117,4.538430237,19.42375228,peak_p_rad_s,,,,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.6,4,1,3,28.36812574,37.6464996,0.21913775,0.024618975,0.5219157369,1.309227856,0.3470641073,28.94702096,10.24430137,33.13309679,peak_p_rad_s,-1.420202648,-1.355074808,0.06512783985,frozen active calibrated replay
C0_frozen_neutral,all,aileron,post_stall,0.8,4,1,3,38.38392588,52.49679849,0.294534875,0.10441525,0.3005319477,1.044858132,0.3010640631,22.25616636,16.67140863,35.41487965,peak_p_rad_s,-0.5657340285,-1.240878076,0.6751440473,frozen active calibrated replay
