candidate_id,split,surface_axis,replay_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,all,174,0.2398643992,0.4915025915,0.2142490156,17.07591271,11.7733271,16.47179278,0.3079924361,frozen active calibrated replay
C0_frozen_neutral,all,aileron,59,0.3803685688,0.5396754846,0.3170084741,25.06196153,9.487756775,25.99287089,0.1669960806,frozen active calibrated replay
C0_frozen_neutral,all,elevator,57,0.148255413,0.436638593,0.1742193569,12.62161596,19.294813,7.662457165,0.2411931984,frozen active calibrated replay
C0_frozen_neutral,all,rudder,58,0.1869672648,0.4964171986,0.1490573344,13.32967191,6.706498711,15.44400867,0.5157880292,frozen active calibrated replay
C0_frozen_neutral,train,all,144,0.2377935436,0.5055857983,0.2194097658,17.24855319,11.43227836,15.98107374,0.3701381826,frozen active calibrated replay
C0_frozen_neutral,train,aileron,49,0.3751877143,0.5731487717,0.3209544509,25.24278122,9.154322736,24.26619414,0.2183894361,frozen active calibrated replay
C0_frozen_neutral,train,elevator,47,0.1560044791,0.444473858,0.1877783042,12.71742689,19.14387814,8.132084064,0.3316924021,frozen active calibrated replay
C0_frozen_neutral,train,rudder,48,0.1776221199,0.4964540378,0.1467220392,13.52450657,6.206749953,15.20881574,0.5603327095,frozen active calibrated replay
C0_frozen_neutral,heldout,all,30,0.2498045061,0.4239031987,0.1894774146,16.24723839,13.41036105,18.82724416,0.4457862024,frozen active calibrated replay
C0_frozen_neutral,heldout,aileron,10,0.4057547558,0.3756563777,0.2976731877,24.17594503,11.12158357,34.453587,0.1693178319,frozen active calibrated replay
C0_frozen_neutral,heldout,elevator,10,0.1118348024,0.3998128477,0.1104923048,12.17130458,20.00420684,5.45521074,0.5431311701,frozen active calibrated replay
C0_frozen_neutral,heldout,rudder,10,0.2318239601,0.4962403706,0.1602667512,12.39446556,9.105292748,16.57293475,0.6249096051,frozen active calibrated replay
P1_pairwise_aileron_gain,all,all,174,0.2364728727,0.4917647502,0.2074164507,15.64080336,11.34070886,15.57375923,0.3151359892,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
P1_pairwise_aileron_gain,all,aileron,59,0.3703664398,0.5404486307,0.296858198,20.82960514,8.211899574,23.34443295,0.1884267399,diagnostic launch-confidence-weighted surface aero/coupling replay only; not promoted
