split,surface_axis,command_abs,metric,positive_count,negative_count,actual_positive_mean,actual_negative_mean,actual_antisymmetric_response,actual_symmetric_response,sim_positive_mean,sim_negative_mean,sim_antisymmetric_response,sim_symmetric_response,antisymmetric_residual_actual_minus_sim,symmetric_residual_actual_minus_sim
all,aileron,0.2,peak_p_rad_s,6,6,-0.5525316705,0.1664606626,-0.3594961665,-0.1930355039,0.2249366171,0.7208308762,-0.2479471296,0.4728837466,-0.111549037,-0.6659192506
all,aileron,0.2,p_impulse_rad,6,6,-0.1940761314,0.04801247783,-0.1210443046,-0.07303182681,0.03966608026,0.3485676289,-0.1544507743,0.1941168546,0.03340646968,-0.2671486814
all,aileron,0.2,phi_change_deg,6,6,-12.75827875,-2.800998089,-4.978640333,-7.779638421,-5.312744719,9.838214768,-7.575479744,2.262735024,2.596839411,-10.04237345
all,aileron,0.2,yaw_coupling_psi_change_deg,6,6,6.479228445,7.228541738,-0.3746566468,6.853885091,9.350093157,4.180352197,2.58487048,6.765222677,-2.959527127,0.08866241459
all,aileron,0.2,response_dy_m,6,6,0.0457172194,0.04249963508,0.00160879216,0.04410842724,-0.04398250576,-0.1290243327,0.04252091345,-0.08650341921,-0.04091212129,0.1306118465
all,aileron,0.4,peak_p_rad_s,6,6,-0.811139094,0.3386551455,-0.5748971197,-0.2362419743,-0.3366657685,0.9480599106,-0.6423628396,0.305697071,0.06746571982,-0.5419390453
all,aileron,0.4,p_impulse_rad,6,6,-0.3413325856,0.0996814531,-0.2205070193,-0.1208255662,-0.1993233454,0.4445051456,-0.3219142455,0.1225909001,0.1014072262,-0.2434164664
all,aileron,0.4,phi_change_deg,6,6,-23.26140998,2.29813363,-12.7797718,-10.48163817,-16.66017777,16.56213765,-16.61115771,-0.04902006153,3.831385907,-10.43261811
all,aileron,0.4,yaw_coupling_psi_change_deg,6,6,11.3538464,7.864812595,1.744516905,9.6093295,12.55410101,-0.6133435457,6.583722277,5.970378731,-4.839205372,3.638950768
all,aileron,0.4,response_dy_m,6,6,0.004969497154,-0.04230829708,0.02363889712,-0.01866939996,-0.08373336214,-0.09094646967,0.003606553764,-0.0873399159,0.02003234335,0.06867051594
all,aileron,0.6,peak_p_rad_s,6,6,-1.096909849,-0.02890336803,-0.5340032405,-0.5629066085,-1.000065601,1.247056419,-1.12356101,0.1234954092,0.5895577693,-0.6864020177
all,aileron,0.6,p_impulse_rad,6,6,-0.5033671413,0.02183034246,-0.2625987419,-0.2407683994,-0.4509352352,0.5601992701,-0.5055672527,0.05463201748,0.2429685108,-0.2954004169
all,aileron,0.6,phi_change_deg,6,6,-29.84549753,4.689486303,-17.26749192,-12.57800562,-31.15761561,23.74216404,-27.44988983,-3.707725781,10.18239791,-8.870279835
all,aileron,0.6,yaw_coupling_psi_change_deg,6,6,10.60085115,7.543734087,1.52855853,9.072292617,14.39369255,-2.501803382,8.447747965,5.945944583,-6.919189435,3.126348034
all,aileron,0.6,response_dy_m,6,6,-0.1923396395,-0.2362928852,0.02197662289,-0.2143162623,0.2552322642,0.05480942045,0.1002114219,0.1550208423,-0.07823479898,-0.3693371047
all,aileron,0.8,peak_p_rad_s,6,5,-1.618643071,0.269701181,-0.9441721259,-0.6744709449,-0.7045601128,1.16977829,-0.9371692012,0.2326090883,-0.007002924717,-0.9070800332
