event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
65,1,Aileron_L,-0.125,139.2178393,141.2178393,negative_first,negative,return,19,23
66,1,Aileron_L,-0.1,141.2178393,143.2178393,negative_first,negative,return,20,23
67,1,Aileron_L,-0.075,143.2178393,145.2178393,negative_first,negative,return,21,23
68,1,Aileron_L,-0.05,145.2178393,147.2178393,negative_first,negative,return,22,23
69,1,Aileron_L,-0,147.2178393,149.2178393,negative_first,negative,return,23,23
70,1,Aileron_L,0,149.2178393,151.2178393,negative_first,positive,outbound,1,23
71,1,Aileron_L,0.05,151.2178393,153.2178393,negative_first,positive,outbound,2,23
72,1,Aileron_L,0.075,153.2178393,155.2178393,negative_first,positive,outbound,3,23
73,1,Aileron_L,0.1,155.2178393,157.2178393,negative_first,positive,outbound,4,23
74,1,Aileron_L,0.125,157.2178393,159.2178393,negative_first,positive,outbound,5,23
75,1,Aileron_L,0.15,159.2178393,161.2178393,negative_first,positive,outbound,6,23
76,1,Aileron_L,0.2,161.2178393,163.2178393,negative_first,positive,outbound,7,23
77,1,Aileron_L,0.3,163.2178393,165.2178393,negative_first,positive,outbound,8,23
78,1,Aileron_L,0.45,165.2178393,167.2178393,negative_first,positive,outbound,9,23
79,1,Aileron_L,0.6,167.2178393,169.2178393,negative_first,positive,outbound,10,23
80,1,Aileron_L,0.8,169.2178393,171.2178393,negative_first,positive,outbound,11,23
81,1,Aileron_L,1,171.2178393,173.2178393,negative_first,positive,outbound,12,23
82,1,Aileron_L,0.8,173.2178393,175.2178393,negative_first,positive,return,13,23
83,1,Aileron_L,0.6,175.2178393,177.2178393,negative_first,positive,return,14,23
84,1,Aileron_L,0.45,177.2178393,179.2178393,negative_first,positive,return,15,23
85,1,Aileron_L,0.3,179.2178393,181.2178393,negative_first,positive,return,16,23
86,1,Aileron_L,0.2,181.2178393,183.2178393,negative_first,positive,return,17,23
87,1,Aileron_L,0.15,183.2178393,185.2178393,negative_first,positive,return,18,23
88,1,Aileron_L,0.125,185.2178393,187.2178393,negative_first,positive,return,19,23
89,1,Aileron_L,0.1,187.2178393,189.2178393,negative_first,positive,return,20,23
90,1,Aileron_L,0.075,189.2178393,191.2178393,negative_first,positive,return,21,23
91,1,Aileron_L,0.05,191.2178393,193.2178393,negative_first,positive,return,22,23
92,1,Aileron_L,0,193.2178393,195.2178393,negative_first,positive,return,23,23
93,2,Aileron_R,0,195.2178393,197.2178393,positive_first,positive,outbound,1,23
94,2,Aileron_R,0.05,197.2178393,199.2178393,positive_first,positive,outbound,2,23
95,2,Aileron_R,0.075,199.2178393,201.2178393,positive_first,positive,outbound,3,23
96,2,Aileron_R,0.1,201.2178393,203.2178393,positive_first,positive,outbound,4,23
97,2,Aileron_R,0.125,203.2178393,205.2178393,positive_first,positive,outbound,5,23
98,2,Aileron_R,0.15,205.2178393,207.2178393,positive_first,positive,outbound,6,23
99,2,Aileron_R,0.2,207.2178393,209.2178393,positive_first,positive,outbound,7,23
100,2,Aileron_R,0.3,209.2178393,211.2178393,positive_first,positive,outbound,8,23
101,2,Aileron_R,0.45,211.2178393,213.2178393,positive_first,positive,outbound,9,23
102,2,Aileron_R,0.6,213.2178393,215.2178393,positive_first,positive,outbound,10,23
103,2,Aileron_R,0.8,215.2178393,217.2178393,positive_first,positive,outbound,11,23
104,2,Aileron_R,1,217.2178393,219.2178393,positive_first,positive,outbound,12,23
105,2,Aileron_R,0.8,219.2178393,221.2178393,positive_first,positive,return,13,23
106,2,Aileron_R,0.6,221.2178393,223.2178393,positive_first,positive,return,14,23
107,2,Aileron_R,0.45,223.2178393,225.2178393,positive_first,positive,return,15,23
108,2,Aileron_R,0.3,225.2178393,227.2178393,positive_first,positive,return,16,23
109,2,Aileron_R,0.2,227.2178393,229.2178393,positive_first,positive,return,17,23
