envelope_cell_id,layout_branch_id,fan_layout,test_environment_mode,family,target_heading_deg,direction_sign,start_class,latency_case,radius_bin_m,speed_bin_m_s,wing_mean_bin_m_s,margin_bin_m,trial_count,evaluated_trial_count,success_count,success_fraction,nominal_pass_count,conservative_pass_count,dominant_failure_label,dominant_governor_rejection_cause,mean_heading_error_deg,median_heading_error_deg,mean_energy_residual_m,mean_lift_dwell_fraction,min_true_margin_m_min,saturation_fraction_mean,cell_status,branch_decision_scope
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[0.75,1.00)|speed=v[6.00,6.50)|wing_mean=ww[0.80,0.90)|margin=m[0.25,0.50)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[0.75,1.00)","v[6.00,6.50)","ww[0.80,0.90)","m[0.25,0.50)",2,2,2,1.0,2,0,success,none,2.0563650696301004,2.0563650696301004,0.1341158917654472,1.0,0.4557463852576591,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[0.75,1.00)|speed=v[6.00,6.50)|wing_mean=ww[0.90,1.00)|margin=m[0.00,0.25)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[0.75,1.00)","v[6.00,6.50)","ww[0.90,1.00)","m[0.00,0.25)",1,1,1,1.0,1,0,success,none,0.817244436007428,0.817244436007428,0.0804791448472554,1.0,0.0165208452815672,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[0.75,1.00)|speed=v[6.50,7.00)|wing_mean=ww[0.60,0.70)|margin=m[0.25,0.50)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[0.75,1.00)","v[6.50,7.00)","ww[0.60,0.70)","m[0.25,0.50)",1,1,1,1.0,1,0,success,none,1.641306591442499,1.641306591442499,0.2534938736984005,1.0,0.3623735514067787,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[0.75,1.00)|speed=v[6.50,7.00)|wing_mean=ww[0.90,1.00)|margin=m[0.00,0.25)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[0.75,1.00)","v[6.50,7.00)","ww[0.90,1.00)","m[0.00,0.25)",1,1,1,1.0,1,0,success,none,2.727544417189911,2.727544417189911,0.1383038933373841,1.0,0.0365130689463191,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[1.00,1.25)|speed=v[6.00,6.50)|wing_mean=ww[0.40,0.50)|margin=m[0.75,1.00)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[1.00,1.25)","v[6.00,6.50)","ww[0.40,0.50)","m[0.75,1.00)",1,1,1,1.0,1,0,success,none,4.47649062843098,4.47649062843098,0.172795980185664,1.0,0.8543419016445244,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[1.00,1.25)|speed=v[6.00,6.50)|wing_mean=ww[0.50,0.60)|margin=m[0.75,1.00)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[1.00,1.25)","v[6.00,6.50)","ww[0.50,0.60)","m[0.75,1.00)",1,1,1,1.0,1,0,success,none,4.710245084743907,4.710245084743907,0.1189588100794143,1.0,0.9562424432126602,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[1.00,1.25)|speed=v[6.00,6.50)|wing_mean=ww[0.60,0.70)|margin=m[0.25,0.50)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[1.00,1.25)","v[6.00,6.50)","ww[0.60,0.70)","m[0.25,0.50)",1,1,1,1.0,1,0,success,none,1.310487172427523,1.310487172427523,0.04442036492064,1.0,0.3344067601165328,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[1.00,1.25)|speed=v[6.50,7.00)|wing_mean=ww[0.60,0.70)|margin=m[0.25,0.50)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[1.00,1.25)","v[6.50,7.00)","ww[0.60,0.70)","m[0.25,0.50)",1,1,1,1.0,1,0,success,none,4.733980672998074,4.733980672998074,0.0154798111046821,1.0,0.3024921952167929,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[1.00,1.25)|speed=v[6.50,7.00)|wing_mean=ww[0.70,0.80)|margin=m[0.00,0.25)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[1.00,1.25)","v[6.50,7.00)","ww[0.70,0.80)","m[0.00,0.25)",1,1,1,1.0,1,0,success,none,3.60247527693811,3.60247527693811,-0.0380123336148647,1.0,0.1092346412869682,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
"cell|branch=four_fan_branch|fan=four_fan|env=W1_four_fan|family=bank_yaw_energy_retaining|target=15p0|dir=-1|start=favourable|latency=nominal|radius=r[1.25,1.50)|speed=v[6.00,6.50)|wing_mean=ww[0.40,0.50)|margin=m[0.50,0.75)",four_fan_branch,four_fan,W1_four_fan,bank_yaw_energy_retaining,15.0,-1,favourable,nominal,"r[1.25,1.50)","v[6.00,6.50)","ww[0.40,0.50)","m[0.50,0.75)",1,1,1,1.0,1,0,success,none,2.6462383246672108,2.6462383246672108,0.148723052071912,1.0,0.5987277019533259,0.0,all_success,branch_local_only_no_cross_layout_decision_transfer
