stage_id,library_size_case_id,primitive_id,transition_entry_class,representative_count,active_primitive_family
R8,light_cluster,safe_exit_or_recovery_handoff,launch_gate,8,True
R8,light_cluster,safe_exit_or_recovery_handoff,recoverable_degraded,6,True
R8,no_cluster_no_merge,energy_retaining_bank,boundary_near,66,True
R8,no_cluster_no_merge,energy_retaining_bank,inflight_stable,66,True
R8,no_cluster_no_merge,energy_retaining_bank,launch_gate,54,True
R8,no_cluster_no_merge,energy_retaining_bank,recoverable_degraded,14,True
R8,no_cluster_no_merge,glide,boundary_near,66,True
R8,no_cluster_no_merge,glide,inflight_stable,66,True
R8,no_cluster_no_merge,glide,launch_gate,54,True
R8,no_cluster_no_merge,glide,recoverable_degraded,14,True
R8,no_cluster_no_merge,lift_dwell_arc,boundary_near,66,True
R8,no_cluster_no_merge,lift_dwell_arc,inflight_stable,66,True
R8,no_cluster_no_merge,lift_dwell_arc,launch_gate,54,True
R8,no_cluster_no_merge,lift_dwell_arc,recoverable_degraded,7,True
R8,no_cluster_no_merge,lift_entry,boundary_near,66,True
R8,no_cluster_no_merge,lift_entry,inflight_stable,66,True
R8,no_cluster_no_merge,lift_entry,launch_gate,54,True
R8,no_cluster_no_merge,lift_entry,recoverable_degraded,20,True
R8,no_cluster_no_merge,mild_turn_left,boundary_near,66,True
R8,no_cluster_no_merge,mild_turn_left,inflight_stable,66,True
R8,no_cluster_no_merge,mild_turn_left,launch_gate,54,True
R8,no_cluster_no_merge,mild_turn_left,recoverable_degraded,21,True
R8,no_cluster_no_merge,mild_turn_right,boundary_near,66,True
R8,no_cluster_no_merge,mild_turn_right,inflight_stable,66,True
R8,no_cluster_no_merge,mild_turn_right,launch_gate,54,True
R8,no_cluster_no_merge,mild_turn_right,recoverable_degraded,7,True
R8,no_cluster_no_merge,recovery,boundary_near,65,True
R8,no_cluster_no_merge,recovery,inflight_stable,66,True
R8,no_cluster_no_merge,recovery,launch_gate,54,True
R8,no_cluster_no_merge,recovery,recoverable_degraded,14,True
R8,no_cluster_no_merge,safe_exit_or_recovery_handoff,boundary_near,66,True
R8,no_cluster_no_merge,safe_exit_or_recovery_handoff,inflight_stable,66,True
R8,no_cluster_no_merge,safe_exit_or_recovery_handoff,launch_gate,54,True
R8,no_cluster_no_merge,safe_exit_or_recovery_handoff,recoverable_degraded,21,True
R8,super_light_cluster,energy_retaining_bank,boundary_near,12,True
R8,super_light_cluster,energy_retaining_bank,inflight_stable,12,True
R8,super_light_cluster,energy_retaining_bank,launch_gate,12,True
R8,super_light_cluster,energy_retaining_bank,recoverable_degraded,12,True
R8,super_light_cluster,glide,boundary_near,12,True
R8,super_light_cluster,glide,inflight_stable,12,True
R8,super_light_cluster,glide,launch_gate,12,True
R8,super_light_cluster,glide,recoverable_degraded,12,True
R8,super_light_cluster,lift_dwell_arc,boundary_near,12,True
R8,super_light_cluster,lift_dwell_arc,inflight_stable,12,True
R8,super_light_cluster,lift_dwell_arc,launch_gate,12,True
R8,super_light_cluster,lift_dwell_arc,recoverable_degraded,7,True
R8,super_light_cluster,lift_entry,boundary_near,12,True
R8,super_light_cluster,lift_entry,inflight_stable,12,True
R8,super_light_cluster,lift_entry,launch_gate,12,True
R8,super_light_cluster,lift_entry,recoverable_degraded,12,True
R8,super_light_cluster,mild_turn_left,boundary_near,12,True
R8,super_light_cluster,mild_turn_left,inflight_stable,12,True
R8,super_light_cluster,mild_turn_left,launch_gate,12,True
R8,super_light_cluster,mild_turn_left,recoverable_degraded,12,True
R8,super_light_cluster,mild_turn_right,boundary_near,12,True
R8,super_light_cluster,mild_turn_right,inflight_stable,12,True
R8,super_light_cluster,mild_turn_right,launch_gate,12,True
R8,super_light_cluster,mild_turn_right,recoverable_degraded,7,True
R8,super_light_cluster,recovery,boundary_near,12,True
R8,super_light_cluster,recovery,inflight_stable,12,True
R8,super_light_cluster,recovery,launch_gate,12,True
R8,super_light_cluster,recovery,recoverable_degraded,12,True
R8,super_light_cluster,safe_exit_or_recovery_handoff,boundary_near,12,True
R8,super_light_cluster,safe_exit_or_recovery_handoff,inflight_stable,12,True
R8,super_light_cluster,safe_exit_or_recovery_handoff,launch_gate,12,True
R8,super_light_cluster,safe_exit_or_recovery_handoff,recoverable_degraded,12,True
