stage_id,library_size_case_id,primitive_id,transition_entry_class,representative_count,active_primitive_family
R8,balanced_cluster,energy_retaining_bank,boundary_near,3,True
R8,balanced_cluster,energy_retaining_bank,inflight_stable,3,True
R8,balanced_cluster,energy_retaining_bank,launch_gate,5,True
R8,balanced_cluster,energy_retaining_bank,recoverable_degraded,3,True
R8,balanced_cluster,glide,boundary_near,3,True
R8,balanced_cluster,glide,inflight_stable,3,True
R8,balanced_cluster,glide,launch_gate,5,True
R8,balanced_cluster,glide,recoverable_degraded,3,True
R8,balanced_cluster,lift_dwell_arc,boundary_near,3,True
R8,balanced_cluster,lift_dwell_arc,inflight_stable,3,True
R8,balanced_cluster,lift_dwell_arc,launch_gate,5,True
R8,balanced_cluster,lift_dwell_arc,recoverable_degraded,3,True
R8,balanced_cluster,lift_entry,boundary_near,3,True
R8,balanced_cluster,lift_entry,inflight_stable,3,True
R8,balanced_cluster,lift_entry,launch_gate,5,True
R8,balanced_cluster,lift_entry,recoverable_degraded,3,True
R8,balanced_cluster,mild_turn_left,boundary_near,3,True
R8,balanced_cluster,mild_turn_left,inflight_stable,3,True
R8,balanced_cluster,mild_turn_left,launch_gate,5,True
R8,balanced_cluster,mild_turn_left,recoverable_degraded,3,True
R8,balanced_cluster,mild_turn_right,boundary_near,3,True
R8,balanced_cluster,mild_turn_right,inflight_stable,3,True
R8,balanced_cluster,mild_turn_right,launch_gate,5,True
R8,balanced_cluster,mild_turn_right,recoverable_degraded,3,True
R8,balanced_cluster,recovery,boundary_near,3,True
R8,balanced_cluster,recovery,inflight_stable,3,True
R8,balanced_cluster,recovery,launch_gate,5,True
R8,balanced_cluster,recovery,recoverable_degraded,3,True
R8,balanced_cluster,safe_exit_or_recovery_handoff,boundary_near,3,True
R8,balanced_cluster,safe_exit_or_recovery_handoff,inflight_stable,3,True
R8,balanced_cluster,safe_exit_or_recovery_handoff,launch_gate,5,True
R8,balanced_cluster,safe_exit_or_recovery_handoff,recoverable_degraded,3,True
R8,heavy_cluster,energy_retaining_bank,boundary_near,1,True
R8,heavy_cluster,energy_retaining_bank,inflight_stable,1,True
R8,heavy_cluster,energy_retaining_bank,launch_gate,2,True
R8,heavy_cluster,energy_retaining_bank,recoverable_degraded,1,True
R8,heavy_cluster,glide,boundary_near,1,True
R8,heavy_cluster,glide,inflight_stable,1,True
R8,heavy_cluster,glide,launch_gate,2,True
R8,heavy_cluster,glide,recoverable_degraded,1,True
R8,heavy_cluster,lift_dwell_arc,boundary_near,1,True
R8,heavy_cluster,lift_dwell_arc,inflight_stable,1,True
R8,heavy_cluster,lift_dwell_arc,launch_gate,2,True
R8,heavy_cluster,lift_dwell_arc,recoverable_degraded,1,True
R8,heavy_cluster,lift_entry,boundary_near,1,True
R8,heavy_cluster,lift_entry,inflight_stable,1,True
R8,heavy_cluster,lift_entry,launch_gate,2,True
R8,heavy_cluster,lift_entry,recoverable_degraded,1,True
R8,heavy_cluster,mild_turn_left,boundary_near,1,True
R8,heavy_cluster,mild_turn_left,inflight_stable,1,True
R8,heavy_cluster,mild_turn_left,launch_gate,2,True
R8,heavy_cluster,mild_turn_left,recoverable_degraded,1,True
R8,heavy_cluster,mild_turn_right,boundary_near,1,True
R8,heavy_cluster,mild_turn_right,inflight_stable,1,True
R8,heavy_cluster,mild_turn_right,launch_gate,2,True
R8,heavy_cluster,mild_turn_right,recoverable_degraded,1,True
R8,heavy_cluster,recovery,boundary_near,1,True
R8,heavy_cluster,recovery,inflight_stable,1,True
R8,heavy_cluster,recovery,launch_gate,2,True
R8,heavy_cluster,recovery,recoverable_degraded,1,True
R8,heavy_cluster,safe_exit_or_recovery_handoff,boundary_near,1,True
R8,heavy_cluster,safe_exit_or_recovery_handoff,inflight_stable,1,True
R8,heavy_cluster,safe_exit_or_recovery_handoff,launch_gate,2,True
R8,heavy_cluster,safe_exit_or_recovery_handoff,recoverable_degraded,1,True
R8,light_cluster,energy_retaining_bank,boundary_near,6,True
R8,light_cluster,energy_retaining_bank,inflight_stable,6,True
R8,light_cluster,energy_retaining_bank,launch_gate,8,True
R8,light_cluster,energy_retaining_bank,recoverable_degraded,6,True
R8,light_cluster,glide,boundary_near,6,True
R8,light_cluster,glide,inflight_stable,6,True
R8,light_cluster,glide,launch_gate,8,True
R8,light_cluster,glide,recoverable_degraded,6,True
R8,light_cluster,lift_dwell_arc,boundary_near,6,True
R8,light_cluster,lift_dwell_arc,inflight_stable,6,True
R8,light_cluster,lift_dwell_arc,launch_gate,8,True
R8,light_cluster,lift_dwell_arc,recoverable_degraded,6,True
R8,light_cluster,lift_entry,boundary_near,6,True
R8,light_cluster,lift_entry,inflight_stable,6,True
R8,light_cluster,lift_entry,launch_gate,8,True
R8,light_cluster,lift_entry,recoverable_degraded,6,True
R8,light_cluster,mild_turn_left,boundary_near,6,True
R8,light_cluster,mild_turn_left,inflight_stable,6,True
R8,light_cluster,mild_turn_left,launch_gate,8,True
R8,light_cluster,mild_turn_left,recoverable_degraded,6,True
R8,light_cluster,mild_turn_right,boundary_near,6,True
R8,light_cluster,mild_turn_right,inflight_stable,6,True
R8,light_cluster,mild_turn_right,launch_gate,8,True
R8,light_cluster,mild_turn_right,recoverable_degraded,6,True
R8,light_cluster,recovery,boundary_near,6,True
R8,light_cluster,recovery,inflight_stable,6,True
R8,light_cluster,recovery,launch_gate,8,True
R8,light_cluster,recovery,recoverable_degraded,6,True
R8,light_cluster,safe_exit_or_recovery_handoff,boundary_near,6,True
R8,light_cluster,safe_exit_or_recovery_handoff,inflight_stable,6,True
