coverage_axis,coverage_value,row_count,coverage_note
source_outcome_class,accepted,200,observed
source_outcome_class,weak,200,observed
source_outcome_class,boundary_terminal,200,observed
source_outcome_class,failed,200,observed
source_outcome_class,rejected,200,observed
source_start_state_family,launch_gate,500,observed
source_start_state_family,inflight_nominal,180,observed
source_start_state_family,inflight_recovery_edge,147,observed
source_start_state_family,inflight_lift_region,129,observed
source_start_state_family,inflight_boundary_near,44,observed
source_state_envelope_label,approved_launch_gate,500,observed
source_state_envelope_label,inflight_clean_exit_envelope,180,observed
source_state_envelope_label,inflight_recovery_edge_envelope,147,observed
source_state_envelope_label,inflight_lift_region_envelope,129,observed
source_state_envelope_label,y_min_terminal_risk_envelope,31,observed
source_state_envelope_label,x_max_terminal_risk_envelope,13,observed
primitive_id,lift_dwell_arc,156,observed
primitive_id,lift_entry,145,observed
primitive_id,energy_retaining_bank,140,observed
primitive_id,safe_exit_or_recovery_handoff,130,observed
primitive_id,recovery,129,observed
primitive_id,glide,106,observed
primitive_id,mild_turn_left,100,observed
primitive_id,mild_turn_right,94,observed
outcome_class,failed,382,observed
outcome_class,rejected,222,observed
outcome_class,accepted,180,observed
outcome_class,boundary_terminal,177,observed
outcome_class,weak,39,observed
boundary_use_class,hard_failure_or_rejected,604,observed
boundary_use_class,continuation_valid,219,observed
boundary_use_class,episode_terminal_useful_or_trainable,177,observed
latency_case,nominal,1000,observed
