stage_id,library_size_case_id,start_state_family,primitive_id,primitive_family,entry_role,regime_label,launch_capable_primitive_family_count,launch_capture_primitive_family_count,launch_gate_candidate_rows,expected_launch_gate_rows_per_launch_capture_primitive,expected_full_dense_launch_gate_rows_present,entry_role_rejection_count,rejection_rate,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,credible_launch_gate_outcome,r5_launch_capture_gate_passed,first_decision_audit_mode
W01,not_applicable_w01,inflight_boundary_near,energy_retaining_bank,energy_retaining_bank,inflight_only,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,glide,glide,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,launch_capture_energy_build,launch_capture,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,launch_capture_glide_stabilise,launch_capture,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,launch_capture_lift_seek,launch_capture,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,launch_capture_safe_handoff,launch_capture,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,launch_capture_shallow_left,launch_capture,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,launch_capture_shallow_right,launch_capture,launch_capable,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,lift_dwell_arc,lift_dwell,inflight_only,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,lift_entry,lift_entry,inflight_only,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,mild_turn_left,mild_turn,inflight_only,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
W01,not_applicable_w01,inflight_boundary_near,mild_turn_right,mild_turn,inflight_only,out_of_regime_or_entry_role_incompatible,7,6,0,3840,False,0,0.0,320,352,288,0,0,384,288,288,True,False,not_applicable_w01
