primitive_id,entry_role,entry_role_compatible,row_count
energy_retaining_bank,inflight_only,False,3840
energy_retaining_bank,inflight_only,True,5760
glide,launch_capable,True,9600
launch_capture_energy_build,launch_capable,True,9600
launch_capture_glide_stabilise,launch_capable,True,9600
launch_capture_lift_seek,launch_capable,True,9600
launch_capture_safe_handoff,launch_capable,True,9600
launch_capture_shallow_left,launch_capable,True,9600
launch_capture_shallow_right,launch_capable,True,9600
lift_dwell_arc,inflight_only,False,3840
lift_dwell_arc,inflight_only,True,5760
lift_entry,inflight_only,False,3840
lift_entry,inflight_only,True,5760
mild_turn_left,inflight_only,False,3840
mild_turn_left,inflight_only,True,5760
mild_turn_right,inflight_only,False,3840
mild_turn_right,inflight_only,True,5760
recovery,terminal_or_recovery,False,7680
recovery,terminal_or_recovery,True,1920
safe_exit_or_recovery_handoff,terminal_or_recovery,False,7680
safe_exit_or_recovery_handoff,terminal_or_recovery,True,1920
