boundary_use_class,continuation_valid,episode_terminal_useful,outcome_class,row_count
continuation_valid,True,False,accepted,42897
continuation_valid,True,False,weak,38646
episode_terminal_useful,False,True,weak,7397
hard_failure,False,False,failed,45460
