stage_id,start_state_family,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,launch_capture_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_launch_capture_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_capture_gate_passed,entry_role_compatible,launch_gate_candidate_rows
W01,inflight_boundary_near,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,0,3700,1100,0,0,0,3700,1100,0,4800,0.0,False,False,4800,9600,False,True,False,False,0
W01,inflight_boundary_near,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,0,3697,1103,0,0,0,3697,1103,0,4800,0.0,False,False,4800,9600,False,True,False,False,0
W01,inflight_lift_region,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,1189,1660,751,0,0,2849,0,751,0,3600,0.0,False,False,3600,9600,False,True,False,False,0
W01,inflight_lift_region,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,1202,1644,754,0,0,2846,0,754,0,3600,0.0,False,False,3600,9600,False,True,False,False,0
W01,inflight_lift_region,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,1195,1661,744,0,0,2856,0,744,0,3600,0.0,False,False,3600,9600,False,True,False,False,0
W01,inflight_lift_region,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,1193,1661,746,0,0,2854,0,746,0,3600,0.0,False,False,3600,9600,False,True,False,False,0
W01,inflight_lift_region,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1193,1647,760,0,0,2840,0,760,0,3600,0.0,False,False,3600,9600,False,True,False,False,0
W01,inflight_lift_region,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1195,1659,746,0,0,2854,0,746,0,3600,0.0,False,False,3600,9600,False,True,False,False,0
W01,inflight_nominal,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,1666,3201,1133,0,0,4867,0,1133,0,6000,0.0,False,False,6000,9600,False,True,False,False,0
W01,inflight_nominal,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,1659,3193,1148,0,0,4852,0,1148,0,6000,0.0,False,False,6000,9600,False,True,False,False,0
W01,inflight_nominal,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,1669,3177,1154,0,0,4846,0,1154,0,6000,0.0,False,False,6000,9600,False,True,False,False,0
W01,inflight_nominal,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,1650,3206,1144,0,0,4856,0,1144,0,6000,0.0,False,False,6000,9600,False,True,False,False,0
W01,inflight_nominal,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1679,3184,1137,0,0,4863,0,1137,0,6000,0.0,False,False,6000,9600,False,True,False,False,0
W01,inflight_nominal,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1679,3169,1152,0,0,4848,0,1152,0,6000,0.0,False,False,6000,9600,False,True,False,False,0
W01,inflight_recovery_edge,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,1422,1381,1997,0,0,2803,0,1997,0,4800,0.0,False,False,4800,9600,False,True,False,False,0
W01,inflight_recovery_edge,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,1435,1373,1992,0,0,2808,0,1992,0,4800,0.0,False,False,4800,9600,False,True,False,False,0
W01,launch_gate,launch_capture_energy_build,launch_capture,launch_capable,launch_capture_from_launch_gate,3812,1139,4649,0,0,4951,0,4649,0,9600,0.0,True,True,9600,9600,True,True,True,True,9600
W01,launch_gate,launch_capture_glide_stabilise,launch_capture,launch_capable,launch_capture_from_launch_gate,3812,1136,4652,0,0,4948,0,4652,0,9600,0.0,True,True,9600,9600,True,True,True,True,9600
W01,launch_gate,launch_capture_lift_seek,launch_capture,launch_capable,launch_capture_from_launch_gate,3810,1141,4649,0,0,4951,0,4649,0,9600,0.0,True,True,9600,9600,True,True,True,True,9600
W01,launch_gate,launch_capture_safe_handoff,launch_capture,launch_capable,launch_capture_from_launch_gate,3812,1141,4647,0,0,4953,0,4647,0,9600,0.0,True,True,9600,9600,True,True,True,True,9600
W01,launch_gate,launch_capture_shallow_left,launch_capture,launch_capable,launch_capture_from_launch_gate,3813,1136,4651,0,0,4949,0,4651,0,9600,0.0,True,True,9600,9600,True,True,True,True,9600
W01,launch_gate,launch_capture_shallow_right,launch_capture,launch_capable,launch_capture_from_launch_gate,3812,1137,4651,0,0,4949,0,4651,0,9600,0.0,True,True,9600,9600,True,True,True,True,9600
