r_m,w_mps,n,alpha,sigma_mps
0.0,0.932,1,0.1889822365046136,0.2372011402847401
0.3,2.3129999999999997,4,0.3779644730092272,0.2372011402847401
0.6,2.02125,4,0.3779644730092272,0.3130555556963957
0.8999999999999999,0.5729166666666666,12,0.6546536707079771,0.08891397661838814
1.2,0.108375,16,0.7559289460184544,0.114725427911705
1.5,0.0293,20,0.8451542547285166,0.10905494464892893
1.7999999999999998,0.005166666666666667,12,0.6546536707079771,0.10905494464892893
2.1,0.010249999999999999,28,1.0,0.10905494464892893
2.4,0.006909090909090909,22,0.8864052604279183,0.10905494464892893
2.6999999999999997,0.0,16,0.7559289460184544,0.10905494464892893
3.0,0.0,18,0.8017837257372732,0.10905494464892893
3.3,0.0,8,0.5345224838248488,0.10905494464892893
3.5999999999999996,0.0,4,0.3779644730092272,0.10905494464892893
3.9,0.0,4,0.3779644730092272,0.10905494464892893
4.2,0.0,10,0.5976143046671968,0.10905494464892893
4.5,0.0,8,0.5345224838248488,0.10905494464892893
4.8,0.0,8,0.5345224838248488,0.10905494464892893
