r_m,w_mps,n,alpha,sigma_mps
0.0,0.904,1,0.1889822365046136,0.3622993369077745
0.3,2.8897500000000003,4,0.3779644730092272,0.3622993369077745
0.6,2.7352499999999997,4,0.3779644730092272,0.3063284573942222
0.8999999999999999,0.44416666666666665,12,0.6546536707079771,0.16960171832013632
1.2,0.11281250000000001,16,0.7559289460184544,0.04074461693922044
1.5,0.048799999999999996,20,0.8451542547285166,0.05079210662335352
1.7999999999999998,0.03566666666666667,12,0.6546536707079771,0.05079210662335352
2.1,0.01875,28,1.0,0.05079210662335352
2.4,0.015181818181818183,22,0.8864052604279183,0.05079210662335352
2.6999999999999997,0.0,16,0.7559289460184544,0.05079210662335352
3.0,0.0,18,0.8017837257372732,0.05079210662335352
3.3,0.0,8,0.5345224838248488,0.05079210662335352
3.5999999999999996,0.0,4,0.3779644730092272,0.05079210662335352
3.9,0.0,4,0.3779644730092272,0.05079210662335352
4.2,0.0,10,0.5976143046671968,0.05079210662335352
4.5,0.0,8,0.5345224838248488,0.05079210662335352
4.8,0.0,8,0.5345224838248488,0.05079210662335352
