r_m,w_mps,n,alpha,sigma_mps
0.0,0.599,1,0.1889822365046136,0.2577984262392395
0.3,5.031,4,0.3779644730092272,0.2577984262392395
0.6,0.71425,4,0.3779644730092272,0.08903193648509333
0.8999999999999999,0.48950000000000005,12,0.6546536707079771,0.22467493979398023
1.2,0.217125,16,0.7559289460184544,0.051050208711853555
1.5,0.08775,20,0.8451542547285166,0.18354680212803653
1.7999999999999998,0.024416666666666666,12,0.6546536707079771,0.18354680212803653
2.1,0.003892857142857143,28,1.0,0.18354680212803653
2.4,0.0,22,0.8864052604279183,0.18354680212803653
2.6999999999999997,0.0,16,0.7559289460184544,0.18354680212803653
3.0,0.0,18,0.8017837257372732,0.18354680212803653
3.3,0.0,8,0.5345224838248488,0.18354680212803653
3.5999999999999996,0.0,4,0.3779644730092272,0.18354680212803653
3.9,0.0,4,0.3779644730092272,0.18354680212803653
4.2,0.0,10,0.5976143046671968,0.18354680212803653
4.5,0.0,8,0.5345224838248488,0.18354680212803653
4.8,0.0,8,0.5345224838248488,0.18354680212803653
