stage_id,library_size_case_id,primitive_id,entry_role,representative_count,launch_capture_family
R8,balanced_cluster,energy_retaining_bank,inflight_only,3,False
R8,balanced_cluster,glide,inflight_only,3,False
R8,balanced_cluster,launch_capture_energy_build,launch_capable,3,True
R8,balanced_cluster,launch_capture_glide_stabilise,launch_capable,3,True
R8,balanced_cluster,launch_capture_lift_seek,launch_capable,3,True
R8,balanced_cluster,launch_capture_safe_handoff,launch_capable,3,True
R8,balanced_cluster,launch_capture_shallow_left,launch_capable,3,True
R8,balanced_cluster,launch_capture_shallow_right,launch_capable,3,True
R8,balanced_cluster,lift_dwell_arc,inflight_only,3,False
R8,balanced_cluster,lift_entry,inflight_only,3,False
R8,balanced_cluster,mild_turn_left,inflight_only,3,False
R8,balanced_cluster,mild_turn_right,inflight_only,3,False
R8,balanced_cluster,recovery,terminal_or_recovery,3,False
R8,balanced_cluster,safe_exit_or_recovery_handoff,terminal_or_recovery,3,False
R8,heavy_cluster,energy_retaining_bank,inflight_only,1,False
R8,heavy_cluster,glide,inflight_only,1,False
R8,heavy_cluster,launch_capture_energy_build,launch_capable,1,True
R8,heavy_cluster,launch_capture_glide_stabilise,launch_capable,1,True
R8,heavy_cluster,launch_capture_lift_seek,launch_capable,1,True
R8,heavy_cluster,launch_capture_safe_handoff,launch_capable,1,True
R8,heavy_cluster,launch_capture_shallow_left,launch_capable,1,True
R8,heavy_cluster,launch_capture_shallow_right,launch_capable,1,True
R8,heavy_cluster,lift_dwell_arc,inflight_only,1,False
R8,heavy_cluster,lift_entry,inflight_only,1,False
R8,heavy_cluster,mild_turn_left,inflight_only,1,False
R8,heavy_cluster,mild_turn_right,inflight_only,1,False
R8,heavy_cluster,recovery,terminal_or_recovery,1,False
R8,heavy_cluster,safe_exit_or_recovery_handoff,terminal_or_recovery,1,False
R8,light_cluster,energy_retaining_bank,inflight_only,6,False
R8,light_cluster,glide,inflight_only,6,False
R8,light_cluster,launch_capture_energy_build,launch_capable,6,True
R8,light_cluster,launch_capture_glide_stabilise,launch_capable,6,True
R8,light_cluster,launch_capture_lift_seek,launch_capable,6,True
R8,light_cluster,launch_capture_safe_handoff,launch_capable,6,True
R8,light_cluster,launch_capture_shallow_left,launch_capable,6,True
R8,light_cluster,launch_capture_shallow_right,launch_capable,6,True
R8,light_cluster,lift_dwell_arc,inflight_only,6,False
R8,light_cluster,lift_entry,inflight_only,6,False
R8,light_cluster,mild_turn_left,inflight_only,6,False
R8,light_cluster,mild_turn_right,inflight_only,6,False
R8,light_cluster,recovery,terminal_or_recovery,6,False
R8,light_cluster,safe_exit_or_recovery_handoff,terminal_or_recovery,6,False
R8,no_cluster_no_merge,energy_retaining_bank,inflight_only,32,False
R8,no_cluster_no_merge,glide,inflight_only,32,False
R8,no_cluster_no_merge,launch_capture_energy_build,launch_capable,32,True
R8,no_cluster_no_merge,launch_capture_glide_stabilise,launch_capable,32,True
R8,no_cluster_no_merge,launch_capture_lift_seek,launch_capable,32,True
R8,no_cluster_no_merge,launch_capture_safe_handoff,launch_capable,32,True
R8,no_cluster_no_merge,launch_capture_shallow_left,launch_capable,32,True
R8,no_cluster_no_merge,launch_capture_shallow_right,launch_capable,32,True
R8,no_cluster_no_merge,lift_dwell_arc,inflight_only,32,False
R8,no_cluster_no_merge,lift_entry,inflight_only,32,False
R8,no_cluster_no_merge,mild_turn_left,inflight_only,32,False
R8,no_cluster_no_merge,mild_turn_right,inflight_only,32,False
R8,no_cluster_no_merge,recovery,terminal_or_recovery,32,False
R8,no_cluster_no_merge,safe_exit_or_recovery_handoff,terminal_or_recovery,32,False
R8,super_light_cluster,energy_retaining_bank,inflight_only,12,False
R8,super_light_cluster,glide,inflight_only,12,False
R8,super_light_cluster,launch_capture_energy_build,launch_capable,12,True
R8,super_light_cluster,launch_capture_glide_stabilise,launch_capable,12,True
R8,super_light_cluster,launch_capture_lift_seek,launch_capable,12,True
R8,super_light_cluster,launch_capture_safe_handoff,launch_capable,12,True
R8,super_light_cluster,launch_capture_shallow_left,launch_capable,12,True
R8,super_light_cluster,launch_capture_shallow_right,launch_capable,12,True
R8,super_light_cluster,lift_dwell_arc,inflight_only,12,False
R8,super_light_cluster,lift_entry,inflight_only,12,False
R8,super_light_cluster,mild_turn_left,inflight_only,12,False
R8,super_light_cluster,mild_turn_right,inflight_only,12,False
R8,super_light_cluster,recovery,terminal_or_recovery,12,False
R8,super_light_cluster,safe_exit_or_recovery_handoff,terminal_or_recovery,12,False
