candidate_id,split,surface_axis,replay_count,dx_mae_m,dy_mae_m,altitude_loss_mae_m,final_phi_mae_deg,final_theta_mae_deg,final_psi_mae_deg,primary_antisym_residual,claim_boundary
C0_frozen_neutral,all,all,174,0.2653702475,0.4934685156,0.1937571674,11.77315732,11.07162589,14.37485976,0.2496519649,frozen active calibrated replay
C0_frozen_neutral,all,aileron,59,0.3796977007,0.5312133122,0.2522596614,11.56016771,6.868867214,27.95078592,0.1428582285,frozen active calibrated replay
C0_frozen_neutral,all,elevator,57,0.1736952689,0.4683901787,0.1726748316,9.909081603,20.2309726,7.245512824,0.4441424708,frozen active calibrated replay
C0_frozen_neutral,all,rudder,58,0.239166007,0.4797188985,0.154964857,13.82175564,6.345418993,7.571293067,0.1619551953,frozen active calibrated replay
C0_frozen_neutral,train,all,144,0.2628689951,0.5057279349,0.2001734003,11.86620068,10.92370444,14.02095513,0.3419023584,frozen active calibrated replay
C0_frozen_neutral,train,aileron,49,0.3719507576,0.5632474757,0.2535958012,11.7884513,6.696883587,26.32805678,0.212075867,frozen active calibrated replay
C0_frozen_neutral,train,elevator,47,0.1807796866,0.4754651924,0.1882368141,9.84392598,20.28032839,7.694403308,0.5886665317,frozen active calibrated replay
C0_frozen_neutral,train,rudder,48,0.2318938104,0.4766423389,0.15732594,13.92571381,6.076889774,7.652204194,0.2249646764,frozen active calibrated replay
C0_frozen_neutral,heldout,all,30,0.2773762592,0.4346233034,0.1629592496,11.3265492,11.78164889,16.07360197,0.3573959575,frozen active calibrated replay
C0_frozen_neutral,heldout,aileron,10,0.4176577216,0.3742459114,0.2457125765,10.44157814,7.711586985,35.90215869,0.3251051065,frozen active calibrated replay
C0_frozen_neutral,heldout,elevator,10,0.1403985056,0.4351376143,0.09953351354,10.21531303,19.99900044,5.135727551,0.4509832607,frozen active calibrated replay
C0_frozen_neutral,heldout,rudder,10,0.2740725503,0.4944863844,0.1436316587,13.32275642,7.63435924,7.18291966,0.2960995054,frozen active calibrated replay
