t_read_host_s,line_text
7.7492205,"RX_EVENT,31,0,4261534205,32768,32768,32768,32768"
7.7492205,"COMMIT_EVENT,31,0,4261534205,4261542249,212925,1500,1500,1500,1500,1500,1500,1500,1500"
7.784873,"RX_EVENT,32,0,4261569491,32768,32768,32768,32768"
7.784873,"COMMIT_EVENT,32,0,4261569491,4261582249,212927,1500,1500,1500,1500,1500,1500,1500,1500"
7.8187942,"RX_EVENT,33,0,4261605562,32768,32768,32768,32768"
7.8187942,"COMMIT_EVENT,33,0,4261605562,4261622249,212929,1500,1500,1500,1500,1500,1500,1500,1500"
7.8523032,"RX_EVENT,34,0,4261639061,32768,32768,32768,32768"
7.8523032,"COMMIT_EVENT,34,0,4261639061,4261642249,212930,1500,1500,1500,1500,1500,1500,1500,1500"
7.8919427,"RX_EVENT,35,0,4261672512,32768,32768,32768,32768"
7.8919427,"COMMIT_EVENT,35,0,4261672512,4261682249,212932,1500,1500,1500,1500,1500,1500,1500,1500"
7.9366432,"RX_EVENT,36,0,4261712885,32768,32768,32768,32768"
7.9366432,"COMMIT_EVENT,36,0,4261712885,4261722249,212934,1500,1500,1500,1500,1500,1500,1500,1500"
7.9800887,"RX_EVENT,37,0,4261758027,32768,32768,32768,32768"
7.9800887,"COMMIT_EVENT,37,0,4261758027,4261762250,212936,1500,1500,1500,1500,1500,1500,1500,1500"
8.0192565,"RX_EVENT,38,0,4261800764,32768,32768,32768,32768"
8.0192565,"COMMIT_EVENT,38,0,4261800764,4261802250,212938,1500,1500,1500,1500,1500,1500,1500,1500"
8.0599341,"RX_EVENT,39,0,4261839802,32768,32768,32768,32768"
8.0599341,"COMMIT_EVENT,39,0,4261839802,4261842249,212940,1500,1500,1500,1500,1500,1500,1500,1500"
8.0974903,"RX_EVENT,40,0,4261880712,32768,32768,32768,32768"
8.0974903,"COMMIT_EVENT,40,0,4261880712,4261882249,212942,1500,1500,1500,1500,1500,1500,1500,1500"
8.130224,"RX_EVENT,41,0,4261917872,32768,32768,32768,32768"
8.130224,"COMMIT_EVENT,41,0,4261917872,4261922250,212944,1500,1500,1500,1500,1500,1500,1500,1500"
8.1833162,"RX_EVENT,42,0,4261950765,32768,32768,32768,32768"
8.1833162,"COMMIT_EVENT,42,0,4261950765,4261962249,212946,1500,1500,1500,1500,1500,1500,1500,1500"
8.2182578,"RX_EVENT,43,0,4262003738,32768,32768,32768,32768"
8.2541918,"COMMIT_EVENT,43,0,4262003738,4262022249,212949,1500,1500,1500,1500,1500,1500,1500,1500"
8.2541918,"RX_EVENT,44,0,4262039021,32768,32768,32768,32768"
8.2541918,"COMMIT_EVENT,44,0,4262039021,4262042249,212950,1500,1500,1500,1500,1500,1500,1500,1500"
8.2892258,"RX_EVENT,45,0,4262074869,32768,32768,32768,32768"
8.2892258,"COMMIT_EVENT,45,0,4262074869,4262082249,212952,1500,1500,1500,1500,1500,1500,1500,1500"
8.3286318,"RX_EVENT,46,0,4262109711,32768,32768,32768,32768"
8.3286318,"COMMIT_EVENT,46,0,4262109711,4262122249,212954,1500,1500,1500,1500,1500,1500,1500,1500"
8.3688687,"RX_EVENT,47,0,4262149524,32768,32768,32768,32768"
8.3688687,"COMMIT_EVENT,47,0,4262149524,4262162249,212956,1500,1500,1500,1500,1500,1500,1500,1500"
8.4083568,"RX_EVENT,48,0,4262189519,32768,32768,32768,32768"
8.4083568,"COMMIT_EVENT,48,0,4262189519,4262202250,212958,1500,1500,1500,1500,1500,1500,1500,1500"
8.4487408,"RX_EVENT,49,0,4262228932,32768,32768,32768,32768"
8.4487408,"COMMIT_EVENT,49,0,4262228932,4262242249,212960,1500,1500,1500,1500,1500,1500,1500,1500"
8.4922701,"RX_EVENT,50,0,4262270100,32768,32768,32768,32768"
8.4922701,"COMMIT_EVENT,50,0,4262270100,4262282249,212962,1500,1500,1500,1500,1500,1500,1500,1500"
8.5364841,"RX_EVENT,51,0,4262313439,32768,32768,32768,32768"
8.5364841,"COMMIT_EVENT,51,0,4262313439,4262322249,212964,1500,1500,1500,1500,1500,1500,1500,1500"
8.5754947,"RX_EVENT,52,0,4262356946,32768,32768,32768,32768"
8.5754947,"COMMIT_EVENT,52,0,4262356946,4262362250,212966,1500,1500,1500,1500,1500,1500,1500,1500"
8.6128352,"RX_EVENT,53,0,4262396010,32768,32768,32768,32768"
8.6128352,"COMMIT_EVENT,53,0,4262396010,4262402249,212968,1500,1500,1500,1500,1500,1500,1500,1500"
8.6459945,"RX_EVENT,54,0,4262433643,32768,32768,32768,32768"
8.6459945,"COMMIT_EVENT,54,0,4262433643,4262442249,212970,1500,1500,1500,1500,1500,1500,1500,1500"
8.6748325,"RX_EVENT,55,0,4262466212,32768,32768,32768,32768"
8.6748325,"COMMIT_EVENT,55,0,4262466212,4262482249,212972,1500,1500,1500,1500,1500,1500,1500,1500"
8.714349,"RX_EVENT,56,0,4262495066,32768,32768,32768,32768"
8.714349,"COMMIT_EVENT,56,0,4262495066,4262502249,212973,1500,1500,1500,1500,1500,1500,1500,1500"
8.7531543,"RX_EVENT,57,0,4262535013,32768,32768,32768,32768"
8.7531543,"COMMIT_EVENT,57,0,4262535013,4262542249,212975,1500,1500,1500,1500,1500,1500,1500,1500"
8.7886494,"RX_EVENT,58,0,4262573667,32768,32768,32768,32768"
8.7886494,"COMMIT_EVENT,58,0,4262573667,4262582249,212977,1500,1500,1500,1500,1500,1500,1500,1500"
8.8205756,"RX_EVENT,59,0,4262609151,32768,32768,32768,32768"
8.8205756,"COMMIT_EVENT,59,0,4262609151,4262622249,212979,1500,1500,1500,1500,1500,1500,1500,1500"
8.850427,"RX_EVENT,60,0,4262640660,32768,32768,32768,32768"
8.850427,"COMMIT_EVENT,60,0,4262640660,4262642249,212980,1500,1500,1500,1500,1500,1500,1500,1500"
8.8819265,"RX_EVENT,61,0,4262670740,32768,32768,32768,32768"
8.8819265,"COMMIT_EVENT,61,0,4262670740,4262682249,212982,1500,1500,1500,1500,1500,1500,1500,1500"
8.9193924,"RX_EVENT,62,0,4262702276,32768,32768,32768,32768"
8.9193924,"COMMIT_EVENT,62,0,4262702276,4262722249,212984,1500,1500,1500,1500,1500,1500,1500,1500"
8.9490201,"RX_EVENT,63,0,4262739525,32768,32768,32768,32768"
8.9490201,"COMMIT_EVENT,63,0,4262739525,4262742249,212985,1500,1500,1500,1500,1500,1500,1500,1500"
8.9776346,"RX_EVENT,64,0,4262769146,32768,32768,32768,32768"
9.0070966,"COMMIT_EVENT,64,0,4262769146,4262782249,212987,1500,1500,1500,1500,1500,1500,1500,1500"
9.0070966,"RX_EVENT,65,0,4262798101,32768,32768,32768,32768"
9.0070966,"COMMIT_EVENT,65,0,4262798101,4262802249,212988,1500,1500,1500,1500,1500,1500,1500,1500"
9.0379206,"RX_EVENT,66,0,4262827373,32768,32768,32768,32768"
9.0686369,"COMMIT_EVENT,66,0,4262827373,4262842249,212990,1500,1500,1500,1500,1500,1500,1500,1500"
9.0686369,"RX_EVENT,67,0,4262858252,32768,32768,32768,32768"
9.0686369,"COMMIT_EVENT,67,0,4262858252,4262862249,212991,1500,1500,1500,1500,1500,1500,1500,1500"
9.1020691,"RX_EVENT,68,0,4262888902,32768,32768,32768,32768"
9.1020691,"COMMIT_EVENT,68,0,4262888902,4262902249,212993,1500,1500,1500,1500,1500,1500,1500,1500"
9.1374017,"RX_EVENT,69,0,4262922577,32768,32768,32768,32768"
9.1374017,"COMMIT_EVENT,69,0,4262922577,4262942249,212995,1500,1500,1500,1500,1500,1500,1500,1500"
9.1701258,"RX_EVENT,70,0,4262957997,32768,32768,32768,32768"
9.1701258,"COMMIT_EVENT,70,0,4262957997,4262962249,212996,1500,1500,1500,1500,1500,1500,1500,1500"
9.196071,"RX_EVENT,71,0,4262990199,32768,32768,32768,32768"
9.196071,"COMMIT_EVENT,71,0,4262990199,4263002249,212998,1500,1500,1500,1500,1500,1500,1500,1500"
9.2220072,"RX_EVENT,72,0,4263016398,32768,32768,32768,32768"
9.2220072,"COMMIT_EVENT,72,0,4263016398,4263022249,212999,1500,1500,1500,1500,1500,1500,1500,1500"
9.2491356,"RX_EVENT,73,0,4263042366,32768,32768,32768,32768"
9.2747111,"COMMIT_EVENT,73,0,4263042366,4263062249,213001,1500,1500,1500,1500,1500,1500,1500,1500"
9.2747111,"RX_EVENT,74,0,4263069170,32768,32768,32768,32768"
9.2747111,"COMMIT_EVENT,74,0,4263069170,4263082249,213002,1500,1500,1500,1500,1500,1500,1500,1500"
9.3040678,"RX_EVENT,75,0,4263094738,32768,32768,32768,32768"
9.3040678,"COMMIT_EVENT,75,0,4263094738,4263102250,213003,1500,1500,1500,1500,1500,1500,1500,1500"
9.3375583,"RX_EVENT,76,0,4263124659,32768,32768,32768,32768"
9.3375583,"COMMIT_EVENT,76,0,4263124659,4263142249,213005,1500,1500,1500,1500,1500,1500,1500,1500"
9.3693167,"RX_EVENT,77,0,4263158219,32768,32768,32768,32768"
9.3693167,"COMMIT_EVENT,77,0,4263158219,4263162249,213006,1500,1500,1500,1500,1500,1500,1500,1500"
9.4023322,"RX_EVENT,78,0,4263189566,32768,32768,32768,32768"
9.4023322,"COMMIT_EVENT,78,0,4263189566,4263202249,213008,1500,1500,1500,1500,1500,1500,1500,1500"
9.4342618,"RX_EVENT,79,0,4263222699,32768,32768,32768,32768"
9.4342618,"COMMIT_EVENT,79,0,4263222699,4263242249,213010,1500,1500,1500,1500,1500,1500,1500,1500"
9.4678109,"RX_EVENT,80,0,4263254744,32768,32768,32768,32768"
