event_id,surface_index,surface_name,command_level_norm,scheduled_start_s,scheduled_end_s,direction_group,sweep_polarity,sweep_phase,sweep_step_index,sweep_step_count
65,1,Aileron_L,0.6,139.4976757,141.4976757,negative_first,positive,outbound,8,19
66,1,Aileron_L,0.8,141.4976757,143.4976757,negative_first,positive,outbound,9,19
67,1,Aileron_L,1,143.4976757,145.4976757,negative_first,positive,outbound,10,19
68,1,Aileron_L,0.8,145.4976757,147.4976757,negative_first,positive,return,11,19
69,1,Aileron_L,0.6,147.4976757,149.4976757,negative_first,positive,return,12,19
70,1,Aileron_L,0.45,149.4976757,151.4976757,negative_first,positive,return,13,19
71,1,Aileron_L,0.3,151.4976757,153.4976757,negative_first,positive,return,14,19
72,1,Aileron_L,0.2,153.4976757,155.4976757,negative_first,positive,return,15,19
73,1,Aileron_L,0.15,155.4976757,157.4976757,negative_first,positive,return,16,19
74,1,Aileron_L,0.1,157.4976757,159.4976757,negative_first,positive,return,17,19
75,1,Aileron_L,0.05,159.4976757,161.4976757,negative_first,positive,return,18,19
76,1,Aileron_L,0,161.4976757,163.4976757,negative_first,positive,return,19,19
77,2,Aileron_R,0,163.4976757,165.4976757,positive_first,positive,outbound,1,19
78,2,Aileron_R,0.05,165.4976757,167.4976757,positive_first,positive,outbound,2,19
79,2,Aileron_R,0.1,167.4976757,169.4976757,positive_first,positive,outbound,3,19
80,2,Aileron_R,0.15,169.4976757,171.4976757,positive_first,positive,outbound,4,19
81,2,Aileron_R,0.2,171.4976757,173.4976757,positive_first,positive,outbound,5,19
82,2,Aileron_R,0.3,173.4976757,175.4976757,positive_first,positive,outbound,6,19
83,2,Aileron_R,0.45,175.4976757,177.4976757,positive_first,positive,outbound,7,19
84,2,Aileron_R,0.6,177.4976757,179.4976757,positive_first,positive,outbound,8,19
85,2,Aileron_R,0.8,179.4976757,181.4976757,positive_first,positive,outbound,9,19
86,2,Aileron_R,1,181.4976757,183.4976757,positive_first,positive,outbound,10,19
87,2,Aileron_R,0.8,183.4976757,185.4976757,positive_first,positive,return,11,19
88,2,Aileron_R,0.6,185.4976757,187.4976757,positive_first,positive,return,12,19
89,2,Aileron_R,0.45,187.4976757,189.4976757,positive_first,positive,return,13,19
90,2,Aileron_R,0.3,189.4976757,191.4976757,positive_first,positive,return,14,19
91,2,Aileron_R,0.2,191.4976757,193.4976757,positive_first,positive,return,15,19
92,2,Aileron_R,0.15,193.4976757,195.4976757,positive_first,positive,return,16,19
93,2,Aileron_R,0.1,195.4976757,197.4976757,positive_first,positive,return,17,19
94,2,Aileron_R,0.05,197.4976757,199.4976757,positive_first,positive,return,18,19
95,2,Aileron_R,0,199.4976757,201.4976757,positive_first,positive,return,19,19
96,2,Aileron_R,-0,201.4976757,203.4976757,positive_first,negative,outbound,1,19
97,2,Aileron_R,-0.05,203.4976757,205.4976757,positive_first,negative,outbound,2,19
98,2,Aileron_R,-0.1,205.4976757,207.4976757,positive_first,negative,outbound,3,19
99,2,Aileron_R,-0.15,207.4976757,209.4976757,positive_first,negative,outbound,4,19
100,2,Aileron_R,-0.2,209.4976757,211.4976757,positive_first,negative,outbound,5,19
101,2,Aileron_R,-0.3,211.4976757,213.4976757,positive_first,negative,outbound,6,19
102,2,Aileron_R,-0.45,213.4976757,215.4976757,positive_first,negative,outbound,7,19
103,2,Aileron_R,-0.6,215.4976757,217.4976757,positive_first,negative,outbound,8,19
104,2,Aileron_R,-0.8,217.4976757,219.4976757,positive_first,negative,outbound,9,19
105,2,Aileron_R,-1,219.4976757,221.4976757,positive_first,negative,outbound,10,19
106,2,Aileron_R,-0.8,221.4976757,223.4976757,positive_first,negative,return,11,19
107,2,Aileron_R,-0.6,223.4976757,225.4976757,positive_first,negative,return,12,19
108,2,Aileron_R,-0.45,225.4976757,227.4976757,positive_first,negative,return,13,19
109,2,Aileron_R,-0.3,227.4976757,229.4976757,positive_first,negative,return,14,19
110,2,Aileron_R,-0.2,229.4976757,231.4976757,positive_first,negative,return,15,19
111,2,Aileron_R,-0.15,231.4976757,233.4976757,positive_first,negative,return,16,19
112,2,Aileron_R,-0.1,233.4976757,235.4976757,positive_first,negative,return,17,19
113,2,Aileron_R,-0.05,235.4976757,237.4976757,positive_first,negative,return,18,19
114,2,Aileron_R,-0,237.4976757,239.4976757,positive_first,negative,return,19,19
115,2,Aileron_R,-0,239.4976757,241.4976757,negative_first,negative,outbound,1,19
116,2,Aileron_R,-0.05,241.4976757,243.4976757,negative_first,negative,outbound,2,19
117,2,Aileron_R,-0.1,243.4976757,245.4976757,negative_first,negative,outbound,3,19
118,2,Aileron_R,-0.15,245.4976757,247.4976757,negative_first,negative,outbound,4,19
119,2,Aileron_R,-0.2,247.4976757,249.4976757,negative_first,negative,outbound,5,19
120,2,Aileron_R,-0.3,249.4976757,251.4976757,negative_first,negative,outbound,6,19
121,2,Aileron_R,-0.45,251.4976757,253.4976757,negative_first,negative,outbound,7,19
