coverage_axis,value,row_count
w2_survival_status,blocked,140
w2_survival_status,downgraded,2
w2_survival_status,eliminated,16
w2_survival_status,survived,2
failure_label,entry_role_not_launch_capable,140
failure_label,floor_violation,2
failure_label,model_boundary_only,2
failure_label,speed_low,4
failure_label,terminal_recovery_limited,10
failure_label,xy_boundary_terminal,2
boundary_use_class,blocked,140
boundary_use_class,continuation_valid,2
boundary_use_class,episode_terminal_useful,2
boundary_use_class,hard_failure,16
environment_mode,annular_gp_four,80
environment_mode,annular_gp_single,80
start_state_family,launch_gate,160
