primitive_id,entry_role,entry_role_compatible,row_count
energy_retaining_bank,inflight_only,False,4
energy_retaining_bank,inflight_only,True,6
glide,launch_capable,True,10
lift_dwell_arc,inflight_only,False,4
lift_dwell_arc,inflight_only,True,6
lift_entry,inflight_only,False,4
lift_entry,inflight_only,True,6
mild_turn_left,inflight_only,False,4
mild_turn_left,inflight_only,True,6
mild_turn_right,inflight_only,False,4
mild_turn_right,inflight_only,True,6
recovery,terminal_or_recovery,False,8
recovery,terminal_or_recovery,True,2
safe_exit_or_recovery_handoff,terminal_or_recovery,False,8
safe_exit_or_recovery_handoff,terminal_or_recovery,True,2
