stage_id,start_state_family,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,credible_launch_gate_outcome,r5_launch_capture_gate_passed
W01,inflight_boundary_near,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,0,3743,1057,0,0,0,3743,1057,0,4800,0.0,True,False
W01,inflight_boundary_near,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,0,3743,1057,0,0,0,3743,1057,0,4800,0.0,True,False
W01,inflight_lift_region,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,1278,1655,667,0,0,2933,0,667,0,3600,0.0,True,False
W01,inflight_lift_region,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,1278,1654,668,0,0,2932,0,668,0,3600,0.0,True,False
W01,inflight_lift_region,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,1278,1655,667,0,0,2933,0,667,0,3600,0.0,True,False
W01,inflight_lift_region,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,1278,1654,668,0,0,2932,0,668,0,3600,0.0,True,False
W01,inflight_lift_region,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1278,1654,668,0,0,2932,0,668,0,3600,0.0,True,False
W01,inflight_lift_region,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1278,1655,667,0,0,2933,0,667,0,3600,0.0,True,False
W01,inflight_nominal,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,1828,3234,938,0,0,5062,0,938,0,6000,0.0,True,False
W01,inflight_nominal,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,1828,3234,938,0,0,5062,0,938,0,6000,0.0,True,False
W01,inflight_nominal,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,1828,3233,939,0,0,5061,0,939,0,6000,0.0,True,False
W01,inflight_nominal,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,1828,3233,939,0,0,5061,0,939,0,6000,0.0,True,False
W01,inflight_nominal,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1828,3234,938,0,0,5062,0,938,0,6000,0.0,True,False
W01,inflight_nominal,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1828,3234,938,0,0,5062,0,938,0,6000,0.0,True,False
W01,inflight_recovery_edge,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,1426,1387,1987,0,0,2813,0,1987,0,4800,0.0,True,False
W01,inflight_recovery_edge,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,1426,1387,1987,0,0,2813,0,1987,0,4800,0.0,True,False
W01,launch_gate,launch_capture_energy_build,launch_capture,launch_capable,launch_capture_from_launch_gate,3818,1145,4637,0,0,4963,0,4637,0,9600,0.0,True,True
W01,launch_gate,launch_capture_glide_stabilise,launch_capture,launch_capable,launch_capture_from_launch_gate,3818,1145,4637,0,0,4963,0,4637,0,9600,0.0,True,True
W01,launch_gate,launch_capture_lift_seek,launch_capture,launch_capable,launch_capture_from_launch_gate,3818,1145,4637,0,0,4963,0,4637,0,9600,0.0,True,True
W01,launch_gate,launch_capture_safe_handoff,launch_capture,launch_capable,launch_capture_from_launch_gate,3818,1145,4637,0,0,4963,0,4637,0,9600,0.0,True,True
W01,launch_gate,launch_capture_shallow_left,launch_capture,launch_capable,launch_capture_from_launch_gate,3818,1145,4637,0,0,4963,0,4637,0,9600,0.0,True,True
W01,launch_gate,launch_capture_shallow_right,launch_capture,launch_capable,launch_capture_from_launch_gate,3818,1145,4637,0,0,4963,0,4637,0,9600,0.0,True,True
