iteration,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s
0,baseline,3,5,0.31,0,0,0,75,6.599175004,0.2522485733,0.7441604342,0.1137659057,0.09660409449,-0.1615955075,-0.3755305955,-0.04656317648,-0.03769918603
1,cd0_strip_scale,3,5,0.31,0,0,0,75,6.599175004,0.2522485733,0.7441604342,0.1137659057,0.09660409449,-0.1615955075,-0.3755305955,-0.04656317648,-0.03769918603
2,drag_area_fuse_scale,3,5,0.31,0,0,0,75,6.599175004,0.2522485733,0.7441604342,0.1137659057,0.09660409449,-0.1615955075,-0.3755305955,-0.04656317648,-0.03769918603
3,efficiency_strip_scale,3,5,0.55,0,0,0,75,6.898393047,0.2858231643,0.7748939786,0.1223729516,0.1035096092,-0.2146794192,-0.3982553401,-0.01895229793,-0.0137761425
4,cd0_strip_scale,3.5,5,0.55,0,0,0,75,6.87939625,0.2622195935,0.7627401232,0.1227297707,0.1037058162,-0.1665789562,-0.3913263194,-0.04617271235,-0.03729244901
5,drag_area_fuse_scale,3.5,3,0.55,0,0,0,75,6.87598265,0.2635141361,0.7636069298,0.1224802829,0.1035007873,-0.1694141178,-0.39223115,-0.04436369138,-0.03573632884
6,efficiency_strip_scale,3.5,3,0.43,0,0,0,75,6.77140387,0.2518495824,0.7525580153,0.1194388574,0.101105294,-0.150402832,-0.3841365769,-0.05426337661,-0.04432263684
7,cd0_strip_scale,3,3,0.43,0,0,0,75,6.741734033,0.2744587935,0.7628045126,0.1171202772,0.099213325,-0.1985564869,-0.3894281023,-0.0265741958,-0.02053896165
8,drag_area_fuse_scale,3,5,0.43,0,0,0,75,6.740447017,0.2729870288,0.7619597562,0.1170991206,0.09918190576,-0.1956532711,-0.3885390583,-0.02845125567,-0.0221501288
9,efficiency_strip_scale,3,5,0.31,0,0,0,75,6.599175004,0.2522485733,0.7441604342,0.1137659057,0.09660409449,-0.1615955075,-0.3755305955,-0.04656317648,-0.03769918603
