split,session_label,case_id,throw_id,replay_status,alignment_window_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_final_phi_deg,sim_final_phi_deg,actual_final_theta_deg,sim_final_theta_deg,actual_final_psi_deg,sim_final_psi_deg
train,20260602_225953,C0_neutral,v001,ok,0.2,1.4280632,2.702809837,2.441526017,1.72400513,5.065553145,3.158842148,0.8367234767,0.4109178318,1.255303019,-1.094200145,3.224269916,3.044327614,0.179942302,0.9936943759,2.764053222,-1.770358846,1.338902914,1.773449936,-0.4345470214,0.9375655884,1.241856758,-0.3042911696,54.1163167,39.96493115,-29.06220453,-22.64492127,0.6891936255,117.0421939
train,20260602_225953,C0_neutral,v002,ok,0.2,1.197315,2.420965056,2.290281817,1.405082426,5.604062692,1.338415749,0.4250266632,0.163796326,0.2445737483,-1.019786765,4.189473319,5.493084209,-1.303610891,0.6046488624,0.9032432953,-0.2985944328,0.6655723931,0.7368820553,-0.07130966223,0.5558874591,0.6154454386,-0.05955797951,2.508813611,10.97096832,-7.785842867,21.21885867,-12.61622253,17.88603369
train,20260602_225953,C0_neutral,v003,ok,0.2,1.3488083,2.51944919,2.376600323,1.440167177,5.403946985,2.836988052,1.168728869,-0.1915481869,0.7120595604,-1.506921465,4.082537464,4.622460505,-0.5399230413,1.796101083,0.03881015893,1.757290924,0.9362696194,1.130869885,-0.1946002656,0.6941458022,0.8384215051,-0.1442757029,23.43190799,15.1314832,-26.97597145,33.66954787,-42.28702233,23.01766316
train,20260602_225953,C0_neutral,v004,ok,0.2,1.4105831,2.471866082,2.339119032,1.571723775,5.535419409,1.527922958,1.336450824,0.02707212733,1.029638249,-0.5043185998,3.742871575,3.865214789,-0.122343214,0.8532278447,0.9087391035,-0.05551125879,1.175297631,1.300990832,-0.1256932008,0.8331998527,0.9223071168,-0.08910726408,-1.345594094,19.33360217,-21.31486811,30.68162082,-28.76846849,41.17791116
train,20260602_231554,C0_neutral,v001,ok,0.2,1.1976952,2.477086972,2.253371466,1.413668942,5.765224708,1.359954162,1.068264587,-0.0226693798,0.8969044779,-0.7648949319,4.127915251,3.875418048,0.2524972031,0.2275146386,0.5581515099,-0.3306368713,0.6999671625,0.7324392434,-0.03247208096,0.584428461,0.6115406018,-0.02711214085,20.62370713,21.36586351,-21.80679381,33.14309007,-0.3374037699,35.75717495
train,20260602_231554,C0_neutral,v002,ok,0.2,1.4012415,2.489591288,2.12752462,1.475431057,5.780200535,2.228346693,0.6330372206,0.5609146918,0.9394910178,-1.227322837,3.282966846,4.576047382,-1.293080536,-0.3349135161,2.154893318,-2.489806834,1.099297827,1.045145017,0.05415280998,0.784517035,0.7458707275,0.03864630757,42.68150748,41.9863207,-7.778893711,-0.9331382003,35.13254747,85.20365351
train,20260602_231554,C0_neutral,v003,ok,0.2,1.498456,2.691966786,2.218207456,1.426898305,6.495458742,0.8097699731,1.624655726,0.3384988616,1.14483936,-0.2822155896,3.92225868,3.6104424,0.3118162798,0.4369153655,2.634588906,-2.19767354,0.8996178535,1.76507024,-0.8654523868,0.6003632095,1.177925972,-0.5775627625,22.30866354,38.50357385,-26.03879478,-24.99095898,0.5953268888,109.3930781
train,20260602_231554,C0_neutral,v004,ok,0.2,1.1389088,2.384653634,2.361173882,1.388575148,4.479313984,2.042785286,1.167688929,-0.04738985782,0.7456447524,-0.6160656133,3.466552285,3.941170346,-0.4746180602,0.9540337199,0.2424282559,0.711605464,0.9928404846,1.185572133,-0.1927316489,0.871747136,1.040971967,-0.1692248307,-2.196152183,7.156770318,-16.15052408,25.15939607,-21.39585697,15.28657221
train,20260602_231554,C0_neutral,v005,ok,0.2,1.3703135,2.400774662,2.419080207,1.452243549,4.438374482,3.639042603,0.9754268436,-0.02082636206,0.4235353923,-0.9704593591,3.970791588,4.82889035,-0.858098762,1.350952025,0.4961799741,0.8547720505,1.064949117,1.294986519,-0.2300374011,0.7771572836,0.9450293809,-0.1678720972,24.18012466,26.42878021,-21.29408355,24.16356633,-16.60423903,44.78340629
train,20260602_231554,C0_neutral,v006,ok,0.2,1.1983893,2.254810533,2.33275999,1.471200409,4.640701741,1.566235655,0.8138277899,0.2191061059,0.6680222423,-0.5484049134,3.39492182,3.689620456,-0.2946986363,0.7502677476,1.059476402,-0.3092086545,1.074738935,1.247096755,-0.1723578199,0.8968195352,1.0406441,-0.1438245651,-2.491734714,19.46384972,-13.66685487,23.22214909,-17.59434677,43.13194595
