iteration,stage,objective_mode,parameter,cd0_strip_scale,drag_area_fuse_scale,efficiency_strip_scale,roll_moment_bias_coeff,pitch_moment_bias_coeff,yaw_moment_bias_coeff,delta_a_trim_rad,delta_e_trim_rad,delta_r_trim_rad,train_count,train_objective,train_dx_mae_m,train_dy_mae_m,train_altitude_loss_mae_m,train_sink_mae_m_s,train_final_phi_mae_deg,train_final_theta_mae_deg,train_final_psi_mae_deg,train_dx_mean_m,train_dy_mean_m,train_altitude_loss_mean_m,train_sink_mean_m_s,train_final_phi_mean_deg,train_final_theta_mean_deg,train_final_psi_mean_deg
10,refine_1_longitudinal,longitudinal,efficiency_strip_scale,2,3,1.12,-0.02,0,0,0,0,0,64,13.33960932,0.2657488033,0.3901926931,0.1668547928,0.1611709113,15.25871244,46.13362057,17.34584126,-0.01184357636,0.1898078423,-0.01080336245,-0.005558577141,-0.9513321722,-46.13362057,-13.75425526
11,refine_1_longitudinal,longitudinal,pitch_moment_bias_coeff,2,3,1.12,-0.02,-0.02,0,0,0,0,64,13.05977205,0.3811831929,0.4207973912,0.1808451546,0.174820632,15.45926836,38.04941279,16.65697534,-0.1856630659,0.2327670507,0.005730551503,0.009925743888,1.888373714,-38.04941279,-11.23415938
12,refine_1_lateral,lateral,roll_moment_bias_coeff,2,3,1.12,-0.02,-0.02,0,0,0,0,64,4.595298354,0.3811831929,0.4207973912,0.1808451546,0.174820632,15.45926836,38.04941279,16.65697534,-0.1856630659,0.2327670507,0.005730551503,0.009925743888,1.888373714,-38.04941279,-11.23415938
13,refine_1_lateral,lateral,yaw_moment_bias_coeff,2,3,1.12,-0.02,-0.02,0,0,0,0,64,4.595298354,0.3811831929,0.4207973912,0.1808451546,0.174820632,15.45926836,38.04941279,16.65697534,-0.1856630659,0.2327670507,0.005730551503,0.009925743888,1.888373714,-38.04941279,-11.23415938
14,refine_2_longitudinal,longitudinal,cd0_strip_scale,2.5,3,1.12,-0.02,-0.02,0,0,0,0,64,12.77056581,0.3513033832,0.4120345506,0.1750424776,0.1687963355,15.33739916,38.44044106,16.62920669,-0.1428432324,0.2208880939,-0.01136721475,-0.006381646204,1.498262846,-38.44044106,-11.49748033
15,refine_2_longitudinal,longitudinal,drag_area_fuse_scale,2.5,1,1.12,-0.02,-0.02,0,0,0,0,64,12.76525964,0.3529297001,0.4124612572,0.1753979226,0.1691701889,15.34416681,38.42869228,16.62896562,-0.1453747437,0.2212930439,-0.01021735649,-0.005285205714,1.519834934,-38.42869228,-11.47883007
16,refine_2_longitudinal,longitudinal,efficiency_strip_scale,2.5,1,1.24,-0.02,-0.02,0,0,0,0,64,12.76364082,0.3549625233,0.4144980935,0.1759186601,0.1696511381,15.37773859,38.34427627,16.60214317,-0.14819868,0.2240433069,-0.009699119604,-0.004743282295,1.635824993,-38.34427627,-11.3397731
17,refine_2_longitudinal,longitudinal,pitch_moment_bias_coeff,2.5,1,1.24,-0.02,-0.02,0,0,0,0,64,12.76364082,0.3549625233,0.4144980935,0.1759186601,0.1696511381,15.37773859,38.34427627,16.60214317,-0.14819868,0.2240433069,-0.009699119604,-0.004743282295,1.635824993,-38.34427627,-11.3397731
18,refine_2_lateral,lateral,roll_moment_bias_coeff,2.5,1,1.24,-0.02,-0.02,0,0,0,0,64,4.531356255,0.3549625233,0.4144980935,0.1759186601,0.1696511381,15.37773859,38.34427627,16.60214317,-0.14819868,0.2240433069,-0.009699119604,-0.004743282295,1.635824993,-38.34427627,-11.3397731
19,refine_2_lateral,lateral,yaw_moment_bias_coeff,2.5,1,1.24,-0.02,-0.02,0,0,0,0,64,4.531356255,0.3549625233,0.4144980935,0.1759186601,0.1696511381,15.37773859,38.34427627,16.60214317,-0.14819868,0.2240433069,-0.009699119604,-0.004743282295,1.635824993,-38.34427627,-11.3397731
20,refine_3_longitudinal,longitudinal,cd0_strip_scale,2.5,1,1.24,-0.02,-0.02,0,0,0,0,64,12.76364082,0.3549625233,0.4144980935,0.1759186601,0.1696511381,15.37773859,38.34427627,16.60214317,-0.14819868,0.2240433069,-0.009699119604,-0.004743282295,1.635824993,-38.34427627,-11.3397731
21,refine_3_longitudinal,longitudinal,drag_area_fuse_scale,2.5,0.2,1.24,-0.02,-0.02,0,0,0,0,64,12.76152145,0.3556151391,0.4146719721,0.1760619387,0.1698015873,15.38048896,38.33938631,16.60196574,-0.1492143351,0.2242092255,-0.009239492049,-0.004304754571,1.644594223,-38.33938631,-11.33223158
22,refine_3_longitudinal,longitudinal,efficiency_strip_scale,2.5,0.2,1.36,-0.02,-0.02,0,0,0,0,64,12.76048721,0.3573531759,0.4163771915,0.1764997047,0.1702040633,15.40846173,38.26768641,16.57901196,-0.1515456598,0.2265103707,-0.008830955321,-0.003872718245,1.741581454,-38.26768641,-11.21658362
23,refine_3_longitudinal,longitudinal,pitch_moment_bias_coeff,2.5,0.2,1.36,-0.02,-0.02,0,0,0,0,64,12.76048721,0.3573531759,0.4163771915,0.1764997047,0.1702040633,15.40846173,38.26768641,16.57901196,-0.1515456598,0.2265103707,-0.008830955321,-0.003872718245,1.741581454,-38.26768641,-11.21658362
24,refine_3_lateral,lateral,roll_moment_bias_coeff,2.5,0.2,1.36,-0.02,-0.02,0,0,0,0,64,4.545825156,0.3573531759,0.4163771915,0.1764997047,0.1702040633,15.40846173,38.26768641,16.57901196,-0.1515456598,0.2265103707,-0.008830955321,-0.003872718245,1.741581454,-38.26768641,-11.21658362
25,refine_3_lateral,lateral,yaw_moment_bias_coeff,2.5,0.2,1.36,-0.02,-0.02,0,0,0,0,64,4.545825156,0.3573531759,0.4163771915,0.1764997047,0.1702040633,15.40846173,38.26768641,16.57901196,-0.1515456598,0.2265103707,-0.008830955321,-0.003872718245,1.741581454,-38.26768641,-11.21658362
26,final,combined,final_combined_score,2.5,0.2,1.36,-0.02,-0.02,0,0,0,0,64,17.30631237,0.3573531759,0.4163771915,0.1764997047,0.1702040633,15.40846173,38.26768641,16.57901196,-0.1515456598,0.2265103707,-0.008830955321,-0.003872718245,1.741581454,-38.26768641,-11.21658362
