split,session_label,case_id,throw_id,replay_status,alignment_window_s,duration_s,x0_m,y0_m,z0_m,u0_m_s,v0_m_s,w0_m_s,p0_rad_s,q0_rad_s,r0_rad_s,actual_dx_m,sim_dx_m,dx_residual_actual_minus_sim_m,actual_dy_m,sim_dy_m,dy_residual_actual_minus_sim_m,actual_altitude_loss_m,sim_altitude_loss_m,altitude_loss_residual_actual_minus_sim_m,actual_sink_rate_m_s,sim_sink_rate_m_s,sink_rate_residual_actual_minus_sim_m_s,actual_final_phi_deg,sim_final_phi_deg,final_phi_residual_actual_minus_sim_deg,actual_final_theta_deg,sim_final_theta_deg,final_theta_residual_actual_minus_sim_deg,actual_final_psi_deg,sim_final_psi_deg,final_psi_residual_actual_minus_sim_deg
train,20260603_215603,C0_neutral,v001,ok,0.1,1.0430116,1.421162604,2.117099758,1.619127582,1.241574029,0.309908252,0.2212548969,0.01360836416,0.3587826628,-0.01841783817,2.597822155,0.8079444232,1.789877732,0.4569572101,0.1147617002,0.3421955098,1.227717319,2.172647951,-0.9449306321,1.177088845,2.083052529,-0.9059636845,-17.38435074,-7.578059528,-9.806291217,-18.93111905,19.97808268,-38.90920174,-2.652094672,-4.650290514,1.998195841
train,20260603_215603,C0_neutral,v002,ok,0.1,1.0287708,1.451626484,2.143588143,1.719459386,0.7031543527,0.14946867,0.1120846501,0.103749851,0.1689444322,-0.05615978108,2.506247447,0.5580968742,1.948150572,-0.2329090578,0.334422091,-0.5673311487,1.329187071,2.23400215,-0.9048150789,1.292014773,2.171525621,-0.8795108482,-27.14637335,-5.719246007,-21.42712734,-17.97487321,17.38095624,-35.35582945,4.123410982,-3.220812313,7.344223296
train,20260603_215603,C0_neutral,v003,ok,0.1,1.0481863,1.764800746,2.204873637,1.482480722,4.528932011,1.081098166,0.7829388932,0.1842815554,0.910115081,-0.3138090676,3.278176679,3.592615598,-0.3144389197,0.03285305824,0.2197466728,-0.1868936146,1.085967806,0.9679856406,0.1179821652,1.036044648,0.9234862548,0.1125583927,-25.42298147,-7.455702484,-17.96727898,-8.692920924,22.09361302,-30.78653395,-3.435906629,11.8889952,-15.32490183
train,20260603_215603,C0_neutral,v004,ok,0.1,1.0174754,2.045213254,2.162187584,1.354646122,4.936262964,0.7375324496,1.105482571,0.1804750889,0.9395445196,-0.2894456713,3.316378,3.931657679,-0.6152796789,0.02152850562,-0.005840984722,0.02736949035,0.9637491936,0.8693662622,0.09438293146,0.947196555,0.8544346745,0.09276188049,-30.20872738,-21.30640159,-8.902325786,-5.325744412,15.23376133,-20.55950575,-10.85496933,-4.236158662,-6.618810671
train,20260603_215603,C0_neutral,v005,ok,0.1,1.1834831,1.773638175,2.009165377,1.614263446,4.33992175,1.110106702,0.8374588464,-0.1172454789,0.9174382582,-0.4390485275,3.19274718,3.022635283,0.1701118969,0.4938093977,-0.4452558091,0.9390652068,1.238647521,1.355323979,-0.1166764579,1.046611921,1.145199267,-0.09858734601,25.24304424,-11.13654438,36.37958862,-20.40537221,30.26278967,-50.66816188,-6.040792155,-4.94385051,-1.096941645
train,20260603_215603,C0_neutral,v006,ok,0.1,1.0610266,1.66402089,2.058735457,1.585016076,3.596832714,1.030655701,0.8196190752,-0.1548175505,1.102089528,-0.1507233775,2.565254764,2.268426368,0.2968283959,0.2995980395,0.2775823193,0.02201572013,1.188744213,1.395669255,-0.2069250422,1.120371735,1.31539516,-0.1950234256,10.65437318,-3.178034128,13.83240731,-13.89936584,31.2765518,-45.17591764,-2.757714309,10.40037707,-13.15809137
train,20260603_215603,C0_neutral,v007,ok,0.1,0.9432016,1.910834054,2.104419799,1.326028529,4.725515757,0.7523505947,1.189766574,0.1422813685,1.176958644,-0.2732739438,3.159773298,3.411422067,-0.251648769,-0.1956989933,0.3026910021,-0.4983899954,0.9264025998,0.7296423744,0.1967602254,0.9821893853,0.7735805096,0.2086088757,-26.28787437,-4.730163514,-21.55771086,-20.55387692,20.15530891,-40.70918583,-1.724079001,14.5425949,-16.2666739
train,20260603_215603,C0_neutral,v009,ok,0.1,1.1230807,1.809774204,2.100533015,1.349487015,4.959247946,1.070490278,1.084053187,-0.05950613767,1.144223325,-0.1367077064,3.508976498,4.096266147,-0.5872896491,0.173594702,-0.4258640781,0.5994587801,0.9598796818,1.018788698,-0.05890901605,0.8546845136,0.9071375707,-0.05245305707,-9.745533533,-21.13753959,11.39200606,-9.82600496,16.8686261,-26.69463106,-5.82248848,-10.06644956,4.243961085
train,20260603_220741,C0_neutral,v001,ok,0.1,0.9041508,1.697053553,2.128724727,1.285226262,4.343967202,1.365320143,0.8535124051,0.0002564684299,0.7427722858,-0.4079169064,3.192648815,3.502716969,-0.310068154,0.4740366379,-0.2615949378,0.7356315757,0.8893321755,1.100862782,-0.2115306061,0.9836104503,1.217565457,-0.2339550063,-28.50628818,-23.27453489,-5.23175329,-0.07888617517,9.92744574,-10.00633192,-15.03866181,-7.418556251,-7.620105562
train,20260603_220741,C0_neutral,v003,ok,0.1,0.9354747,1.726891046,2.140303896,1.463862201,3.706383489,1.275650924,0.8743252415,0.1874026643,0.9004442532,-0.3827598243,2.544878657,2.49432732,0.05055133689,0.3568533012,0.287087764,0.06976553721,1.072179034,1.051958759,0.02022027465,1.146133651,1.124518663,0.02161498826,-13.99841591,-4.941215426,-9.057200481,-14.83580914,27.80507763,-42.64088677,-9.521471286,8.683932555,-18.20540384
train,20260603_220741,C0_neutral,v004,ok,0.1,0.9626412,1.792044907,2.061946679,1.359355116,4.470209723,1.202319764,0.8699264399,-0.1760024947,0.8783163183,0.1546372633,3.196794398,3.486702004,-0.2899076056,0.05213237324,-0.02117336156,0.0733057348,0.9600441685,0.8559189754,0.104125193,0.9973021812,0.8891360306,0.1081661506,1.750024684,-7.014376979,8.764401663,-19.79784329,18.708697,-38.5065403,4.070234498,10.07012392,-5.999889425
train,20260603_220741,C0_neutral,v005,ok,0.1,0.7673449,1.848151136,2.103059543,1.234721996,3.939949583,0.9934539611,1.116445994,0.2598318884,1.016297127,-0.04520856665,2.454603764,2.525703176,-0.07109941224,-0.008779822043,0.3063333552,-0.3151131773,0.8555566598,0.7711591045,0.08439755536,1.11495712,1.004970652,0.1099864681,-21.92100934,-1.706930219,-20.21407912,-13.2683994,18.6452998,-31.9136992,-4.230755341,15.24837491,-19.47913025
train,20260603_220741,C0_neutral,v006,ok,0.1,1.0344512,1.727511427,2.130897838,1.324482205,4.361617912,1.031963337,0.7938998107,0.04360875064,0.7364863252,-0.05573838055,3.280709273,3.726980494,-0.4462712209,0.1019346267,0.02882217632,0.07311245033,0.9310732616,1.101242986,-0.1701697243,0.9000649442,1.064567363,-0.1645024186,-7.896067773,-11.92162877,4.025560997,-9.237348907,15.48684614,-24.72419504,-5.933748812,5.539153153,-11.47290196
train,20260603_220741,C0_neutral,v007,ok,0.1,1.0753375,1.995991901,2.150242801,1.474894353,4.909756568,0.8198681401,1.287346217,-0.02775511759,1.199287544,-0.147563717,2.758316526,3.373006261,-0.6146897351,0.1295274494,0.09660390473,0.0329235447,1.07672899,0.7122272241,0.3645017659,1.001294003,0.6623290121,0.3389649909,4.087892658,-1.244963846,5.332856504,-10.89212456,29.01558145,-39.90770601,-1.687938354,15.24026429,-16.92820264
train,20260603_220741,C0_neutral,v009,ok,0.1,1.0388042,1.787398747,2.057668207,1.407494721,4.68774409,1.01126768,1.110566645,0.1528992468,1.265524401,-0.3810114439,2.938776756,3.390748436,-0.4519716803,0.2910484144,-0.08426193648,0.3753103509,1.014365866,0.8565647813,0.1578010851,0.9764745525,0.8245680767,0.1519064758,-8.882422255,-8.782361325,-0.10006093,-15.96828217,25.89846762,-41.8667498,-12.74783596,5.28363046,-18.03146642
train,20260603_220741,C0_neutral,v010,ok,0.1,0.9880542,1.742170627,2.115238301,1.453145925,4.313234061,1.39334114,1.236154899,-0.02417333249,1.338812137,-0.4493325601,2.50564776,2.759704421,-0.2540566614,0.6428318362,0.04170814835,0.6011236879,1.054385024,0.8903976647,0.1639873589,1.067132778,0.901162775,0.1659700034,0.6031203745,-8.536324225,9.1394446,-8.20670033,33.03075205,-41.23745238,-23.6613147,4.560185119,-28.22149982
train,20260603_221447,C0_neutral,v001,ok,0.1,0.9966995,1.717278246,2.13568463,1.42470617,4.465291303,0.9246015116,1.067323635,0.06144009107,1.224004562,0.02662295838,2.893745553,3.073687858,-0.1799423056,0.09811356966,0.2474489145,-0.1493353448,1.025560474,0.8101858978,0.2153745763,1.028956545,0.8128687711,0.216087774,-12.84451695,1.12289848,-13.96741542,-16.8156126,26.16146585,-42.97707844,-8.614726425,20.52413005,-29.13885647
train,20260603_221447,C0_neutral,v002,ok,0.1,0.9085826,1.666378529,2.047569914,1.356273407,4.011264413,0.766260795,0.9715150312,0.1337682955,1.110499785,-0.07897924948,2.432324667,2.673004378,-0.2406797112,-0.2968240751,0.5220001605,-0.8188242356,0.9592870266,0.9089142432,0.05037278339,1.055806073,1.000365012,0.05544106104,-26.4001355,6.943978398,-33.3441139,-7.446462762,21.10659885,-28.55306161,11.26861072,28.38478156,-17.11617084
train,20260603_221447,C0_neutral,v003,ok,0.1,0.974955,1.804924627,2.061978498,1.404663611,3.936802792,0.970689613,1.187291106,-0.1730139949,1.16409103,0.0009818455915,2.398679663,2.57915447,-0.1804748068,0.405134848,-0.02921810077,0.4343529488,1.01177306,1.065437384,-0.05366432385,1.037763856,1.092806728,-0.05504287259,13.82796383,-2.252580903,16.08054473,-9.423785065,28.87779408,-38.30157914,-12.46439238,11.75622613,-24.22061851
train,20260603_221447,C0_neutral,v004,ok,0.1,1.0767741,1.792340587,2.147361789,1.515911951,4.426405601,1.429678491,0.9536958642,-0.048616808,1.234076652,-0.2170252078,2.985518185,2.954268241,0.03124994452,0.5623079682,0.195680577,0.3666273912,1.121472727,0.9414052792,0.1800674478,1.04151161,0.8742829895,0.1672286209,5.17002578,0.9279905389,4.242035241,-24.35022216,32.69654179,-57.04676395,-16.59612954,19.86165333,-36.45778287
train,20260603_221447,C0_neutral,v005,ok,0.1,0.9998361,1.843662158,2.049292908,1.590570199,3.605347248,0.6069077176,1.038456921,0.04069901007,1.176656721,-0.131274898,2.458783444,2.118193321,0.3405901233,0.18430415,0.09906919577,0.08523495424,1.197796494,1.263409651,-0.06561315718,1.197992845,1.263616758,-0.06562391294,-10.62450773,-2.889567798,-7.734939927,-23.31339973,32.44520501,-55.75860475,-8.029362841,9.281445018,-17.31080786
train,20260603_221447,C0_neutral,v007,ok,0.1,1.0399947,1.732714102,2.063565111,1.484254197,3.978333809,1.295341493,0.9282419957,-0.002192818241,1.172754787,-0.5312147517,2.563728051,2.639180455,-0.07545240431,0.6256620523,-0.06265293626,0.6883149885,1.085640989,1.202077365,-0.116436376,1.043890886,1.155849511,-0.1119586244,3.24917368,-12.46370785,15.71288153,-15.38372261,30.78387222,-46.16759483,-23.8962019,-3.693845251,-20.20235665
train,20260603_221447,C0_neutral,v008,ok,0.1,1.2063665,1.835261425,2.093960824,1.402093635,4.867988889,1.218761555,0.8813129832,-0.1665905569,1.060009266,-0.03741399617,3.596485647,4.101137742,-0.5046520946,0.3643444248,-0.5335101462,0.8978545711,1.016321259,1.182078622,-0.1657573629,0.842464756,0.979866916,-0.13740216,-6.337455392,-19.65897928,13.32152389,-20.31764787,19.32792063,-39.6455685,-12.65511192,-11.22862714,-1.42648478
train,20260603_221447,C0_neutral,v010,ok,0.1,1.0117302,1.723873069,2.13848514,1.425073694,4.476770539,1.188655656,0.9819258522,-0.162702237,1.174930519,-0.2984031822,2.758241898,3.099327895,-0.3410859971,0.3623502683,0.02330932099,0.3390409473,1.036233348,0.8554800313,0.1807533172,1.024219054,0.8455614266,0.1786576275,-2.091265508,-4.029609165,1.938343656,-13.95875287,28.71682295,-42.67557582,-7.694048323,10.81245645,-18.50650477
train,20260603_222247,C0_neutral,v002,ok,0.1,1.2468768,1.795034766,2.128449064,1.61436916,4.677329201,1.220240546,1.116204275,-0.04191558388,1.539631507,-0.1952307986,2.723824743,3.193576118,-0.4697513751,0.5620208422,0.06857534619,0.493445496,1.22165775,1.257426599,-0.03576884937,0.9797742247,1.00846098,-0.02868675508,23.104552,2.631625582,20.47292642,-27.04838463,32.12749025,-59.17587488,-13.37660131,21.05035585,-34.42695716
train,20260603_222247,C0_neutral,v003,ok,0.1,1.1968575,1.974741209,2.080301092,1.443122058,5.601676897,1.320620603,1.277427617,-0.419994826,1.656515775,-0.0372123152,3.452656545,4.326660507,-0.8740039621,0.4133159062,-1.191241267,1.604557173,1.05467967,0.9951282061,0.05955146435,0.8812073872,0.831450867,0.04975652018,13.58704163,-38.86208311,52.44912474,-21.78144617,7.219670204,-29.00111637,-13.90675623,-35.27546335,21.36870711
train,20260603_222247,C0_neutral,v005,ok,0.1,1.1839155,1.74516273,2.065164343,1.532848804,4.726488065,1.261792757,1.074001085,-0.05196700766,1.322800947,-0.1672131207,3.131878176,3.362012318,-0.2301341418,0.5434611465,-0.2848884374,0.8283495839,1.144161239,1.083133745,0.06102749406,0.9664213697,0.9148741993,0.05154717044,27.92936027,-2.196326984,30.12568725,-21.22705079,31.19866913,-52.42571993,-7.582190907,10.62948234,-18.21167324
train,20260603_222247,C0_neutral,v006,ok,0.1,1.1096294,1.636096173,2.004761636,1.377076278,3.665138603,0.5558944598,0.4493684215,0.006413585496,0.5905439904,-0.1354200291,3.775751182,3.58847293,0.1872782522,-0.3121069378,-0.3494159866,0.03730904876,0.9771406039,1.577538946,-0.6003983425,0.88060086,1.42168092,-0.5410800601,6.004846441,-14.50162442,20.50647086,-13.13702975,9.029434466,-22.16646421,11.75800673,-5.533421208,17.29142794
train,20260603_222247,C0_neutral,v007,ok,0.1,1.1212206,1.913585913,2.147833195,1.510966721,5.370758565,1.565522236,1.224585383,0.2344670748,1.410178524,-0.1497961035,3.108667692,3.85537594,-0.7467082481,0.418038974,0.2436270266,0.1744119474,1.116151938,0.4746537407,0.6414981974,0.9954793357,0.4233366214,0.5721427143,15.74234066,4.282254807,11.46008586,-24.44586828,30.10643514,-54.55230342,-5.602587917,25.75547857,-31.35806649
train,20260603_222247,C0_neutral,v008,ok,0.1,1.3882418,1.911080275,2.018993077,1.571668399,5.836291999,0.6611977757,1.33829205,0.2670978555,1.321314486,-0.1321721154,2.756959095,3.926351478,-1.169392384,-0.07442924325,-1.417466199,1.343036956,1.180093664,1.395705967,-0.2156123028,0.8500634864,1.005376705,-0.155313219,30.15666072,-43.33358149,73.49024221,-12.14420664,1.724928523,-13.86913516,10.41536135,-55.1358941,65.55125546
train,20260603_222247,C0_neutral,v009,ok,0.1,1.1849983,1.834757851,1.995110803,1.42815907,4.806722727,0.8031922162,1.11403572,-0.3105191901,1.260622513,-0.09564671587,3.395897072,3.627241705,-0.2313446334,0.306309776,-0.7562360215,1.062545797,1.034155645,1.210664778,-0.176509133,0.8727064374,1.021659506,-0.1489530686,4.215943393,-21.24320696,25.45915035,-30.27798948,20.94842283,-51.22641231,-12.21539844,-18.87811475,6.662716312
train,20260603_222247,C0_neutral,v010,ok,0.1,0.9815804,1.732498773,2.114280481,1.334848329,4.618848374,1.267557115,0.9024746514,-0.1390017968,0.8355410624,-0.07710429642,3.360764903,3.852221885,-0.4914569826,0.3337569352,-0.4960005682,0.8297575034,0.9376892311,1.062210842,-0.1245216112,0.9552852024,1.082143493,-0.1268582902,-2.758227981,-21.53684911,18.77862113,-10.49699746,11.31702973,-21.81402719,-9.876627296,-9.051661034,-0.8249662618
