stage_id,start_state_family,primitive_id,primitive_family,entry_role,regime_label,accepted_count,weak_count,failed_count,rejected_count,blocked_count,continuation_valid_count,terminal_useful_count,hard_failure_count,entry_role_rejection_count,total_rows,rejection_rate,launch_capture_family,launch_gate_rows_exist,non_rejected_launch_gate_rows,expected_launch_gate_rows_per_launch_capture_primitive,expected_full_dense_launch_gate_rows_present,credible_launch_gate_outcome,r5_launch_capture_gate_passed
W01,inflight_boundary_near,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,0,3700,1100,0,0,0,3700,1100,0,4800,0.0,False,False,4800,9600,False,True,False
W01,inflight_boundary_near,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,0,3697,1103,0,0,0,3697,1103,0,4800,0.0,False,False,4800,9600,False,True,False
W01,inflight_lift_region,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,1189,2411,0,0,0,3600,0,0,0,3600,0.0,False,False,3600,9600,False,True,False
W01,inflight_lift_region,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,1202,2398,0,0,0,3600,0,0,0,3600,0.0,False,False,3600,9600,False,True,False
W01,inflight_lift_region,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,1195,2405,0,0,0,3600,0,0,0,3600,0.0,False,False,3600,9600,False,True,False
W01,inflight_lift_region,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,1193,2407,0,0,0,3600,0,0,0,3600,0.0,False,False,3600,9600,False,True,False
W01,inflight_lift_region,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1193,2407,0,0,0,3600,0,0,0,3600,0.0,False,False,3600,9600,False,True,False
W01,inflight_lift_region,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1195,2405,0,0,0,3600,0,0,0,3600,0.0,False,False,3600,9600,False,True,False
W01,inflight_nominal,energy_retaining_bank,energy_retaining_bank,inflight_only,inflight_from_nominal_or_lift_region,1666,4334,0,0,0,6000,0,0,0,6000,0.0,False,False,6000,9600,False,True,False
W01,inflight_nominal,glide,glide,inflight_only,inflight_from_nominal_or_lift_region,1659,4341,0,0,0,6000,0,0,0,6000,0.0,False,False,6000,9600,False,True,False
W01,inflight_nominal,lift_dwell_arc,lift_dwell,inflight_only,inflight_from_nominal_or_lift_region,1669,4331,0,0,0,6000,0,0,0,6000,0.0,False,False,6000,9600,False,True,False
W01,inflight_nominal,lift_entry,lift_entry,inflight_only,inflight_from_nominal_or_lift_region,1650,4350,0,0,0,6000,0,0,0,6000,0.0,False,False,6000,9600,False,True,False
W01,inflight_nominal,mild_turn_left,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1679,4321,0,0,0,6000,0,0,0,6000,0.0,False,False,6000,9600,False,True,False
W01,inflight_nominal,mild_turn_right,mild_turn,inflight_only,inflight_from_nominal_or_lift_region,1679,4321,0,0,0,6000,0,0,0,6000,0.0,False,False,6000,9600,False,True,False
W01,inflight_recovery_edge,recovery,recovery,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,1664,3136,0,0,0,4800,0,0,0,4800,0.0,False,False,4800,9600,False,True,False
W01,inflight_recovery_edge,safe_exit_or_recovery_handoff,safe_exit,terminal_or_recovery,recovery_or_safe_exit_from_boundary_or_recovery_edge,1674,3126,0,0,0,4800,0,0,0,4800,0.0,False,False,4800,9600,False,True,False
W01,launch_gate,launch_capture_energy_build,launch_capture,launch_capable,launch_capture_from_launch_gate,4099,5501,0,0,0,9600,0,0,0,9600,0.0,True,True,9600,9600,True,True,True
W01,launch_gate,launch_capture_glide_stabilise,launch_capture,launch_capable,launch_capture_from_launch_gate,4099,5501,0,0,0,9600,0,0,0,9600,0.0,True,True,9600,9600,True,True,True
W01,launch_gate,launch_capture_lift_seek,launch_capture,launch_capable,launch_capture_from_launch_gate,4097,5503,0,0,0,9600,0,0,0,9600,0.0,True,True,9600,9600,True,True,True
W01,launch_gate,launch_capture_safe_handoff,launch_capture,launch_capable,launch_capture_from_launch_gate,4096,5504,0,0,0,9600,0,0,0,9600,0.0,True,True,9600,9600,True,True,True
W01,launch_gate,launch_capture_shallow_left,launch_capture,launch_capable,launch_capture_from_launch_gate,4099,5501,0,0,0,9600,0,0,0,9600,0.0,True,True,9600,9600,True,True,True
W01,launch_gate,launch_capture_shallow_right,launch_capture,launch_capable,launch_capture_from_launch_gate,4099,5501,0,0,0,9600,0,0,0,9600,0.0,True,True,9600,9600,True,True,True
