event_id,surface_index,surface_name,t0_write_start_host_s,response_window_end_s,command_step_norm,command_before_norm,command_after_norm,delta_base_deg,sigma_base_deg,delta_final_deg,response_amplitude_deg,level_10_deg,level_50_deg,level_90_deg,t10_capture_s,t50_capture_s,t90_capture_s,t10_latency_s,t50_latency_s,t90_latency_s,valid,t90_valid,rejection_reason
1,2,Aileron_R,NaN,2.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
2,2,Aileron_R,NaN,3.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
3,2,Aileron_R,NaN,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
4,2,Aileron_R,NaN,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
5,4,Elevator,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
6,4,Elevator,NaN,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
7,4,Elevator,NaN,6.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,missing_command_sample
8,4,Elevator,6.3154071,6.8,0.7,-0.7,0,-0.599522481628476,0,-0.0136413999089201,0.585881081719556,-0.54093437345652,-0.306581940768698,-0.0722295080808757,6.32486738000002,6.32486738000002,6.32486738000002,0.00946028000001853,0.00946028000001853,0.00946028000001853,0,1,response_amplitude_too_small
9,1,Aileron_L,6.805864,7.4,0.7,0,0.7,-0.141656305612006,0.691223243417285,20.5032289751455,20.6448852807575,1.92283222246375,10.1807863347668,18.4387404470698,6.891652451067,6.90235255279777,6.93434095354527,0.0857884510669997,0.0964885527977684,0.128476953545269,1,1,
10,1,Aileron_L,7.4087254,8,-0.7,0.7,0,20.8259598982828,1.65587442173745,-2.83831473615415,-23.6642746344369,18.4595324348391,8.99382258106431,-0.471887272710461,7.42261672804307,7.50912488167801,7.52226217118153,0.0138913280430657,0.100399481678008,0.113536771181533,1,1,
11,1,Aileron_L,8.0047751,8.6,-0.7,0,-0.7,-2.83831473615415,0.947498161454947,-18.6389195120548,-15.8006047759007,-4.41837521374422,-10.7386171241045,-17.0588590344648,8.01818644134514,8.09449711922944,8.12642207765778,0.0134113413451367,0.0897220192294412,0.121646977657775,1,1,
12,1,Aileron_L,8.6119388,9.2,0.7,-0.7,0,-18.6970688577067,1.82828173647383,-0.686868675092695,18.010200182614,-16.8960488394453,-9.69196876639969,-2.48788869335409,8.62192039250038,8.72868634914625,8.76004769026265,0.00998159250037922,0.11674754914625,0.14810889026265,1,1,
13,3,Rudder,9.2156236,9.8,0.7,0,0.7,-1.27728222349881,4.01154755100499,28.2633808223614,29.5406630458602,1.67678408108721,13.4930492994313,25.3093145177754,9.277155561195,9.31567436120995,9.35647936343753,0.0615319611949996,0.100050761209953,0.14085576343753,1,1,
14,3,Rudder,9.8168356,10.4,-0.7,0.7,0,28.2685594114492,3.03608811204233,-1.73924273835091,-30.0078021498001,25.2677791964692,13.2646583365491,1.2615374766291,9.90088588508666,9.94364344879191,9.95568371663808,0.084050285086656,0.126807848791911,0.13884811663808,1,1,
15,3,Rudder,10.4048834,11,-0.7,0,-0.7,-3.83430479791381,3.36139875272205,-21.0830226392535,-17.2487178413397,-5.55917658204777,-12.4586637185836,-19.3581508551195,10.477014376365,10.4809177416131,10.4848211068611,0.0721309763650417,0.0760343416130826,0.0799377068611253,1,1,
16,3,Rudder,11.0082338,11.6,0.7,-0.7,0,-21.2087713182832,2.60475641066788,4.88328175239881,26.092053070682,-18.599566011215,-8.16274478294221,2.27407644533061,11.0689486704777,11.0947983312736,11.1412553007012,0.060714870477721,0.0865645312735683,0.133021500701185,1,1,
17,3,Rudder,11.6113298,12.2,-0.7,0,-0.7,5.6783618091419,4.84760759700574,-25.5162745129551,-31.194636322097,2.5588981769322,-9.91895635190658,-22.3968108807454,11.6209336624995,11.6856509086737,11.7294599454,0.00960386249946588,0.074321108673729,0.118130145400045,1,1,
18,3,Rudder,12.2112185,12.8,0.7,-0.7,0,-25.5162745129551,3.02523797239846,0.618671730544403,26.1349462434995,-22.9027798886051,-12.4488013912053,-1.99482289380554,12.2689512127862,12.2935509588444,12.3357300937095,0.0577327127861782,0.0823324588443786,0.124511593709482,1,1,
19,3,Rudder,12.8137615,13.4,0.7,0,0.7,0.549391629878856,4.55875250657495,28.4778162316016,27.9284246017228,3.34223409005114,14.5136039307403,25.6849737714294,12.8639531165529,12.9089899426602,12.9550967745635,0.0501916165528851,0.0952284426601775,0.141335274563525,1,1,
20,3,Rudder,13.4099518,14,-0.7,0.7,0,29.1233525097257,2.28581755029512,-4.20165509392226,-33.325007603648,25.7908517493609,12.4608487079017,-0.869154333557464,13.4534009660993,13.5108296118821,13.5402656662552,0.0434491660993412,0.100877811882077,0.130313866255229,1,1,
21,2,Aileron_R,14.0080136,14.6,-0.7,0,-0.7,1.56810272127192,1.21443932117129,-30.4579960816165,-32.0260988028884,-1.63450715901692,-14.4449466801723,-27.2553862013276,14.0684251746771,14.1127156326905,14.1326452448327,0.0604115746771186,0.104702032690467,0.124631644832652,1,1,
22,2,Aileron_R,14.6057978,15.2,0.7,-0.7,0,-30.4017619524064,2.51381347607073,-0.39304657985014,30.0087153725562,-27.4008904151507,-15.3974042661283,-3.39391811710576,14.6861825083279,14.7202917424347,14.7448305603662,0.0803847083279443,0.114493942434718,0.139032760366206,1,1,
23,2,Aileron_R,15.2110345,15.8,0.7,0,0.7,-0.39304657985014,0.906353358969495,18.38374460886,18.7767911887102,1.48463253902088,8.99534901450494,16.506065489989,15.2538121778007,15.3017249698378,15.3348432193348,0.0427776778007392,0.0906904698377815,0.123808719334779,1,1,
