case_id,case_type,alpha_deg,beta_deg,speed_m_s,delta_a_deg,delta_e_deg,delta_r_deg,cl_lift_asb,cd_drag_asb,cm_pitch_asb,cy_asb,cl_roll_asb,cn_yaw_asb,valid_aerosandbox,aerosandbox_status
case_000165,aileron,-8.0,-6.0,4.5,-10.0,0.0,0.0,-0.563589897309747,0.1553196178698155,0.06702044423414483,-0.012863849253280334,-0.08528273054554487,-0.021024901814394197,True,ok: AeroSandbox AeroBuildup.run
case_000166,aileron,-6.0,-6.0,4.5,-10.0,0.0,0.0,-0.4499080673698883,0.12113261638950583,0.07844685163916339,-0.012524115789659146,-0.09788811586663132,-0.018811857503731676,True,ok: AeroSandbox AeroBuildup.run
case_000167,aileron,-4.0,-6.0,4.5,-10.0,0.0,0.0,-0.2899776408649043,0.09384313666123559,0.04565163865852388,-0.013663592709143108,-0.11422534209441647,-0.01663380074502065,True,ok: AeroSandbox AeroBuildup.run
case_000168,aileron,-2.0,-6.0,4.5,-10.0,0.0,0.0,-0.1365779378991569,0.08698598117615539,0.021153173520607273,-0.014686739281251379,-0.12447825140963584,-0.013005666221292749,True,ok: AeroSandbox AeroBuildup.run
case_000169,aileron,0.0,-6.0,4.5,-10.0,0.0,0.0,-4.096017825921192e-16,0.08610768238525981,0.010740126825872422,-0.01586944463059035,-0.13087101503616314,-0.00911408777312107,True,ok: AeroSandbox AeroBuildup.run
case_000170,aileron,2.0,-6.0,4.5,-10.0,0.0,0.0,0.13657792772371904,0.08698598093020085,-0.0007800145041334391,-0.01468673626678545,-0.12497423657141751,-0.005048739482662315,True,ok: AeroSandbox AeroBuildup.run
case_000171,aileron,4.0,-6.0,4.5,-10.0,0.0,0.0,0.2899775993368151,0.09384313458236837,-0.02777689413709738,-0.013663586971221062,-0.11497294679582967,-0.0008544646044529172,True,ok: AeroSandbox AeroBuildup.run
case_000172,aileron,6.0,-6.0,4.5,-10.0,0.0,0.0,0.44990797285518036,0.12113260907895655,-0.061976375692501626,-0.01252410776824704,-0.09890551550086168,0.002351999499838291,True,ok: AeroSandbox AeroBuildup.run
case_000173,aileron,8.0,-6.0,4.5,-10.0,0.0,0.0,0.5635897338667134,0.1553196020475094,-0.05235994991831232,-0.012863838722989776,-0.0868762042749975,0.005194074019302163,True,ok: AeroSandbox AeroBuildup.run
case_000174,aileron,10.0,-6.0,4.5,-10.0,0.0,0.0,0.6446292200438556,0.18850959274901882,-0.025902635155890266,-0.01349001390615208,-0.07590759316279709,0.008123120526309752,True,ok: AeroSandbox AeroBuildup.run
case_000175,aileron,12.0,-6.0,4.5,-10.0,0.0,0.0,0.740316615661901,0.22523450935363432,-0.004534785234699275,-0.01415425962701626,-0.061019087141225635,0.01151173599582264,True,ok: AeroSandbox AeroBuildup.run
case_000176,aileron,-8.0,0.0,4.5,-10.0,0.0,0.0,-0.5576429295643464,0.15767275989020477,0.07327212226636083,-0.022467360472901578,-0.09208053530232069,-0.015033312890467198,True,ok: AeroSandbox AeroBuildup.run
case_000177,aileron,-6.0,0.0,4.5,-10.0,0.0,0.0,-0.4405303204599427,0.12415808141140248,0.08679674647016385,-0.02604120997193166,-0.10574205181208433,-0.01288887307918836,True,ok: AeroSandbox AeroBuildup.run
case_000178,aileron,-4.0,0.0,4.5,-10.0,0.0,0.0,-0.28275634393076904,0.09725027687579396,0.052778997616666275,-0.03005401167383975,-0.12134899025597634,-0.010749747090469792,True,ok: AeroSandbox AeroBuildup.run
