case_id,case_type,alpha_deg,beta_deg,speed_m_s,delta_a_deg,delta_e_deg,delta_r_deg,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status
case_000026,clean,0.0,6.0,4.5,0.0,0.0,0.0,-0.022889718366657465,-0.02740628813471232,0.004324663839143486,-0.011043057117388032,-0.003033970727423959,0.008197755380310806,-0.004324663839143486,0.02562906327704616,True,ok
case_000027,clean,2.0,6.0,4.5,0.0,0.0,0.0,-0.01883828216723215,-0.0273908982454732,-0.18484082429636217,-0.011041359225784267,0.0908847130703793,0.007789653045492398,0.18397976180728984,0.028002312977771445,True,ok
case_000028,clean,4.0,6.0,4.5,0.0,0.0,0.0,-0.006657627758132184,-0.02733408660725522,-0.37310532512042643,-0.011003306929784344,0.183716014530509,0.007377960261795593,0.37154838124962236,0.03534615370054464,True,ok
case_000029,clean,6.0,6.0,4.5,0.0,0.0,0.0,0.01323932492052672,-0.02716683240813444,-0.557337914346764,-0.010715261592951936,0.27384107976600197,0.007012158843273738,0.5553900799400441,0.047683571894374194,True,ok
case_000030,clean,8.0,6.0,4.5,0.0,0.0,0.0,0.0385359558291466,-0.026622634632939738,-0.7247002835472879,-0.009352557539061748,0.35485939051754234,0.006926225300083347,0.7226400655482601,0.06513721682546389,True,ok
case_000031,clean,10.0,6.0,4.5,0.0,0.0,0.0,0.05971015186321487,-0.025096094548599936,-0.8340116695216926,-0.005041991271606867,0.4069569416300962,0.007800429191737118,0.8312742445989453,0.08817360702503388,True,ok
case_000032,clean,12.0,6.0,4.5,0.0,0.0,0.0,0.0574521201862285,-0.02304647338112769,-0.8273645298318327,0.0007958666615692504,0.40338655121620953,0.009654198197741132,0.8207867750203232,0.11759663164023906,True,ok
case_000033,clean,-8.0,-6.0,5.5,0.0,0.0,0.0,0.03856603750249022,0.026574854597402203,0.7314974602522938,0.009204736401104923,-0.36787957258037995,-0.00951273905955976,-0.7293766572363073,0.06604339867763331,True,ok
case_000034,clean,-6.0,-6.0,5.5,0.0,0.0,0.0,0.013428953530148963,0.02715544056905848,0.565571511538715,0.010680017696695165,-0.2847013307734811,-0.009326167531027534,-0.5635987950797876,0.04835075499020986,True,ok
case_000035,clean,-4.0,-6.0,5.5,0.0,0.0,0.0,-0.006504478323490769,0.027332314073542825,0.38167862903014055,0.010997823092288502,-0.19205567817718686,-0.008978017692730317,-0.3801116085223222,0.03578879627943556,True,ok
case_000036,clean,-2.0,-6.0,5.5,0.0,0.0,0.0,-0.01875902671629878,0.027390874177427797,0.19348019304408426,0.011041284764436101,-0.09753189714934461,-0.008594836089079775,-0.19261666102839675,0.028223395116360833,True,ok
case_000037,clean,0.0,-6.0,5.5,0.0,0.0,0.0,-0.02288971836665748,0.027406288134712315,0.00432466383914349,0.011043057117388028,-0.003033970727423966,-0.008197755380310805,-0.00432466383914349,0.025629063277046175,True,ok
case_000038,clean,2.0,-6.0,5.5,0.0,0.0,0.0,-0.018838282167232153,0.027390898245473208,-0.18484082429636217,0.011041359225784274,0.09088471307037932,-0.0077896530454923995,0.18397976180728984,0.02800231297777145,True,ok
case_000039,clean,4.0,-6.0,5.5,0.0,0.0,0.0,-0.00665762775813219,0.027334086607255222,-0.3731053251204267,0.011003306929784368,0.18371601453050923,-0.007377960261795591,0.37154838124962264,0.03534615370054467,True,ok
case_000040,clean,6.0,-6.0,5.5,0.0,0.0,0.0,0.013239324920526716,0.02716683240813443,-0.5573379143467638,0.010715261592951913,0.27384107976600197,-0.0070121588432737365,0.5553900799400439,0.047683571894374166,True,ok
case_000041,clean,8.0,-6.0,5.5,0.0,0.0,0.0,0.038535955829146644,0.02662263463293974,-0.7247002835472878,0.009352557539061756,0.35485939051754267,-0.0069262253000833525,0.72264006554826,0.06513721682546383,True,ok
case_000042,clean,10.0,-6.0,5.5,0.0,0.0,0.0,0.05971015186321487,0.025096094548599946,-0.8340116695216931,0.005041991271606893,0.406956941630096,-0.007800429191737112,0.8312742445989458,0.08817360702503399,True,ok
case_000043,clean,12.0,-6.0,5.5,0.0,0.0,0.0,0.05745212018622849,0.023046473381127693,-0.8273645298318328,-0.0007958666615692279,0.4033865512162095,-0.009654198197741133,0.8207867750203233,0.1175966316402391,True,ok
case_000044,clean,-8.0,0.0,5.5,0.0,0.0,0.0,0.03764449607529926,0.0,0.7408488023904657,-3.888553815743601e-18,-0.3727616039434447,-6.075865337099376e-20,-0.7388780140255901,0.06582808274399563,True,ok
case_000045,clean,-6.0,0.0,5.5,0.0,0.0,0.0,0.012013130368730193,-2.2281413364210834e-18,0.5721168298701844,0.0,-0.2876543752453992,2.9619843518359465e-19,-0.5702384280710612,0.0478551718522762,True,ok
case_000046,clean,-4.0,0.0,5.5,0.0,0.0,0.0,-0.008185858226236551,0.0,0.38593549472921235,-2.6733807483237258e-18,-0.19371968103318188,2.4303461348397506e-19,-0.3844243586566705,0.035087417092021546,True,ok
case_000047,clean,-2.0,0.0,5.5,0.0,0.0,0.0,-0.020582414199358245,3.713568894035139e-19,0.19561411328291217,-2.6733807483237258e-18,-0.09810633648195004,1.518966334274844e-20,-0.19477663455393665,0.027396710050225863,True,ok
case_000048,clean,0.0,0.0,5.5,0.0,0.0,0.0,-0.02475931159823991,1.160490279385981e-20,0.004372681854160754,9.113798005649065e-20,-0.002568081499243392,3.341725935404657e-19,-0.004372681854160754,0.02475931159823991,True,ok
case_000049,clean,2.0,0.0,5.5,0.0,0.0,0.0,-0.020662636049395784,0.0,-0.1868786987725949,2.6733807483237258e-18,0.09238427273541935,7.594831671374221e-20,0.18604374171992522,0.027172021461382083,True,ok
case_000050,clean,4.0,0.0,5.5,0.0,0.0,0.0,-0.008341483445655476,-7.427137788070278e-19,-0.3772615711440822,7.291038404519252e-19,0.1862796248843853,-3.645519202259626e-19,0.37576070844691156,0.03463760089340298,True,ok
case_000051,clean,6.0,0.0,5.5,0.0,0.0,0.0,0.011816746345433466,-2.2281413364210834e-18,-0.5637645809577849,5.832830723615402e-18,0.2776342124551285,-7.366986721232995e-19,0.5619114059319484,0.04717743231970327,True,ok
case_000052,clean,8.0,0.0,5.5,0.0,0.0,0.0,0.03759481018186787,1.4854275576140557e-18,-0.733887391851926,0.0,0.3604495071102569,2.4303461348397506e-19,0.7319774365160103,0.06490844400602298,True,ok
case_000053,clean,10.0,0.0,5.5,0.0,0.0,0.0,0.05954936973222753,-1.4854275576140557e-18,-0.8461976092929905,0.0,0.414878598092382,6.075865337099376e-20,0.843682605747348,0.08829599180055273,True,ok
case_000054,clean,12.0,0.0,5.5,0.0,0.0,0.0,0.057320382078891556,4.456282672842167e-18,-0.8382497212113307,6.804969177551302e-18,0.4100187553010692,-1.0328971073068941e-18,0.831849531174987,0.11821412266095034,True,ok
case_000055,clean,-8.0,6.0,5.5,0.0,0.0,0.0,0.03856603750249022,-0.026574854597402203,0.7314974602522938,-0.009204736401104932,-0.36787957258038007,0.00951273905955976,-0.7293766572363073,0.06604339867763331,True,ok
case_000056,clean,-6.0,6.0,5.5,0.0,0.0,0.0,0.013428953530148967,-0.02715544056905848,0.5655715115387149,-0.01068001769669516,-0.2847013307734811,0.009326167531027534,-0.5635987950797875,0.04835075499020984,True,ok
case_000057,clean,-4.0,6.0,5.5,0.0,0.0,0.0,-0.006504478323490769,-0.027332314073542818,0.3816786290301407,-0.010997823092288495,-0.1920556781771868,0.008978017692730317,-0.38011160852232234,0.03578879627943557,True,ok
case_000058,clean,-2.0,6.0,5.5,0.0,0.0,0.0,-0.01875902671629878,-0.027390874177427797,0.19348019304408426,-0.011041284764436105,-0.09753189714934463,0.008594836089079775,-0.19261666102839675,0.028223395116360833,True,ok
case_000059,clean,0.0,6.0,5.5,0.0,0.0,0.0,-0.022889718366657475,-0.027406288134712315,0.00432466383914349,-0.01104305711738803,-0.0030339707274239657,0.008197755380310805,-0.00432466383914349,0.02562906327704617,True,ok
case_000060,clean,2.0,6.0,5.5,0.0,0.0,0.0,-0.01883828216723215,-0.027390898245473208,-0.18484082429636217,-0.011041359225784279,0.09088471307037933,0.0077896530454923995,0.18397976180728984,0.02800231297777145,True,ok
case_000061,clean,4.0,6.0,5.5,0.0,0.0,0.0,-0.00665762775813219,-0.02733408660725523,-0.37310532512042666,-0.011003306929784368,0.18371601453050923,0.007377960261795591,0.3715483812496226,0.03534615370054467,True,ok
case_000062,clean,6.0,6.0,5.5,0.0,0.0,0.0,0.013239324920526712,-0.02716683240813443,-0.5573379143467638,-0.01071526159295191,0.273841079766002,0.007012158843273738,0.5553900799400439,0.047683571894374166,True,ok
case_000063,clean,8.0,6.0,5.5,0.0,0.0,0.0,0.038535955829146644,-0.02662263463293974,-0.7247002835472879,-0.009352557539061761,0.3548593905175426,0.0069262253000833525,0.7226400655482601,0.06513721682546383,True,ok
case_000064,clean,10.0,6.0,5.5,0.0,0.0,0.0,0.05971015186321487,-0.02509609454859995,-0.8340116695216929,-0.005041991271606895,0.4069569416300958,0.007800429191737113,0.8312742445989456,0.08817360702503393,True,ok
case_000065,clean,12.0,6.0,5.5,0.0,0.0,0.0,0.0574521201862285,-0.0230464733811277,-0.8273645298318326,0.0007958666615692284,0.40338655121620964,0.009654198197741133,0.820786775020323,0.11759663164023905,True,ok
case_000066,clean,-8.0,-6.0,6.5,0.0,0.0,0.0,0.03856603750249021,0.026574854597402192,0.7314974602522941,0.009204736401104885,-0.3678795725803799,-0.009512739059559759,-0.7293766572363076,0.06604339867763337,True,ok
case_000067,clean,-6.0,-6.0,6.5,0.0,0.0,0.0,0.013428953530148988,0.027155440569058473,0.5655715115387155,0.010680017696695155,-0.2847013307734811,-0.009326167531027534,-0.5635987950797882,0.04835075499020989,True,ok
case_000068,clean,-4.0,-6.0,6.5,0.0,0.0,0.0,-0.006504478323490776,0.02733231407354283,0.3816786290301407,0.010997823092288502,-0.19205567817718688,-0.008978017692730315,-0.38011160852232234,0.035788796279435584,True,ok
case_000069,clean,-2.0,-6.0,6.5,0.0,0.0,0.0,-0.018759026716298782,0.0273908741774278,0.1934801930440844,0.0110412847644361,-0.09753189714934454,-0.008594836089079778,-0.1926166610283969,0.028223395116360843,True,ok
case_000070,clean,0.0,-6.0,6.5,0.0,0.0,0.0,-0.022889718366657485,0.02740628813471231,0.004324663839143496,0.011043057117388032,-0.0030339707274239635,-0.008197755380310805,-0.004324663839143496,0.02562906327704618,True,ok
case_000071,clean,2.0,-6.0,6.5,0.0,0.0,0.0,-0.01883828216723216,0.02739089824547322,-0.18484082429636223,0.011041359225784269,0.09088471307037928,-0.007789653045492403,0.1839797618072899,0.02800231297777146,True,ok
case_000072,clean,4.0,-6.0,6.5,0.0,0.0,0.0,-0.006657627758132195,0.027334086607255233,-0.3731053251204267,0.011003306929784374,0.1837160145305091,-0.007377960261795593,0.37154838124962264,0.035346153700544676,True,ok
case_000073,clean,6.0,-6.0,6.5,0.0,0.0,0.0,0.013239324920526735,0.02716683240813443,-0.5573379143467644,0.010715261592951915,0.2738410797660022,-0.0070121588432737365,0.5553900799400444,0.04768357189437421,True,ok
case_000074,clean,8.0,-6.0,6.5,0.0,0.0,0.0,0.03853595582914664,0.02662263463293973,-0.7247002835472881,0.009352557539061728,0.3548593905175427,-0.006926225300083349,0.7226400655482603,0.06513721682546388,True,ok
case_000075,clean,10.0,-6.0,6.5,0.0,0.0,0.0,0.0597101518632149,0.025096094548599932,-0.8340116695216928,0.005041991271606889,0.4069569416300959,-0.007800429191737118,0.8312742445989455,0.0881736070250339,True,ok
case_000076,clean,12.0,-6.0,6.5,0.0,0.0,0.0,0.05745212018622849,0.023046473381127686,-0.8273645298318327,-0.000795866661569283,0.4033865512162094,-0.009654198197741133,0.8207867750203232,0.11759663164023908,True,ok
case_000077,clean,-8.0,0.0,6.5,0.0,0.0,0.0,0.03764449607529929,-3.1905929196088893e-18,0.740848802390466,2.088084371471786e-18,-0.3727616039434448,2.6101054643397324e-19,-0.7388780140255904,0.06582808274399565,True,ok
case_000078,clean,-6.0,0.0,6.5,0.0,0.0,0.0,0.01201313036873019,0.0,0.5721168298701851,1.7400703095598215e-18,-0.2876543752453993,0.0,-0.5702384280710618,0.04785517185227628,True,ok
case_000079,clean,-4.0,0.0,6.5,0.0,0.0,0.0,-0.008185858226236548,-1.5952964598044447e-18,0.3859354947292127,-3.480140619119643e-18,-0.19371968103318202,-1.7400703095598215e-19,-0.38442435865667085,0.03508741709202157,True,ok
case_000080,clean,-2.0,0.0,6.5,0.0,0.0,0.0,-0.020582414199358252,-7.976482299022223e-19,0.19561411328291226,1.2180492166918752e-18,-0.09810633648195008,7.177790026934264e-19,-0.1947766345539367,0.027396710050225873,True,ok
case_000081,clean,0.0,0.0,6.5,0.0,0.0,0.0,-0.024759311598239915,2.4926507184444448e-20,0.004372681854160753,2.175087886949777e-20,-0.0025680814992433913,4.350175773899554e-20,-0.004372681854160753,0.024759311598239915,True,ok
case_000082,clean,2.0,0.0,6.5,0.0,0.0,0.0,-0.02066263604939579,-7.976482299022223e-19,-0.18687869877259503,1.5660632786038394e-18,0.09238427273541945,2.175087886949777e-20,0.18604374171992535,0.027172021461382093,True,ok
case_000083,clean,4.0,0.0,6.5,0.0,0.0,0.0,-0.00834148344565548,1.5952964598044447e-18,-0.3772615711440825,3.480140619119643e-18,0.18627962488438518,1.3050527321698662e-19,0.37576070844691184,0.03463760089340301,True,ok
case_000084,clean,6.0,0.0,6.5,0.0,0.0,0.0,0.011816746345433463,-1.063530973202963e-18,-0.5637645809577855,-1.7400703095598215e-18,0.27763421245512865,-3.480140619119643e-19,0.561911405931949,0.047177432319703325,True,ok
case_000085,clean,8.0,0.0,6.5,0.0,0.0,0.0,0.037594810181867895,0.0,-0.7338873918519262,1.1832478105006787e-17,0.3604495071102567,1.3920562476478572e-18,0.7319774365160105,0.06490844400602298,True,ok
case_000086,clean,10.0,0.0,6.5,0.0,0.0,0.0,0.05954936973222751,1.063530973202963e-18,-0.8461976092929904,0.0,0.414878598092382,-1.3920562476478572e-18,0.8436826057473479,0.08829599180055271,True,ok
case_000087,clean,12.0,0.0,6.5,0.0,0.0,0.0,0.05732038207889156,-1.063530973202963e-18,-0.8382497212113301,1.044042185735893e-17,0.4100187553010693,-3.9151581965095986e-19,0.8318495311749864,0.11821412266095022,True,ok
case_000088,clean,-8.0,6.0,6.5,0.0,0.0,0.0,0.03856603750249021,-0.02657485459740219,0.7314974602522941,-0.009204736401104884,-0.3678795725803799,0.009512739059559759,-0.7293766572363076,0.06604339867763337,True,ok
case_000089,clean,-6.0,6.0,6.5,0.0,0.0,0.0,0.013428953530148988,-0.027155440569058473,0.5655715115387155,-0.010680017696695162,-0.2847013307734811,0.009326167531027534,-0.5635987950797882,0.04835075499020989,True,ok
case_000090,clean,-4.0,6.0,6.5,0.0,0.0,0.0,-0.006504478323490775,-0.02733231407354283,0.38167862903014077,-0.010997823092288502,-0.19205567817718688,0.008978017692730315,-0.3801116085223224,0.035788796279435584,True,ok
case_000091,clean,-2.0,6.0,6.5,0.0,0.0,0.0,-0.01875902671629878,-0.0273908741774278,0.19348019304408437,-0.011041284764436103,-0.09753189714934452,0.00859483608907978,-0.19261666102839686,0.028223395116360836,True,ok
case_000092,clean,0.0,6.0,6.5,0.0,0.0,0.0,-0.022889718366657482,-0.02740628813471231,0.004324663839143491,-0.011043057117388034,-0.003033970727423962,0.008197755380310805,-0.004324663839143491,0.025629063277046178,True,ok
case_000093,clean,2.0,6.0,6.5,0.0,0.0,0.0,-0.018838282167232163,-0.02739089824547322,-0.18484082429636223,-0.011041359225784272,0.09088471307037925,0.007789653045492403,0.1839797618072899,0.028002312977771462,True,ok
case_000094,clean,4.0,6.0,6.5,0.0,0.0,0.0,-0.006657627758132195,-0.027334086607255233,-0.3731053251204268,-0.011003306929784377,0.18371601453050904,0.007377960261795593,0.37154838124962275,0.03534615370054468,True,ok
case_000095,clean,6.0,6.0,6.5,0.0,0.0,0.0,0.013239324920526733,-0.02716683240813443,-0.5573379143467644,-0.010715261592951908,0.273841079766002,0.0070121588432737365,0.5553900799400444,0.04768357189437421,True,ok
case_000096,clean,8.0,6.0,6.5,0.0,0.0,0.0,0.038535955829146644,-0.02662263463293973,-0.724700283547288,-0.009352557539061728,0.3548593905175426,0.006926225300083349,0.7226400655482602,0.06513721682546386,True,ok
case_000097,clean,10.0,6.0,6.5,0.0,0.0,0.0,0.059710151863214905,-0.02509609454859993,-0.8340116695216928,-0.005041991271606879,0.406956941630096,0.007800429191737118,0.8312742445989455,0.0881736070250339,True,ok
case_000098,clean,12.0,6.0,6.5,0.0,0.0,0.0,0.057452120186228486,-0.023046473381127683,-0.8273645298318327,0.0007958666615692781,0.40338655121620953,0.009654198197741133,0.8207867750203232,0.11759663164023909,True,ok
case_000099,clean,-8.0,-6.0,7.5,0.0,0.0,0.0,0.038566037502490186,0.026574854597402196,0.7314974602522935,0.00920473640110491,-0.3678795725803801,-0.009512739059559757,-0.729376657236307,0.06604339867763329,True,ok
case_000100,clean,-6.0,-6.0,7.5,0.0,0.0,0.0,0.013428953530148969,0.027155440569058473,0.5655715115387153,0.010680017696695156,-0.28470133077348125,-0.009326167531027534,-0.5635987950797879,0.04835075499020989,True,ok
case_000101,clean,-4.0,-6.0,7.5,0.0,0.0,0.0,-0.006504478323490769,0.027332314073542825,0.38167862903014094,0.010997823092288481,-0.19205567817718683,-0.008978017692730317,-0.38011160852232256,0.035788796279435584,True,ok
case_000102,clean,-2.0,-6.0,7.5,0.0,0.0,0.0,-0.018759026716298782,0.027390874177427797,0.19348019304408443,0.011041284764436105,-0.09753189714934457,-0.008594836089079773,-0.19261666102839692,0.028223395116360843,True,ok
case_000103,clean,0.0,-6.0,7.5,0.0,0.0,0.0,-0.022889718366657485,0.027406288134712308,0.004324663839143491,0.011043057117388028,-0.0030339707274239644,-0.008197755380310803,-0.004324663839143491,0.02562906327704618,True,ok
case_000104,clean,2.0,-6.0,7.5,0.0,0.0,0.0,-0.018838282167232163,0.027390898245473208,-0.18484082429636228,0.01104135922578427,0.09088471307037932,-0.007789653045492398,0.18397976180728995,0.028002312977771466,True,ok
case_000105,clean,4.0,-6.0,7.5,0.0,0.0,0.0,-0.006657627758132189,0.027334086607255226,-0.373105325120427,0.011003306929784353,0.18371601453050912,-0.0073779602617955915,0.3715483812496229,0.03534615370054469,True,ok
case_000106,clean,6.0,-6.0,7.5,0.0,0.0,0.0,0.01323932492052672,0.027166832408134438,-0.5573379143467639,0.010715261592951903,0.27384107976600197,-0.007012158843273735,0.555390079940044,0.04768357189437418,True,ok
case_000107,clean,8.0,-6.0,7.5,0.0,0.0,0.0,0.0385359558291466,0.026622634632939745,-0.7247002835472875,0.009352557539061774,0.3548593905175426,-0.006926225300083346,0.7226400655482598,0.06513721682546383,True,ok
case_000108,clean,10.0,-6.0,7.5,0.0,0.0,0.0,0.05971015186321489,0.02509609454859993,-0.834011669521693,0.005041991271606874,0.4069569416300961,-0.0078004291917371125,0.8312742445989457,0.08817360702503393,True,ok
case_000109,clean,12.0,-6.0,7.5,0.0,0.0,0.0,0.05745212018622849,0.02304647338112769,-0.8273645298318325,-0.0007958666615692729,0.40338655121620925,-0.009654198197741137,0.8207867750203229,0.11759663164023902,True,ok
case_000110,clean,-8.0,0.0,7.5,0.0,0.0,0.0,0.037644496075299266,0.0,0.7408488023904657,-1.202427252134938e-17,-0.37276160394344465,3.2674653590623317e-19,-0.7388780140255901,0.06582808274399561,True,ok
case_000111,clean,-6.0,0.0,7.5,0.0,0.0,0.0,0.01201313036873018,1.5976598619671178e-18,0.5721168298701849,-8.887505776649542e-18,-0.2876543752453994,6.534930718124663e-20,-0.5702384280710616,0.047855171852276265,True,ok
case_000112,clean,-4.0,0.0,7.5,0.0,0.0,0.0,-0.008185858226236544,0.0,0.3859354947292126,2.613972287249865e-19,-0.19371968103318218,-1.2252995096483743e-19,-0.3844243586566708,0.03508741709202156,True,ok
case_000113,clean,-2.0,0.0,7.5,0.0,0.0,0.0,-0.02058241419935825,3.9941496549177945e-19,0.1956141132829122,-1.3069861436249327e-18,-0.0981063364819501,-2.9407188231560984e-19,-0.19477663455393668,0.027396710050225866,True,ok
case_000114,clean,0.0,0.0,7.5,0.0,0.0,0.0,-0.024759311598239915,0.0,0.004372681854160751,9.802396077186995e-20,-0.00256808149924339,-2.4505990192967487e-19,-0.004372681854160751,0.024759311598239915,True,ok
case_000115,clean,2.0,0.0,7.5,0.0,0.0,0.0,-0.020662636049395788,0.0,-0.18687869877259491,2.3525750585248787e-18,0.09238427273541945,-3.2674653590623313e-20,0.18604374171992524,0.027172021461382086,True,ok
case_000116,clean,4.0,0.0,7.5,0.0,0.0,0.0,-0.008341483445655473,0.0,-0.37726157114408254,1.8297806010749058e-18,0.18627962488438518,-2.4505990192967487e-20,0.3757607084469119,0.034637600893403,True,ok
case_000117,clean,6.0,0.0,7.5,0.0,0.0,0.0,0.011816746345433454,-2.3964897929506767e-18,-0.5637645809577854,4.7051501170497574e-18,0.2776342124551285,1.3069861436249325e-19,0.5619114059319489,0.047177432319703325,True,ok
case_000118,clean,8.0,0.0,7.5,0.0,0.0,0.0,0.03759481018186788,-1.5976598619671178e-18,-0.7338873918519259,3.6595612021498116e-18,0.36044950711025664,-1.960479215437399e-19,0.7319774365160102,0.06490844400602296,True,ok
case_000119,clean,10.0,0.0,7.5,0.0,0.0,0.0,0.05954936973222754,0.0,-0.84619760929299,-1.045588914899946e-18,0.4148785980923818,1.6010580259405424e-18,0.8436826057473475,0.08829599180055263,True,ok
