case_id,case_type,alpha_deg,beta_deg,speed_m_s,delta_a_deg,delta_e_deg,delta_r_deg,cx_body,cy_body,cz_body,cl_roll,cm_pitch,cn_yaw,cl_lift,cd_drag,valid_local,local_status
case_000000,clean,-8.0,-6.0,4.5,0.0,0.0,0.0,0.038566037502490186,0.02657485459740219,0.7314974602522937,0.009204736401104875,-0.3678795725803802,-0.009512739059559766,-0.7293766572363072,0.06604339867763333,True,ok
case_000001,clean,-6.0,-6.0,4.5,0.0,0.0,0.0,0.013428953530148967,0.027155440569058494,0.5655715115387154,0.010680017696695169,-0.284701330773481,-0.009326167531027538,-0.563598795079788,0.04835075499020991,True,ok
case_000002,clean,-4.0,-6.0,4.5,0.0,0.0,0.0,-0.006504478323490764,0.027332314073542814,0.3816786290301405,0.010997823092288476,-0.1920556781771868,-0.008978017692730319,-0.3801116085223221,0.035788796279435556,True,ok
case_000003,clean,-2.0,-6.0,4.5,0.0,0.0,0.0,-0.018759026716298765,0.027390874177427787,0.19348019304408437,0.011041284764436094,-0.09753189714934458,-0.008594836089079775,-0.19261666102839686,0.02822339511636082,True,ok
case_000004,clean,0.0,-6.0,4.5,0.0,0.0,0.0,-0.022889718366657465,0.02740628813471232,0.004324663839143485,0.011043057117388032,-0.0030339707274239583,-0.008197755380310806,-0.004324663839143485,0.02562906327704616,True,ok
case_000005,clean,2.0,-6.0,4.5,0.0,0.0,0.0,-0.01883828216723215,0.0273908982454732,-0.1848408242963622,0.011041359225784267,0.09088471307037929,-0.007789653045492398,0.18397976180728987,0.028002312977771445,True,ok
case_000006,clean,4.0,-6.0,4.5,0.0,0.0,0.0,-0.006657627758132183,0.02733408660725522,-0.3731053251204265,0.011003306929784342,0.183716014530509,-0.007377960261795593,0.3715483812496224,0.03534615370054465,True,ok
case_000007,clean,6.0,-6.0,4.5,0.0,0.0,0.0,0.01323932492052672,0.02716683240813444,-0.5573379143467642,0.010715261592951934,0.27384107976600197,-0.00701215884327374,0.5553900799400442,0.047683571894374194,True,ok
case_000008,clean,8.0,-6.0,4.5,0.0,0.0,0.0,0.0385359558291466,0.026622634632939735,-0.7247002835472877,0.009352557539061748,0.35485939051754256,-0.006926225300083347,0.7226400655482599,0.06513721682546386,True,ok
case_000009,clean,10.0,-6.0,4.5,0.0,0.0,0.0,0.05971015186321487,0.025096094548599946,-0.8340116695216926,0.005041991271606842,0.4069569416300963,-0.007800429191737115,0.8312742445989453,0.08817360702503388,True,ok
case_000010,clean,12.0,-6.0,4.5,0.0,0.0,0.0,0.05745212018622848,0.02304647338112769,-0.8273645298318326,-0.0007958666615692512,0.40338655121620953,-0.009654198197741132,0.820786775020323,0.11759663164023906,True,ok
case_000011,clean,-8.0,0.0,4.5,0.0,0.0,0.0,0.037644496075299266,-1.1094860152549427e-18,0.7408488023904659,-3.630517065624813e-18,-0.3727616039434447,-3.1767024324217114e-19,-0.7388780140255903,0.06582808274399565,True,ok
case_000012,clean,-6.0,0.0,4.5,0.0,0.0,0.0,0.012013130368730184,0.0,0.5721168298701845,7.987137544374588e-18,-0.2876543752453994,2.269073166015508e-19,-0.5702384280710613,0.047855171852276224,True,ok
case_000013,clean,-4.0,0.0,4.5,0.0,0.0,0.0,-0.00818585822623654,5.547430076274714e-19,0.38593549472921246,3.630517065624813e-19,-0.1937196810331822,-4.538146332031016e-19,-0.38442435865667063,0.03508741709202154,True,ok
case_000014,clean,-2.0,0.0,4.5,0.0,0.0,0.0,-0.020582414199358245,0.0,0.19561411328291228,1.4522068262499252e-18,-0.09810633648195,-2.269073166015508e-19,-0.19477663455393676,0.027396710050225866,True,ok
case_000015,clean,0.0,0.0,4.5,0.0,0.0,0.0,-0.024759311598239905,8.66785949417924e-21,0.004372681854160752,4.5381463320310163e-20,-0.0025680814992433895,-1.8152585328124065e-19,-0.004372681854160752,0.024759311598239905,True,ok
case_000016,clean,2.0,0.0,4.5,0.0,0.0,0.0,-0.020662636049395788,2.773715038137357e-19,-0.18687869877259491,3.630517065624813e-18,0.09238427273541949,-4.5381463320310163e-20,0.18604374171992524,0.027172021461382086,True,ok
case_000017,clean,4.0,0.0,4.5,0.0,0.0,0.0,-0.008341483445655473,-5.547430076274714e-19,-0.37726157114408215,-1.8152585328124064e-18,0.18627962488438526,1.3614438996093048e-19,0.3757607084469115,0.034637600893402974,True,ok
case_000018,clean,6.0,0.0,4.5,0.0,0.0,0.0,0.011816746345433468,-1.1094860152549427e-18,-0.563764580957785,7.261034131249626e-19,0.2776342124551282,3.630517065624813e-19,0.5619114059319485,0.04717743231970327,True,ok
case_000019,clean,8.0,0.0,4.5,0.0,0.0,0.0,0.037594810181867874,3.3284580457648284e-18,-0.7338873918519261,-2.1783102393748877e-18,0.3604495071102566,-2.223691702695198e-18,0.7319774365160104,0.064908444006023,True,ok
case_000020,clean,10.0,0.0,4.5,0.0,0.0,0.0,0.05954936973222753,-1.1094860152549427e-18,-0.8461976092929906,1.379596484937429e-17,0.41487859809238187,6.807219498046524e-19,0.8436826057473481,0.08829599180055275,True,ok
case_000021,clean,12.0,0.0,4.5,0.0,0.0,0.0,0.05732038207889157,1.1094860152549427e-18,-0.8382497212113306,-5.808827304999701e-18,0.41001875530106946,-8.1686633976558295e-19,0.8318495311749868,0.1182141226609503,True,ok
case_000022,clean,-8.0,6.0,4.5,0.0,0.0,0.0,0.03856603750249018,-0.02657485459740219,0.7314974602522937,-0.009204736401104899,-0.3678795725803803,0.009512739059559764,-0.7293766572363072,0.06604339867763334,True,ok
case_000023,clean,-6.0,6.0,4.5,0.0,0.0,0.0,0.013428953530148967,-0.027155440569058487,0.5655715115387153,-0.010680017696695193,-0.28470133077348087,0.009326167531027536,-0.5635987950797879,0.04835075499020989,True,ok
case_000024,clean,-4.0,6.0,4.5,0.0,0.0,0.0,-0.006504478323490764,-0.027332314073542814,0.3816786290301405,-0.010997823092288476,-0.19205567817718674,0.008978017692730319,-0.3801116085223221,0.035788796279435556,True,ok
case_000025,clean,-2.0,6.0,4.5,0.0,0.0,0.0,-0.01875902671629877,-0.027390874177427787,0.19348019304408437,-0.011041284764436096,-0.09753189714934461,0.008594836089079775,-0.19261666102839686,0.028223395116360822,True,ok
