event_id,surface_index,surface_name,t0_write_start_host_s,response_window_end_s,command_step_norm,command_before_norm,command_after_norm,delta_base_deg,sigma_base_deg,delta_final_deg,response_amplitude_deg,level_10_deg,level_50_deg,level_90_deg,t10_capture_s,t50_capture_s,t90_capture_s,t10_latency_s,t50_latency_s,t90_latency_s,valid,t90_valid,rejection_reason
1,2,Aileron_R,8.9844955,9.5749722,0.7,0,0.7,-0.381010454495082,0.702598182678783,24.4624589834708,24.8434694379659,2.1033364893015,12.0407242644878,21.9781120396742,9.06939980664447,9.08884308934365,9.11651474094007,0.0849043066444732,0.10434758934365,0.132019240940071,1,1,
2,2,Aileron_R,9.5781365,10.1749722,-0.7,0.7,0,24.4716883028976,0.472242296765181,-4.84745872459987,-29.3191470274975,21.5397736001478,9.81211478914886,-1.91554402185012,9.66227698036663,9.68924957747227,9.70810178343078,0.0841404803666315,0.111113077472275,0.129965283430781,1,1,
3,2,Aileron_R,10.1791328,10.7749722,-0.7,0,-0.7,-5.17042817183946,0.848576677827454,-21.5066541533322,-16.3362259814928,-6.80405076998874,-13.3385411625858,-19.873031555183,10.2608733738221,10.2873772010755,10.2945307465864,0.0817405738221382,0.108244401075549,0.115397946586411,1,1,
4,2,Aileron_R,10.7804445,11.3749722,0.7,-0.7,0,-21.4364315737518,3.13663412895395,2.55954794515178,23.9959795189035,-19.0368336218614,-9.43844181429999,0.159949993261428,10.8910345500906,10.9101663424639,10.929963844589,0.110590050090565,0.129721842463926,0.14951934458901,1,1,
5,4,Elevator,11.3770698,11.9749722,0.7,0,0.7,-4.46652418586334,2.87382682292363,13.2329465479667,17.6994707338301,-2.69657711248034,4.38321118105168,11.4629994745837,11.3781079500061,11.4848463815692,11.5115528784911,0.0010381500061154,0.107776581569201,0.134483078491114,1,1,
6,4,Elevator,11.9834636,12.5749722,-0.7,0.7,0,13.2107471405437,0.429161266837916,-0.50824570689165,-13.7189928474354,11.8388478558002,6.35125071682605,0.86365357785189,12.0857441290688,12.0979249130299,12.1070067560033,0.102280529068834,0.114461313029938,0.123543156003256,1,1,
7,4,Elevator,12.5824011,13.1749722,-0.7,0,-0.7,-0.420444361994067,2.48294631299833,-20.3295219306383,-19.9090775686443,-2.41135211885849,-10.3749831463162,-18.3386141737739,12.667950195764,12.6806218873949,12.7051168220272,0.0855490957639891,0.0982207873949115,0.122715722027209,1,1,
8,4,Elevator,13.179676,13.7749722,0.7,-0.7,0,-20.2526554315531,0.947123769626079,-7.89692467951844,12.3557307520346,-19.0170823563496,-14.0747900555357,-9.1324977547219,13.2609804636448,13.2870695291824,13.2949890690291,0.0813044636448303,0.107393529182369,0.115313069029089,1,1,
9,1,Aileron_L,13.7832809,14.3749722,0.7,0,0.7,-0.631975627193319,0.940676985901206,19.9266236475044,20.5585992746977,1.42388430027645,9.64732401015553,17.8707637200346,13.866113155989,13.8866674929895,13.9060133304255,0.0828322559890058,0.103386592989503,0.122732430425462,1,1,
10,1,Aileron_L,14.3761873,14.9749722,-0.7,0.7,0,19.9266236475044,1.41086727125508,-2.8942979232008,-22.8209215707052,17.6445314904339,8.51616286215179,-0.612205766130277,14.4040952946641,14.4843920681129,14.5109413706234,0.0279079946641101,0.108204768112904,0.134754070623352,1,1,
11,1,Aileron_L,14.9837498,15.5749722,-0.7,0,-0.7,-2.50951463619247,0.974703975333176,-14.4808225699103,-11.9713079337178,-3.70664542956425,-8.49516860305136,-13.2836917765385,15.0510571303762,15.0766610721406,15.0946634896777,0.0673073303761917,0.0929112721406078,0.110913689677652,1,1,
12,1,Aileron_L,15.5765443,16.1749722,0.7,-0.7,0,-14.1868782235566,1.67609251612508,1.39589122924095,15.5827694527976,-12.6286012782769,-6.39549349715784,-0.162385716038809,15.5871959224981,15.6985792662908,15.7138609555285,0.0106516224980879,0.122034966290776,0.13731665552851,1,1,
13,3,Rudder,16.1822831,16.7749722,0.7,0,0.7,0.213030559431448,5.15072252893392,18.711500601803,18.4984700423716,2.06287756366861,9.46226558061724,16.8616535975659,16.1891708175149,16.1902496300776,16.2686276192288,0.00688771751488559,0.00796653007757797,0.0863445192288417,1,1,
14,3,Rudder,16.7781666,17.3749722,-0.7,0.7,0,19.1220605231466,3.54492937582986,3.25195546482684,-15.8701050583197,17.5350500173146,11.1870079939867,4.83896597065881,16.8360077789703,16.9174088729941,16.9246943834541,0.0578411789703459,0.139242272994107,0.146527783454111,1,1,
