source_rollout_id,rollout_id,source_outcome_class,w2_outcome_class,source_reuse_count
r646_c00003_00227,w2_r648_000240,accepted,failed,1
r646_c00003_00313,w2_r648_000241,accepted,accepted,1
r646_c00008_00502,w2_r648_000242,weak,failed,1
r646_c00003_00831,w2_r648_000243,weak,failed,1
r646_c00003_00643,w2_r648_000244,boundary_terminal,boundary_terminal,1
r646_c00003_00052,w2_r648_000245,boundary_terminal,boundary_terminal,1
r646_c00003_00087,w2_r648_000246,failed,failed,1
r646_c00003_00239,w2_r648_000247,failed,boundary_terminal,1
r646_c00003_00726,w2_r648_000248,rejected,rejected,1
r646_c00018_00979,w2_r648_000249,rejected,rejected,1
r646_c00003_00240,w2_r648_000250,accepted,accepted,1
r646_c00003_00314,w2_r648_000251,accepted,accepted,1
r646_c00008_00586,w2_r648_000252,weak,accepted,1
r646_c00003_00832,w2_r648_000253,weak,failed,1
r646_c00003_00682,w2_r648_000254,boundary_terminal,failed,1
r646_c00003_00056,w2_r648_000255,boundary_terminal,boundary_terminal,1
r646_c00003_00100,w2_r648_000256,failed,rejected,1
r646_c00003_00249,w2_r648_000257,failed,failed,1
r646_c00003_00727,w2_r648_000258,rejected,rejected,1
r646_c00023_00058,w2_r648_000259,rejected,rejected,1
r646_c00003_00241,w2_r648_000260,accepted,accepted,1
r646_c00003_00315,w2_r648_000261,accepted,accepted,1
r646_c00008_00600,w2_r648_000262,weak,accepted,1
r646_c00003_00855,w2_r648_000263,weak,accepted,1
r646_c00003_00683,w2_r648_000264,boundary_terminal,boundary_terminal,1
r646_c00003_00057,w2_r648_000265,boundary_terminal,boundary_terminal,1
r646_c00003_00101,w2_r648_000266,failed,rejected,1
r646_c00003_00272,w2_r648_000267,failed,failed,1
r646_c00003_00740,w2_r648_000268,rejected,rejected,1
r646_c00023_00059,w2_r648_000269,rejected,rejected,1
r646_c00003_00264,w2_r648_000270,accepted,accepted,1
r646_c00003_00328,w2_r648_000271,accepted,failed,1
r646_c00008_00680,w2_r648_000272,weak,accepted,1
r646_c00003_00929,w2_r648_000273,weak,failed,1
r646_c00003_00684,w2_r648_000274,boundary_terminal,boundary_terminal,1
r646_c00003_00068,w2_r648_000275,boundary_terminal,boundary_terminal,1
r646_c00003_00102,w2_r648_000276,failed,failed,1
r646_c00003_00273,w2_r648_000277,failed,failed,1
r646_c00003_00741,w2_r648_000278,rejected,rejected,1
r646_c00023_00138,w2_r648_000279,rejected,rejected,1
r646_c00003_00265,w2_r648_000280,accepted,accepted,1
r646_c00003_00329,w2_r648_000281,accepted,failed,1
r646_c00008_00924,w2_r648_000282,weak,accepted,1
r646_c00008_00014,w2_r648_000283,weak,failed,1
r646_c00003_00685,w2_r648_000284,boundary_terminal,boundary_terminal,1
r646_c00003_00069,w2_r648_000285,boundary_terminal,boundary_terminal,1
r646_c00003_00103,w2_r648_000286,failed,failed,1
r646_c00003_00289,w2_r648_000287,failed,boundary_terminal,1
r646_c00003_00760,w2_r648_000288,rejected,rejected,1
r646_c00023_00278,w2_r648_000289,rejected,rejected,1
r646_c00003_00280,w2_r648_000290,accepted,accepted,1
r646_c00003_00335,w2_r648_000291,accepted,accepted,1
r646_c00008_00942,w2_r648_000292,weak,weak,1
r646_c00008_00091,w2_r648_000293,weak,failed,1
r646_c00003_00724,w2_r648_000294,boundary_terminal,boundary_terminal,1
r646_c00003_00070,w2_r648_000295,boundary_terminal,boundary_terminal,1
r646_c00003_00104,w2_r648_000296,failed,failed,1
r646_c00003_00297,w2_r648_000297,failed,failed,1
r646_c00003_00761,w2_r648_000298,rejected,rejected,1
r646_c00023_00378,w2_r648_000299,rejected,rejected,1
r646_c00003_00281,w2_r648_000300,accepted,accepted,1
r646_c00003_00337,w2_r648_000301,accepted,failed,1
r646_c00008_00967,w2_r648_000302,weak,failed,1
r646_c00008_00109,w2_r648_000303,weak,accepted,1
r646_c00003_00746,w2_r648_000304,boundary_terminal,boundary_terminal,1
r646_c00003_00071,w2_r648_000305,boundary_terminal,boundary_terminal,1
r646_c00003_00105,w2_r648_000306,failed,failed,1
r646_c00003_00298,w2_r648_000307,failed,failed,1
r646_c00003_00762,w2_r648_000308,rejected,rejected,1
r646_c00023_00379,w2_r648_000309,rejected,rejected,1
r646_c00003_00282,w2_r648_000310,accepted,accepted,1
r646_c00003_00353,w2_r648_000311,accepted,accepted,1
r646_c00013_00000,w2_r648_000312,weak,failed,1
r646_c00008_00128,w2_r648_000313,weak,failed,1
r646_c00003_00747,w2_r648_000314,boundary_terminal,boundary_terminal,1
r646_c00003_00072,w2_r648_000315,boundary_terminal,boundary_terminal,1
r646_c00003_00126,w2_r648_000316,failed,boundary_terminal,1
r646_c00003_00299,w2_r648_000317,failed,failed,1
r646_c00003_00763,w2_r648_000318,rejected,rejected,1
r646_c00023_00518,w2_r648_000319,rejected,rejected,1
r646_c00003_00283,w2_r648_000320,accepted,failed,1
r646_c00003_00374,w2_r648_000321,accepted,boundary_terminal,1
r646_c00013_00001,w2_r648_000322,weak,failed,1
r646_c00008_00152,w2_r648_000323,weak,failed,1
r646_c00003_00780,w2_r648_000324,boundary_terminal,boundary_terminal,1
r646_c00003_00076,w2_r648_000325,boundary_terminal,boundary_terminal,1
r646_c00003_00144,w2_r648_000326,failed,failed,1
r646_c00003_00318,w2_r648_000327,failed,failed,1
r646_c00003_00784,w2_r648_000328,rejected,rejected,1
r646_c00023_00798,w2_r648_000329,rejected,rejected,1
r646_c00003_00286,w2_r648_000330,accepted,failed,1
r646_c00003_00375,w2_r648_000331,accepted,accepted,1
r646_c00013_00060,w2_r648_000332,weak,failed,1
r646_c00008_00248,w2_r648_000333,weak,accepted,1
r646_c00003_00781,w2_r648_000334,boundary_terminal,rejected,1
r646_c00003_00077,w2_r648_000335,boundary_terminal,boundary_terminal,1
r646_c00003_00145,w2_r648_000336,failed,failed,1
r646_c00003_00319,w2_r648_000337,failed,failed,1
r646_c00003_00785,w2_r648_000338,rejected,rejected,1
r646_c00023_00818,w2_r648_000339,rejected,failed,1
r646_c00003_00287,w2_r648_000340,accepted,weak,1
r646_c00003_00410,w2_r648_000341,accepted,failed,1
r646_c00013_00186,w2_r648_000342,weak,failed,1
r646_c00008_00288,w2_r648_000343,weak,accepted,1
r646_c00003_00843,w2_r648_000344,boundary_terminal,boundary_terminal,1
r646_c00003_00088,w2_r648_000345,boundary_terminal,boundary_terminal,1
r646_c00003_00162,w2_r648_000346,failed,failed,1
r646_c00003_00332,w2_r648_000347,failed,failed,1
r646_c00003_00844,w2_r648_000348,rejected,rejected,1
r646_c00023_00859,w2_r648_000349,rejected,rejected,1
r646_c00003_00304,w2_r648_000350,accepted,accepted,1
r646_c00003_00415,w2_r648_000351,accepted,failed,1
r646_c00013_00187,w2_r648_000352,weak,failed,1
r646_c00008_00291,w2_r648_000353,weak,failed,1
r646_c00003_00962,w2_r648_000354,boundary_terminal,boundary_terminal,1
r646_c00003_00089,w2_r648_000355,boundary_terminal,boundary_terminal,1
r646_c00003_00163,w2_r648_000356,failed,failed,1
r646_c00003_00372,w2_r648_000357,failed,failed,1
r646_c00003_00845,w2_r648_000358,rejected,rejected,1
r646_c00028_00499,w2_r648_000359,rejected,rejected,1
r646_c00003_00305,w2_r648_000360,accepted,accepted,1
r646_c00003_00431,w2_r648_000361,accepted,accepted,1
r646_c00013_00320,w2_r648_000362,weak,failed,1
r646_c00008_00293,w2_r648_000363,weak,failed,1
r646_c00003_00963,w2_r648_000364,boundary_terminal,boundary_terminal,1
r646_c00003_00090,w2_r648_000365,boundary_terminal,boundary_terminal,1
r646_c00003_00164,w2_r648_000366,failed,weak,1
r646_c00003_00393,w2_r648_000367,failed,failed,1
r646_c00003_00904,w2_r648_000368,rejected,rejected,1
r646_c00028_00618,w2_r648_000369,rejected,rejected,1
r646_c00003_00326,w2_r648_000370,accepted,accepted,1
r646_c00003_00450,w2_r648_000371,accepted,accepted,1
r646_c00013_00322,w2_r648_000372,weak,failed,1
r646_c00008_00295,w2_r648_000373,weak,failed,1
r646_c00003_00982,w2_r648_000374,boundary_terminal,boundary_terminal,1
r646_c00003_00091,w2_r648_000375,boundary_terminal,boundary_terminal,1
r646_c00003_00165,w2_r648_000376,failed,weak,1
r646_c00003_00408,w2_r648_000377,failed,failed,1
r646_c00003_00905,w2_r648_000378,rejected,rejected,1
r646_c00028_00619,w2_r648_000379,rejected,rejected,1
r646_c00003_00327,w2_r648_000380,accepted,accepted,1
r646_c00003_00497,w2_r648_000381,accepted,failed,1
r646_c00013_00585,w2_r648_000382,weak,failed,1
r646_c00008_00315,w2_r648_000383,weak,weak,1
r646_c00008_00000,w2_r648_000384,boundary_terminal,failed,1
r646_c00003_00092,w2_r648_000385,boundary_terminal,boundary_terminal,1
r646_c00003_00166,w2_r648_000386,failed,accepted,1
r646_c00003_00409,w2_r648_000387,failed,failed,1
r646_c00003_00924,w2_r648_000388,rejected,rejected,1
r646_c00028_00739,w2_r648_000389,rejected,rejected,1
r646_c00003_00340,w2_r648_000390,accepted,failed,1
r646_c00003_00510,w2_r648_000391,accepted,accepted,1
r646_c00013_00606,w2_r648_000392,weak,accepted,1
r646_c00008_00330,w2_r648_000393,weak,failed,1
r646_c00008_00003,w2_r648_000394,boundary_terminal,boundary_terminal,1
