source_outcome_class,outcome_class,row_count
accepted,accepted,110
accepted,boundary_terminal,7
accepted,failed,65
accepted,weak,18
boundary_terminal,boundary_terminal,157
boundary_terminal,failed,24
boundary_terminal,rejected,19
failed,accepted,22
failed,boundary_terminal,8
failed,failed,143
failed,rejected,17
failed,weak,10
rejected,accepted,2
rejected,boundary_terminal,2
rejected,failed,10
rejected,rejected,186
weak,accepted,46
weak,boundary_terminal,3
weak,failed,140
weak,weak,11
