time_s,speed_m_s,z_w,specific_energy_height_m,alpha_deg,theta_deg,heading_change_deg,phase
0.0,6.500000000000001,1.8,3.953414882772681,4.166892635583638,-0.9833597304694153,0.0,entry
0.02,6.5000409826665,1.7883263540797163,3.9417683916099957,4.1747134634045215,-0.9799689035540309,-1.942676523385179e-19,entry
0.04,6.500125549882362,1.7766381836129654,3.930136255184498,4.2009988856384055,-0.9604546848060311,1.2609763244872876e-18,entry
0.06,6.500179562130337,1.7649410528272542,3.918474913170625,4.24225476968011,-0.918942223861576,4.7339318730356435e-18,entry
0.08,6.500122323496774,1.7532589049600074,3.9067548387225512,4.292153223292623,-0.8552161201597506,8.151221754732047e-18,pitch_brake
0.1,6.500615912258086,1.7415296832898988,3.8953526822044258,4.5445351160638365,-0.6851742129454524,0.0020178162437175925,pitch_brake
0.12,6.501009893092167,1.729519823994206,3.8836039029994165,5.2685137750795645,-0.08712697923642206,0.01457079771844827,pitch_brake
0.14,6.499459226197189,1.7174075970962852,3.870464183895457,6.3747669069878405,1.0859067661956472,0.044823660022357874,pitch_brake
0.16,6.493940011979442,1.705829913581799,3.8552313855077696,7.704082705047864,2.834745602298594,0.09824192657822198,pitch_brake
0.18,6.482137465500994,1.695690444458943,3.8372860673769678,9.116515352169493,5.09271077415873,0.17879264054189692,pitch_brake
0.2,6.461730696180409,1.6879633511339538,3.816096051947417,10.523813448619862,7.762790977793637,0.2888381852771341,pitch_brake
0.22,6.430673415755294,1.6835028310358602,3.791227631244925,11.902064885910761,10.73321755079232,0.42913263822468345,pitch_brake
0.24,6.387252641934784,1.682853508480543,3.7622111186692724,13.296257077415879,13.881927988735535,0.5985310426358189,pitch_brake
0.26,6.3298737915431165,1.6860796917593974,3.7282459617321004,14.802548400131984,17.076687415951767,0.7927574477496669,pitch_brake
0.28,6.256703987590202,1.6927323649922312,3.687958908739792,16.478137279785035,20.192984979116744,1.004462540703246,pitch_brake
0.3,6.166018909317406,1.7021596334602058,3.639967441312388,18.253519616358695,23.18447117858093,1.2314284606087453,slow_redirect
0.32,6.056187169163246,1.7139210509678666,3.5833095845018894,20.051073059830713,26.123001053498335,1.4885810608487304,slow_redirect
0.34,5.9271143772549815,1.7278750085659405,3.5184297914947225,21.82255955471956,29.08074859443951,1.8148510849757769,slow_redirect
0.36,5.780488702452373,1.7440125723786248,3.447073206383697,23.51971640521117,32.03827765627785,2.2382478299516873,slow_redirect
0.38,5.618471070108751,1.7622935740078538,3.3712241125220728,25.12263061097938,34.9526043746738,2.7665782670024015,slow_redirect
0.4,5.443575841682028,1.7825889304363984,3.2929109459381416,26.635511264259016,37.79043827690385,3.3941212415217206,slow_redirect
0.42,5.258391086022529,1.804679327689401,3.2139900725192274,28.0750903513367,40.53021436785001,4.111443138495392,slow_redirect
0.44,5.0653886722208,1.8282725510846567,3.136028025124555,29.463266968043534,43.15890950925186,4.9104162886367035,slow_redirect
0.46,4.866833163002782,1.853025032931909,3.0602658604805155,30.823645794153432,45.66924402684836,5.7849749648171445,slow_redirect
0.48,4.664752422939924,1.8785621488704496,2.987630200212136,32.18021698252409,48.057744298643,6.730571273955715,slow_redirect
0.5,4.460943662225798,1.9044953625715388,2.9187674501124414,33.55706121545603,50.32344936187067,7.743543587569035,slow_redirect
0.52,4.256998743011672,1.9304357998379875,2.854087089236711,34.978539163228334,52.46705785908681,8.82060093470591,slow_redirect
0.54,4.054339083068859,1.9560044506382288,2.7938059491346423,36.46971998470873,54.49037448614292,9.95840125206084,slow_redirect
0.56,3.854254632932332,1.9808394376054927,2.737989222288487,38.05693605558177,56.39595880615766,11.153195156656215,heading_capture
0.58,3.655907798746643,2.004607114782295,2.6858335078983258,39.72891236606278,58.172438319392704,12.397111315883972,heading_capture
0.6,3.459744221145171,2.027004323190728,2.6370874055427875,41.47453848936396,59.77050202808304,13.671272343775732,heading_capture
0.62,3.2686985782840536,2.047729439036773,2.5922957181232253,43.33514253862469,61.169102905035636,14.963774255162,heading_capture
0.64,3.08515266455383,2.0665011207335544,2.551626857920282,45.36130613253884,62.37244616714609,16.268862730900835,heading_capture
0.66,2.910961371079629,2.0830695796847243,2.514960308732522,47.60692185858049,63.3965429585458,17.581952096576796,unload_descend
0.68,2.7469181760518273,2.0972159812457383,2.481801071252053,50.127208181737785,64.25964270307048,18.89361048877047,unload_descend
0.7000000000000001,2.594273844225912,2.108743029962774,2.451773446824889,52.97386427285255,64.97646966524795,20.178539140842343,unload_descend
0.72,2.454985579109481,2.1174823900323787,2.4246665996977974,56.196759734308884,65.56553754322672,21.42238443264909,unload_descend
0.74,2.330750326520623,2.1232934599191537,2.400174045269612,59.84178470965185,66.04654087122896,22.621710873932333,unload_descend
0.76,2.223101679353333,2.1260584327302614,2.377953492707,63.94391823802348,66.43791509141,23.77852099983404,unload_descend
0.78,2.1334240074100843,2.1256782645761376,2.3576608331487017,68.51978776196536,66.75586757867764,24.897611411425782,exit_glide
0.8,2.0630567002846867,2.12207285563831,2.3390047082677463,73.54519476172577,67.01448056590559,25.985660506207587,exit_glide
0.8200000000000001,2.012718004285511,2.115186266143622,2.3216609738283847,78.96879551189768,67.22597288079918,27.050865501541654,exit_glide
0.84,1.9825350570055673,2.104971578098829,2.3053000822912892,84.72114038658003,67.39926869780592,28.099782987804538,exit_glide
0.86,1.9722923116515887,2.091388568893243,2.2896524303917123,90.6760606591785,67.54080485429562,29.13702848608043,exit_glide
