primitive_id,entry_role,start_state_family,environment_mode,transition_entry_class,transition_exit_class,transition_pair,transition_failure_reason,row_count,transition_chain_compatible_count,hard_failure_count
energy_retaining_bank,transition_object,launch_gate,dry_air,launch_gate,boundary_near,launch_gate->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,594,0,0
energy_retaining_bank,transition_object,launch_gate,dry_air,launch_gate,inflight_stable,launch_gate->inflight_stable,,726,726,0
energy_retaining_bank,transition_object,launch_gate,w3_randomised_four,launch_gate,boundary_near,launch_gate->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,594,0,0
energy_retaining_bank,transition_object,launch_gate,w3_randomised_four,launch_gate,inflight_stable,launch_gate->inflight_stable,,726,726,0
energy_retaining_bank,transition_object,launch_gate,w3_randomised_single,launch_gate,boundary_near,launch_gate->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,594,0,0
energy_retaining_bank,transition_object,launch_gate,w3_randomised_single,launch_gate,inflight_stable,launch_gate->inflight_stable,,726,726,0
glide,transition_object,inflight_boundary_near,dry_air,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,567,0,0
glide,transition_object,inflight_boundary_near,dry_air,boundary_near,safe_terminal,boundary_near->safe_terminal,,693,693,0
glide,transition_object,inflight_boundary_near,w3_randomised_four,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,567,0,0
glide,transition_object,inflight_boundary_near,w3_randomised_four,boundary_near,safe_terminal,boundary_near->safe_terminal,,693,693,0
glide,transition_object,inflight_boundary_near,w3_randomised_single,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,567,0,0
glide,transition_object,inflight_boundary_near,w3_randomised_single,boundary_near,safe_terminal,boundary_near->safe_terminal,,693,693,0
glide,transition_object,inflight_lift_region,dry_air,inflight_stable,boundary_near,inflight_stable->boundary_near,,520,520,0
glide,transition_object,inflight_lift_region,dry_air,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,130,130,0
glide,transition_object,inflight_lift_region,w3_randomised_four,inflight_stable,boundary_near,inflight_stable->boundary_near,,528,528,0
glide,transition_object,inflight_lift_region,w3_randomised_four,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,116,116,0
glide,transition_object,inflight_lift_region,w3_randomised_four,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,6,0,0
glide,transition_object,inflight_lift_region,w3_randomised_single,inflight_stable,boundary_near,inflight_stable->boundary_near,,520,520,0
glide,transition_object,inflight_lift_region,w3_randomised_single,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,5,5,0
glide,transition_object,inflight_lift_region,w3_randomised_single,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,125,0,0
glide,transition_object,inflight_nominal,dry_air,inflight_stable,boundary_near,inflight_stable->boundary_near,,585,585,0
glide,transition_object,inflight_nominal,dry_air,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,64,64,0
glide,transition_object,inflight_nominal,dry_air,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1,0,0
glide,transition_object,inflight_nominal,w3_randomised_four,inflight_stable,boundary_near,inflight_stable->boundary_near,,585,585,0
glide,transition_object,inflight_nominal,w3_randomised_four,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,54,54,0
glide,transition_object,inflight_nominal,w3_randomised_four,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,11,0,0
glide,transition_object,inflight_nominal,w3_randomised_single,inflight_stable,boundary_near,inflight_stable->boundary_near,,585,585,0
glide,transition_object,inflight_nominal,w3_randomised_single,inflight_stable,inflight_stable,inflight_stable->inflight_stable,,1,1,0
glide,transition_object,inflight_nominal,w3_randomised_single,inflight_stable,recoverable_degraded,inflight_stable->recoverable_degraded,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,64,0,0
glide,transition_object,launch_gate,dry_air,launch_gate,boundary_near,launch_gate->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,594,0,0
glide,transition_object,launch_gate,dry_air,launch_gate,inflight_stable,launch_gate->inflight_stable,,726,726,0
glide,transition_object,launch_gate,w3_randomised_four,launch_gate,boundary_near,launch_gate->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,594,0,0
glide,transition_object,launch_gate,w3_randomised_four,launch_gate,inflight_stable,launch_gate->inflight_stable,,726,726,0
glide,transition_object,launch_gate,w3_randomised_single,launch_gate,boundary_near,launch_gate->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,594,0,0
glide,transition_object,launch_gate,w3_randomised_single,launch_gate,inflight_stable,launch_gate->inflight_stable,,726,726,0
lift_dwell_arc,transition_object,inflight_boundary_near,dry_air,boundary_near,boundary_near,boundary_near->boundary_near,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,558,0,0
lift_dwell_arc,transition_object,inflight_boundary_near,dry_air,boundary_near,safe_terminal,boundary_near->safe_terminal,,682,682,0
