coverage_axis,value,row_count
outcome_class,accepted,20868
outcome_class,weak,75132
failure_label,controlled_xy_boundary_terminal,16137
failure_label,model_boundary_only,58995
failure_label,success,20868
boundary_use_class,continuation_valid,79863
boundary_use_class,episode_terminal_useful,16137
environment_mode,dry_air,32000
environment_mode,w3_randomised_four,32000
environment_mode,w3_randomised_single,32000
start_state_family,inflight_boundary_near,29340
start_state_family,inflight_lift_region,15810
start_state_family,inflight_nominal,15810
start_state_family,inflight_recovery_edge,3360
start_state_family,launch_gate,31680
timing_state_source,history_backed_fifo,96000
source_evidence_label,,96000
scheduled_active_fan_count,0,32000
scheduled_active_fan_count,1,40000
scheduled_active_fan_count,2,8000
scheduled_active_fan_count,3,8000
scheduled_active_fan_count,4,8000
transition_entry_class,boundary_near,29340
transition_entry_class,inflight_stable,31620
transition_entry_class,launch_gate,31680
transition_entry_class,recoverable_degraded,3360
transition_exit_class,boundary_near,56604
transition_exit_class,inflight_stable,20992
transition_exit_class,post_launch_degraded,6
transition_exit_class,recoverable_degraded,2261
transition_exit_class,safe_terminal,16137
transition_pair,boundary_near->boundary_near,13203
transition_pair,boundary_near->safe_terminal,16137
transition_pair,inflight_stable->boundary_near,26961
transition_pair,inflight_stable->inflight_stable,2972
transition_pair,inflight_stable->recoverable_degraded,1687
transition_pair,launch_gate->boundary_near,14256
transition_pair,launch_gate->inflight_stable,17418
transition_pair,launch_gate->post_launch_degraded,6
transition_pair,recoverable_degraded->boundary_near,2184
transition_pair,recoverable_degraded->inflight_stable,602
transition_pair,recoverable_degraded->recoverable_degraded,574
transition_chain_compatible,False,31904
transition_chain_compatible,True,64096
transition_failure_reason,,64096
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_boundary_near_role_transition_object,13203
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_launch_gate_role_transition_object,14256
transition_failure_reason,exit_class_boundary_near_not_chain_compatible_for_entry_class_recoverable_degraded_role_transition_object,2184
transition_failure_reason,exit_class_recoverable_degraded_not_chain_compatible_for_entry_class_inflight_stable_role_transition_object,1687
transition_failure_reason,recoverable_degraded_self_transition_without_attitude_rate_progress,574
turn_intent_label,left,11820
turn_intent_label,neutral,72360
turn_intent_label,right,11820
turn_intent_status,measurable_turn_intent,19418
turn_intent_status,not_turn_primitive,72360
turn_intent_status,weak_or_wrong_turn_intent,4222
turn_intent_correct_sign,False,76582
turn_intent_correct_sign,True,19418
