audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,10514,7886,1355,54,1301,0.0001873535438828562,0.0114238460477511,2.6751146918772116e-05,43016.42728605199,1151,0.5462776537262681,0.45372234627373187,0.0002499801811867165,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:balanced_cluster",524,524,32,0,32,0.00011916997576891158,0.0097706698583597,3.4909657226163616e-05,18781.781342794573,27,0.7769295145396975,0.22307048546030248,0.00010591429633408035,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:heavy_cluster",529,529,29,1,28,5.731051442484438e-05,0.0102939042216003,1.522715138878812e-05,11586.290775733018,21,0.7891091118235836,0.21089088817641638,7.048435941502098e-05,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:light_cluster",527,527,71,0,71,0.0001436753172306085,0.0070108684926202,2.179486287913364e-05,39173.575537916295,56,0.7407467906337994,0.25925320936620055,0.00020323839700272966,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:no_cluster_no_merge",522,522,176,13,163,0.0005765501405084624,0.0109714209615132,5.4320625847843115e-05,151387.72617035612,160,0.7259910346256664,0.27400896537433367,0.0006630252935644566,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h10,library_size_case_id:super_light_cluster",526,526,118,6,112,0.0003644490361364047,0.0112919463047334,6.905174566515596e-05,70517.83948609546,97,0.7255057208905252,0.27449427910947477,0.0004194609909723609,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:balanced_cluster",524,524,39,0,39,0.00014463353739736624,0.0086930031237526,5.822429590263932e-05,14662.332076369039,29,0.6545428739055055,0.34545712609449447,0.00017345760459625803,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:heavy_cluster",529,529,26,0,26,0.00012198136131413121,0.0104857339772808,8.934208846204566e-06,21053.68800615717,22,0.666959156612919,0.3330408433870809,0.00019870061357701437,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:light_cluster",527,527,81,0,81,0.00019023990425769098,0.0085458277818006,3.3801850631862044e-05,18207.793539788643,59,0.6091740184505577,0.3908259815494422,0.00039215688592274527,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:no_cluster_no_merge",523,523,193,20,173,0.0004704777685097282,0.0110965997465892,3.66956930223392e-05,96575.28361961323,154,0.5596421879011874,0.4403578120988127,0.0008587394128733583,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h3,library_size_case_id:super_light_cluster",526,526,135,6,129,0.0004607632747694408,0.0114238460477511,6.964131047923739e-05,75366.04487828555,103,0.5766856630835896,0.4233143369164104,0.0007678271048211366,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:balanced_cluster",524,524,40,0,40,0.00011356247900734557,0.0061226709170219,2.7379212673305494e-05,33624.364387715876,37,0.8472659644651925,0.15273403553480738,8.819534503186227e-05,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:heavy_cluster",529,529,26,0,26,4.720032421665303e-05,0.0034013512500852,8.838571589885358e-06,464.66514659334877,25,0.8437770761782447,0.1562229238217553,5.104248710612803e-05,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:light_cluster",527,527,78,0,78,0.00014970791030389038,0.004332863537017,2.0706476553000903e-05,54756.38527071853,68,0.8137931203980324,0.18620687960196755,0.00016930166242529066,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:no_cluster_no_merge",523,523,188,8,180,0.0004548425068586919,0.0055357945087963,5.320043363056584e-05,164182.04007151249,178,0.7981672398798677,0.20183276012013235,0.00047062625423315973,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:directional_3d_residual_memory_h30,library_size_case_id:super_light_cluster",526,526,123,0,123,0.0003392552535262058,0.0072999655080427,2.3042445362327326e-05,91989.51408347866,115,0.7957311928517896,0.20426880714821044,0.0003753227870654512,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",524,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",529,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:light_cluster",527,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",522,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
"launch_role:final_heldout,environment_block_id:r10_l7_full_domain_randomisation_arena_wide_training,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",526,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,outer_loop_baseline_shielded_recency_safe_exploration_memory_v1_5,profiled
