compact_library_id,library_size_case_id,library_size_human_label,primitive_variant_id,transition_object_id,primitive_id,entry_role,transition_entry_class,controller_id,finite_horizon_s,controller_input_slots_per_primitive,controller_input_update_period_s,primitive_timing_contract_version,primitive_timing_contract_status,transition_success_probability,transition_chain_compatible_rate,transition_exit_classes_seen,transition_pairs_seen,continuation_probability,terminal_useful_probability,hard_failure_risk,expected_energy_residual_m,expected_updraft_gain_proxy_m,expected_lift_dwell_time_s,minimum_wall_margin_min_m,floor_margin_min_m,ceiling_margin_min_m,saturation_fraction_mean,known_failure_boundaries,environment_coverage,runtime_context_conditioning_required,runtime_context_conditioning_version,runtime_context_conditioning_policy,context_conditioning_keys,sample_count,margin_class,prediction_source,claim_status
v53lib_heavy_cluster_34d05d61d95b,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_93c7d40ed2d4,primvar_lift_dwell_arc_transition_object_93c7d40ed2d4__entry_boundary_near,lift_dwell_arc,transition_object,boundary_near,lqrta_lift_dwell_arc_f07e6887aef9,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,0.675,0.55,0.0,-0.0313950861444662,0.0,0.029875,-0.0705222624292529,0.5082947809988061,0.7971669948028199,0.28125,boundary_near_route_usable_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_0202bf8eadd6,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_8d53e2a0b005,primvar_lift_dwell_arc_transition_object_8d53e2a0b005__entry_inflight_stable,lift_dwell_arc,transition_object,inflight_stable,lqrta_lift_dwell_arc_f4156896e606,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.8125,0.8125,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.8125,0.0,0.0,-0.0025923143381304,0.0,0.0628749999999999,0.2094569069742773,0.6119075062555205,0.8774823060118289,0.25875,inflight_stable_high_probability_transition_survivor,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_71d61817c49a,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_7d31e2649ae6,primvar_lift_dwell_arc_transition_object_7d31e2649ae6__entry_launch_gate,lift_dwell_arc,transition_object,launch_gate,lqrta_lift_dwell_arc_3ef53f146644,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.96875,0.96875,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.96875,0.0,0.0,-0.0113582559227775,0.0,0.017,0.0042965023720533,0.840683778984436,1.5340370256482732,0.9875,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_70b575bf6bb8,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_79cb65421a38,primvar_lift_dwell_arc_transition_object_79cb65421a38__entry_launch_gate,lift_dwell_arc,transition_object,launch_gate,lqrta_lift_dwell_arc_865c8181e547,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.9625,0.9625,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.9625,0.0,0.0,-0.0087319674670693,0.0,0.020125,0.0042965023720533,0.839990841210369,1.6395113660734215,0.34875,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_a3aa283fd7c6,heavy_cluster,heavy clustering and merging,primvar_lift_dwell_arc_transition_object_997ee95c0ea9,primvar_lift_dwell_arc_transition_object_997ee95c0ea9__entry_recoverable_degraded,lift_dwell_arc,transition_object,recoverable_degraded,lqrta_lift_dwell_arc_f68acac4f156,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.30625,0.30625,boundary_near;inflight_stable;recoverable_degraded,recoverable_degraded->boundary_near;recoverable_degraded->inflight_stable;recoverable_degraded->recoverable_degraded,0.30625,0.0,0.0,-0.0763035068850023,0.0,0.059125,0.4303434938610533,0.4693229678865048,0.7871842656921331,1.015,recoverable_degraded_route_usable_nonzero_progress_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_6db36c37c6ad,heavy_cluster,heavy clustering and merging,primvar_lift_entry_transition_object_560d6967f823,primvar_lift_entry_transition_object_560d6967f823__entry_boundary_near,lift_entry,transition_object,boundary_near,lqrta_lift_entry_3b2b50ddd4c7,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.68125,0.68125,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,0.68125,0.55,0.0,-0.0313821442662867,0.0,0.0285,-0.0706408375946106,0.5071638538506583,0.7971669948028199,0.3975,boundary_near_route_usable_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_ef9390567907,heavy_cluster,heavy clustering and merging,primvar_lift_entry_transition_object_1af924c2a730,primvar_lift_entry_transition_object_1af924c2a730__entry_inflight_stable,lift_entry,transition_object,inflight_stable,lqrta_lift_entry_b675efbf25c3,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.8,0.8,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.8,0.0,0.0,-0.0019515404143066,0.0,0.06225,0.2082090708057116,0.6119075062555205,0.8758639149889871,0.38875,inflight_stable_high_probability_transition_survivor,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_1fb68295afdf,heavy_cluster,heavy clustering and merging,primvar_lift_entry_transition_object_302a6942d563,primvar_lift_entry_transition_object_302a6942d563__entry_launch_gate,lift_entry,transition_object,launch_gate,lqrta_lift_entry_de7bbe665c7f,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.96875,0.96875,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.96875,0.0,0.0,-0.0115711794457353,0.0,0.01675,0.0042965023720533,0.8413264380992685,1.6505788271152888,0.4787499999999999,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_22719cc92dde,heavy_cluster,heavy clustering and merging,primvar_lift_entry_transition_object_2c86eb160cc0,primvar_lift_entry_transition_object_2c86eb160cc0__entry_launch_gate,lift_entry,transition_object,launch_gate,lqrta_lift_entry_b72aabc14fbc,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.95625,0.95625,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.95625,0.0,0.0,-0.0108252378534632,0.0,0.01925,0.0042965023720533,0.8398407200130179,1.585409205727351,0.2725,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_5897f4b0de18,heavy_cluster,heavy clustering and merging,primvar_lift_entry_transition_object_bc8a24adf0c8,primvar_lift_entry_transition_object_bc8a24adf0c8__entry_recoverable_degraded,lift_entry,transition_object,recoverable_degraded,lqrta_lift_entry_c9ab511876ca,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.3,0.3,boundary_near;inflight_stable;recoverable_degraded,recoverable_degraded->boundary_near;recoverable_degraded->inflight_stable;recoverable_degraded->recoverable_degraded,0.3,0.0,0.0,-0.077529644408414,0.0,0.0584999999999999,0.4305943172718086,0.4671521110778723,0.7871842656921331,1.1162499999999995,recoverable_degraded_route_usable_nonzero_progress_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_a7a77071cf2f,heavy_cluster,heavy clustering and merging,primvar_mild_turn_left_transition_object_9b3b731b1203,primvar_mild_turn_left_transition_object_9b3b731b1203__entry_boundary_near,mild_turn_left,transition_object,boundary_near,lqrta_mild_turn_left_ae5e68e49b07,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.675,0.675,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,0.675,0.55,0.0,-0.0312118841032872,0.0,0.0275,-0.0704870601249982,0.5082514910632018,0.7971669948028199,0.145,boundary_near_route_usable_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_ec631016d048,heavy_cluster,heavy clustering and merging,primvar_mild_turn_left_transition_object_c938a9b097f6,primvar_mild_turn_left_transition_object_c938a9b097f6__entry_inflight_stable,mild_turn_left,transition_object,inflight_stable,lqrta_mild_turn_left_eb6666f70b29,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.8,0.8,boundary_near;inflight_stable;recoverable_degraded,inflight_stable->boundary_near;inflight_stable->inflight_stable;inflight_stable->recoverable_degraded,0.8,0.0,0.0,-0.0029132276055705,0.0,0.0625,0.2091352559876593,0.6119075062555205,0.8789690161997212,0.68625,inflight_stable_high_probability_transition_survivor,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_d984ab74e324,heavy_cluster,heavy clustering and merging,primvar_mild_turn_left_transition_object_5c3440b92841,primvar_mild_turn_left_transition_object_5c3440b92841__entry_launch_gate,mild_turn_left,transition_object,launch_gate,lqrta_mild_turn_left_b68789cc791f,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.975,0.975,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.975,0.0,0.0,-0.0123816457621466,0.0,0.01525,0.0042965023720533,0.8421521076152799,1.6483525540692927,0.33625,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_2ecbd2a62245,heavy_cluster,heavy clustering and merging,primvar_mild_turn_left_transition_object_cfc4a4867213,primvar_mild_turn_left_transition_object_cfc4a4867213__entry_launch_gate,mild_turn_left,transition_object,launch_gate,lqrta_mild_turn_left_cb15595af2e5,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.9625,0.9625,boundary_near;inflight_stable;post_launch_degraded,launch_gate->boundary_near;launch_gate->inflight_stable;launch_gate->post_launch_degraded,0.9625,0.0,0.0,-0.010433877204999,0.0,0.0207499999999999,0.0042965023720533,0.8411876111446638,1.567429790830764,0.3975,launch_gate_route_usable_nonzero_handoff_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,tight_margin,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_68e31bd7c501,heavy_cluster,heavy clustering and merging,primvar_mild_turn_left_transition_object_4c65cd37152f,primvar_mild_turn_left_transition_object_4c65cd37152f__entry_recoverable_degraded,mild_turn_left,transition_object,recoverable_degraded,lqrta_mild_turn_left_ff4c1fce92fe,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.31875,0.31875,boundary_near;inflight_stable;recoverable_degraded,recoverable_degraded->boundary_near;recoverable_degraded->inflight_stable;recoverable_degraded->recoverable_degraded,0.31875,0.0,0.0,-0.0771175632280487,0.0,0.0582499999999999,0.4304634772552983,0.4678041421595916,0.7871842656921331,0.95375,recoverable_degraded_route_usable_nonzero_progress_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,margin_available,W3_summary_interpretable,simulation_only_outcome_model
v53lib_heavy_cluster_1083c39fc265,heavy_cluster,heavy clustering and merging,primvar_mild_turn_right_transition_object_73bc08fe9dd9,primvar_mild_turn_right_transition_object_73bc08fe9dd9__entry_boundary_near,mild_turn_right,transition_object,boundary_near,lqrta_mild_turn_right_6b38627446aa,0.1,5,0.02,v411_0p10s_5slot_20ms,compliant,0.68125,0.68125,boundary_near;inflight_stable;recoverable_degraded;safe_terminal,boundary_near->boundary_near;boundary_near->inflight_stable;boundary_near->recoverable_degraded;boundary_near->safe_terminal,0.68125,0.55,0.0,-0.0314590668245378,0.0,0.0255,-0.0706267595770668,0.5078908001927693,0.7971669948028199,0.0175,boundary_near_route_usable_low_hard_failure,dry_air;w3_randomised_four;w3_randomised_single,True,robust_context_conditioned_outcome_v2_changed_case_and_sample_coverage,robust_downgrade_only_never_optimistic,library_size_case_id;compact_library_id;start_state_family;environment_class;local_w_wing;local_uncertainty;margins;environment_block;active_fan_count,160,unsafe_negative_margin,W3_summary_interpretable,simulation_only_outcome_model
