audit_scope,decision_count,memory_policy_decision_count,memory_switch_available_count,accepted_memory_switch_count,rejected_memory_switch_count,mean_memory_correction_delta,max_memory_correction_delta,mean_base_score_gap_to_baseline,mean_memory_opportunity_ratio,opportunity_ratio_ge_1_count,mean_candidate_path_confidence,mean_candidate_path_uncertainty,mean_reachable_flow_attraction_m,reachable_flow_attraction_positive_count,mean_adaptive_score_margin,memory_policy_version,audit_status
overall,511,383,3,3,0,2.164110499452857e-05,0.0052167663421538,9.698902753062036e-06,0.014985957340942291,3,0.03534996283991156,0.6958264853803081,3.404473155538175e-05,157,8.38463847314814e-06,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:balanced_cluster",25,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7042708930032066,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:heavy_cluster",26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7081761177054223,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:light_cluster",25,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7158708535159259,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:no_cluster_no_merge",26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7082144742077449,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:no_memory_baseline,library_size_case_id:super_light_cluster",26,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.7522345064221032,0.0,0,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:balanced_cluster",25,25,1,1,0,0.00020867065368615202,0.0052167663421538,9.137712311773201e-05,0.09134481216586014,1,0.04768397654343801,0.6583312148914565,8.25071233999236e-05,11,8.1599262647784e-05,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:heavy_cluster",26,26,0,0,0,0.0,0.0,0.0,0.0,0,0.050205074372148384,0.6791333484896083,6.141089256256774e-05,11,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:light_cluster",25,25,0,0,0,0.0,0.0,0.0,0.0,0,0.04596977788996265,0.6839438840451838,6.555701246826531e-05,9,0.0,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
"launch_role:final_heldout,environment_block_id:r11_l1_single_fan_fixed_nominal,policy_id:spatial_flow_belief_memory_h10,library_size_case_id:no_cluster_no_merge",25,25,1,1,0,0.00020280988042270802,0.0050702470105677,9.7499024099572e-05,0.0832048863240262,1,0.046301368708688784,0.6847005695564812,0.00012021621933047746,12,6.8770665280528e-05,outer_loop_spatial_flow_belief_aggressive_safe_objective_memory_v2_3,profiled
